m_sdw,V,E_p_bits,E_p,coh_1rdm,Q_2_bits,single_site_entanglement,m_cdw,coh_2rdm,Q_2,U,energy
NaN,-0.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.0,NaN
NaN,-0.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.0,NaN
NaN,-0.41,0.29289774918223754,0.20302124903802188,1.0522274481624951,0.4762261113985682,0.48612735092857273,NaN,3.237560122342966,0.3300947864249437,-6.0,-16.461185057003767
NaN,-0.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.0,NaN
NaN,-0.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.0,NaN
NaN,0.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.0,NaN
NaN,0.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.0,NaN
NaN,0.41,0.48745324111124066,0.3378768397310632,1.1551095220670275,0.7874613441405311,0.6026321490686763,NaN,3.6874775709924346,0.5458266104909542,-6.0,-14.20298683234079
NaN,0.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.0,NaN
NaN,0.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.0,NaN
NaN,0.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.0,NaN
NaN,1.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.0,NaN
NaN,1.22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.0,NaN
NaN,1.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.0,NaN
NaN,1.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.0,NaN
NaN,1.71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.0,NaN
NaN,1.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.0,NaN
NaN,2.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.0,NaN
NaN,2.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.0,NaN
NaN,2.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.0,NaN
NaN,2.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.0,NaN
NaN,2.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.0,NaN
NaN,2.86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.0,NaN
NaN,3.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.0,NaN
NaN,3.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.0,NaN
NaN,3.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.0,NaN
NaN,3.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.0,NaN
NaN,3.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.0,NaN
NaN,3.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.0,NaN
NaN,4.0,0.01719349653550628,0.011917623647553333,0.6176997309299366,0.026692105152207546,0.25433669490586935,NaN,1.4806040262018543,0.018501557429461357,-6.0,-12.61979711238535
NaN,-4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.76,NaN
NaN,-3.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.76,NaN
NaN,-3.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.76,NaN
NaN,-3.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.76,NaN
NaN,-3.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.76,NaN
NaN,-3.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.76,NaN
NaN,-3.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.76,NaN
NaN,-2.86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.76,NaN
NaN,-2.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.76,NaN
NaN,-2.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.76,NaN
NaN,-2.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.76,NaN
NaN,-2.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.76,NaN
NaN,-2.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.76,NaN
NaN,-1.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.76,NaN
NaN,-1.71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.76,NaN
NaN,-1.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.76,NaN
NaN,-1.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.76,NaN
NaN,-1.22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.76,NaN
NaN,-1.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.76,NaN
NaN,-0.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.76,NaN
NaN,-0.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.76,NaN
NaN,-0.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.76,NaN
NaN,-0.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.76,NaN
NaN,-0.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.76,NaN
NaN,-0.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.76,NaN
NaN,0.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.76,NaN
NaN,0.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.76,NaN
NaN,0.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.76,NaN
NaN,0.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.76,NaN
NaN,0.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.76,NaN
NaN,0.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.76,NaN
NaN,1.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.76,NaN
NaN,1.22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.76,NaN
NaN,1.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.76,NaN
NaN,1.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.76,NaN
NaN,1.71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.76,NaN
NaN,1.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.76,NaN
NaN,2.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.76,NaN
NaN,2.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.76,NaN
NaN,2.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.76,NaN
NaN,2.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.76,NaN
NaN,2.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.76,NaN
NaN,2.86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.76,NaN
NaN,3.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.76,NaN
NaN,3.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.76,NaN
NaN,3.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.76,NaN
NaN,3.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.76,NaN
NaN,3.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.76,NaN
NaN,3.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.76,NaN
NaN,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.76,NaN
NaN,-4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.51,NaN
NaN,-3.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.51,NaN
NaN,-3.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.51,NaN
NaN,-3.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.51,NaN
NaN,-3.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.51,NaN
NaN,-3.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.51,NaN
NaN,-3.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.51,NaN
NaN,-2.86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.51,NaN
NaN,-2.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.51,NaN
NaN,-2.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.51,NaN
NaN,-2.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.51,NaN
NaN,-2.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.51,NaN
NaN,-2.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.51,NaN
NaN,-1.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.51,NaN
NaN,-1.71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.51,NaN
NaN,-1.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.51,NaN
NaN,-1.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.51,NaN
NaN,-1.22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.51,NaN
NaN,-1.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.51,NaN
NaN,-0.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.51,NaN
NaN,-0.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.51,NaN
NaN,-0.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.51,NaN
NaN,-0.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.51,NaN
NaN,-0.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.51,NaN
NaN,-0.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.51,NaN
NaN,0.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.51,NaN
NaN,0.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.51,NaN
NaN,0.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.51,NaN
NaN,0.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.51,NaN
NaN,0.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.51,NaN
NaN,0.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.51,NaN
NaN,1.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.51,NaN
NaN,1.22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.51,NaN
NaN,1.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.51,NaN
NaN,1.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.51,NaN
NaN,1.71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.51,NaN
NaN,1.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.51,NaN
NaN,2.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.51,NaN
NaN,2.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.51,NaN
NaN,2.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.51,NaN
NaN,2.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.51,NaN
NaN,2.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.51,NaN
NaN,2.86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.51,NaN
NaN,3.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.51,NaN
NaN,3.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.51,NaN
NaN,3.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.51,NaN
NaN,3.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.51,NaN
NaN,3.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.51,NaN
NaN,3.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.51,NaN
NaN,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.51,NaN
NaN,-4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.27,NaN
NaN,-3.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.27,NaN
NaN,-3.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.27,NaN
NaN,-3.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.27,NaN
NaN,-3.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.27,NaN
NaN,-3.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.27,NaN
NaN,-3.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.27,NaN
NaN,-2.86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.27,NaN
NaN,-2.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.27,NaN
NaN,-2.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.27,NaN
NaN,-2.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.27,NaN
NaN,-2.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.27,NaN
NaN,-2.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.27,NaN
NaN,-1.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.27,NaN
NaN,-1.71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.27,NaN
NaN,-1.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.27,NaN
NaN,-1.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.27,NaN
NaN,-1.22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.27,NaN
NaN,-1.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.27,NaN
NaN,-0.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.27,NaN
NaN,-0.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.27,NaN
NaN,-0.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.27,NaN
NaN,-0.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.27,NaN
NaN,-0.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.27,NaN
NaN,-0.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.27,NaN
NaN,0.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.27,NaN
NaN,0.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.27,NaN
NaN,0.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.27,NaN
NaN,0.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.27,NaN
NaN,0.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.27,NaN
NaN,0.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.27,NaN
NaN,1.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.27,NaN
NaN,1.22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.27,NaN
NaN,1.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.27,NaN
NaN,1.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.27,NaN
NaN,1.71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.27,NaN
NaN,1.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.27,NaN
NaN,2.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.27,NaN
NaN,2.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.27,NaN
NaN,2.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.27,NaN
NaN,2.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.27,NaN
NaN,2.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.27,NaN
NaN,2.86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.27,NaN
NaN,3.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.27,NaN
NaN,3.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.27,NaN
NaN,3.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.27,NaN
NaN,3.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.27,NaN
NaN,3.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.27,NaN
NaN,3.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.27,NaN
NaN,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.27,NaN
NaN,-4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.02,NaN
NaN,-3.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.02,NaN
NaN,-3.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.02,NaN
NaN,-3.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.02,NaN
NaN,-3.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.02,NaN
NaN,-3.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.02,NaN
NaN,-3.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.02,NaN
NaN,-2.86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.02,NaN
NaN,-2.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.02,NaN
NaN,-2.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.02,NaN
NaN,-2.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.02,NaN
NaN,-2.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.02,NaN
NaN,-2.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.02,NaN
NaN,-1.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.02,NaN
NaN,-1.71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.02,NaN
NaN,-1.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.02,NaN
NaN,-1.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.02,NaN
NaN,-1.22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.02,NaN
NaN,-1.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.02,NaN
NaN,-0.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.02,NaN
NaN,-0.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.02,NaN
NaN,-0.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.02,NaN
NaN,-0.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.02,NaN
NaN,-0.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.02,NaN
NaN,-0.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.02,NaN
NaN,0.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.02,NaN
NaN,0.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.02,NaN
NaN,0.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.02,NaN
NaN,0.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.02,NaN
NaN,0.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.02,NaN
NaN,0.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.02,NaN
NaN,1.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.02,NaN
NaN,1.22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.02,NaN
NaN,1.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.02,NaN
NaN,1.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.02,NaN
NaN,1.71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.02,NaN
NaN,1.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.02,NaN
NaN,2.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.02,NaN
NaN,2.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.02,NaN
NaN,2.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.02,NaN
NaN,2.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.02,NaN
NaN,2.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.02,NaN
NaN,2.86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.02,NaN
NaN,3.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.02,NaN
NaN,3.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.02,NaN
NaN,3.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.02,NaN
NaN,3.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.02,NaN
NaN,3.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.02,NaN
NaN,3.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.02,NaN
NaN,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.02,NaN
NaN,-4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.78,NaN
NaN,-3.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.78,NaN
NaN,-3.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.78,NaN
NaN,-3.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.78,NaN
NaN,-3.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.78,NaN
NaN,-3.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.78,NaN
NaN,-3.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.78,NaN
NaN,-2.86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.78,NaN
NaN,-2.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.78,NaN
NaN,-2.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.78,NaN
NaN,-2.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.78,NaN
NaN,-2.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.78,NaN
NaN,-2.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.78,NaN
NaN,-1.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.78,NaN
NaN,-1.71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.78,NaN
NaN,-1.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.78,NaN
NaN,-1.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.78,NaN
NaN,-1.22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.78,NaN
NaN,-1.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.78,NaN
NaN,-0.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.78,NaN
NaN,-0.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.78,NaN
NaN,-0.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.78,NaN
NaN,-0.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.78,NaN
NaN,-0.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.78,NaN
NaN,-0.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.78,NaN
NaN,0.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.78,NaN
