U,E_p,m_cdw,m_sdw,V,S,E_GS,coherence,E_p_bits
-6.0,0.0005455031665060339,0.24178575579601366,-0.09647972471779695,-4.0,0.09334239805158984,-58.46341216574252,0.14960077300105537,0.0007869947131071697
-6.0,0.0014260630801186114,0.08077883532356443,0.060425243504875194,-3.7241379310344827,0.1375380995214524,-55.73417099569356,0.17912821829239883,0.0020573741336820106
-6.0,0.11299322558963376,0.20912199395770706,-0.06331094997041706,-3.4482758620689653,0.18447374596757607,-53.00357371847739,0.18986205432855024,0.1630147662122119
-6.0,0.002685984053356405,0.17554785493360398,-0.030636887704083727,-3.1724137931034484,0.1637593287669898,-50.28486565899678,0.20151984188483046,0.0038750558736837526
-6.0,0.0045058640522439575,0.17436787829424033,-0.02890566318567627,-2.896551724137931,0.16897139838598269,-47.567958023161935,0.21105072336755495,0.006500587723091922
-6.0,0.0062900955953224535,0.15534952297466886,-0.010704630156590286,-2.6206896551724137,0.18040526046495217,-44.85952100600757,0.2288996449257258,0.009074689722089246
-6.0,0.07361118292253699,0.16547006684116333,-0.018933032684656848,-2.3448275862068964,0.2156166202079724,-42.161004770830864,0.25330666070218116,0.10619848855631409
-6.0,0.0322085959227707,0.1495170115270084,-0.004184520617194383,-2.0689655172413794,0.2059841506707381,-39.47649707703789,0.2700974609679516,0.046467181611776986
-6.0,0.01727874308518662,0.15813666382112457,-0.01007803179637223,-1.793103448275862,0.2098416145018423,-36.81085742379165,0.2820146201326479,0.024927956961793285
-6.0,0.023055788561948898,0.16041617333385888,-0.009658661160029614,-1.5172413793103448,0.22580833093574165,-34.17183148426504,0.3049539409164112,0.03326247182210862
-6.0,0.21692949197482414,0.16290657145584983,-0.007858560958684148,-1.2413793103448276,0.3493430616668989,-31.571697349014137,0.36233415400122415,0.3129631022946411
-6.0,0.08936763149164917,0.168927011500605,-0.006451468524655815,-0.9655172413793104,0.28937770388362344,-29.02049344356169,0.37887807052360745,0.1289302387689939
-6.0,0.17828958840596676,0.17603385996175078,-0.0020628635010105484,-0.6896551724137931,0.35599224762455434,-26.546321355252722,0.41712886828452983,0.25721750503542173
-6.0,0.3033049709869491,0.19900624685529827,0.002492059071201943,-0.41379310344827586,0.47139503527781745,-24.230339393874058,0.48926148528078445,0.4375765775198417
-6.0,0.4005664612585187,0.14423999877113053,-0.020654167201592688,-0.13793103448275862,0.6313452472255844,-22.530792647803345,0.6411787270338892,0.5778952472041059
-6.0,0.4130143819531933,-0.1345533494467736,-0.030280062878948116,0.13793103448275862,0.6399659127008414,-21.54588246441569,0.637843828445107,0.5958538006596923
-6.0,0.36084089212955317,-0.35382364346404854,-0.044010204129117624,0.41379310344827586,0.5640230644125115,-20.90938311516392,0.5942214022475911,0.5205833656252556
-6.0,0.27613364179970934,-0.5278513676283086,-0.06357262247367325,0.6896551724137931,0.47303224050301446,-20.443133457985745,0.5507441044036663,0.39837663564704995
-6.0,0.1950323795521094,-0.6422969069929876,-0.08251857998257546,0.9655172413793104,0.39563076930545854,-20.097354808335712,0.5061051168806262,0.28137224679260164
-6.0,0.13614431952382877,-0.7101123733296707,-0.09757964738426496,1.2413793103448276,0.34135601213496025,-19.83833999435186,0.46764349647313436,0.1964147346222309
-6.0,0.0968587873858644,-0.7508134963244905,-0.1086702562440169,1.5172413793103448,0.30493336116794867,-19.639669284715094,0.4366530338704716,0.13973769222810484
-6.0,0.07078491419381039,-0.7765260471026706,-0.11667025112922523,1.793103448275862,0.2801278715519368,-19.483033734611674,0.4119463816963248,0.10212104467716099
-6.0,0.05313981229203146,-0.7936663258661307,-0.12245747278654713,2.0689655172413794,0.26272531264393,-19.35631716501847,0.39201695624061167,0.07666454366748399
-6.0,0.040890648901042326,-0.805645662603821,-0.12669646011960073,2.3448275862068964,0.2501276581062653,-19.25149020436134,0.3756578154578223,0.058992736388265854
-6.0,0.03217318531838753,-0.8143579224369687,-0.1298540708895567,2.6206896551724137,0.24077711029195412,-19.16312430329071,0.3620404321350063,0.04641609490843912
-6.0,0.02580264202378868,-0.820908462503076,-0.1322390603928025,2.896551724137931,0.23355503240420375,-19.087452928555035,0.35038874585725444,0.03722534368955355
-6.0,0.02103801971490027,-0.8259709606334339,-0.13406989141138956,3.1724137931034484,0.22782226458347205,-19.02178269397695,0.3402927483605622,0.03035144671281076
-6.0,0.01738171784044984,-0.8299824814902036,-0.13546671304502825,3.4482758620689653,0.2225979871391994,-18.964123342081297,0.33052123278464896,0.025076518130547676
-6.0,0.014657789513544017,-0.8332014628632596,-0.13665004127534133,3.7241379310344827,0.21991820710818505,-18.91312162397162,0.32420140786327684,0.021146720241583594
-6.0,0.012517724223146898,-0.835931279795897,-0.13766510976392374,4.0,0.22033065209628808,-18.866995962453625,0.3207472617158221,0.01805925865994995
-5.586206896551724,0.003278345513360703,0.05489813390166508,0.08642167009560442,-4.0,0.10826554516913409,-57.20795329119074,0.16194016738957467,0.004729652814445817
-5.586206896551724,0.036137716474385684,0.05646986071687177,0.08429331915262417,-3.7241379310344827,0.12175283051848666,-54.49902671898183,0.1624603646106174,0.05213570434664749
-5.586206896551724,0.029501714613692664,0.05928347787972318,0.08083646167737,-3.4482758620689653,0.14160221727565694,-51.77186196629885,0.21012767411538363,0.0425619773708954
-5.586206896551724,0.003621352421508739,0.12709141608486169,0.015413155287163744,-3.1724137931034484,0.17063096008251746,-49.05462367272118,0.2105779924524147,0.0052245071798218135
-5.586206896551724,0.004119814246342779,0.14110205952825652,0.0021563083648466794,-2.896551724137931,0.1766612793830411,-46.33874990353116,0.21843987468597087,0.00594363558258193
-5.586206896551724,0.006027075706653173,0.13691494643190188,0.006164417765859199,-2.6206896551724137,0.18245366539938512,-43.6307113783536,0.2340831664793532,0.008695232233050909
-5.586206896551724,0.0376007611716771,0.16073417305161186,-0.014841444511387367,-2.3448275862068964,0.2003304551581209,-40.93363610516127,0.2577367719350393,0.05424643167602872
-5.586206896551724,0.011700541998836078,0.15499185334330884,-0.008869554906917343,-2.0689655172413794,0.19942356223314586,-38.25052775462844,0.26686702928242373,0.01688031391743383
-5.586206896551724,0.017815145375664976,0.1565562946927544,-0.008788173932227668,-1.793103448275862,0.21286354048468695,-35.587096324155624,0.28984137616780586,0.025701821886187304
-5.586206896551724,0.0312721808073082,0.1595883805772397,-0.00893353708570742,-1.5172413793103448,0.23213870089518956,-32.95100188030523,0.318654222556167,0.045116220168486265
-5.586206896551724,0.044725718947874915,0.1635504030680305,-0.00824314022942964,-1.2413793103448276,0.2552509494348786,-30.35306583473382,0.35031387491223553,0.0645255729262928
-5.586206896551724,0.08997426239812012,0.16784076581883825,-0.005816834309106551,-0.9655172413793104,0.2953344951587285,-27.809319089305585,0.39056073886693166,0.12980542216941027
-5.586206896551724,0.20387505257776506,0.17405484845474123,-0.0011170154404550002,-0.6896551724137931,0.378397909905177,-25.34685144045397,0.4307939388217034,0.29412952731491826
-5.586206896551724,0.3039638242031095,0.2025261964760659,0.0020972319864389533,-0.41379310344827586,0.4898653703789368,-23.062499921744795,0.5234185215846126,0.4385271017874697
-5.586206896551724,0.3850002640100094,0.1354881918809771,-0.02307599311226836,-0.13793103448275862,0.6399526101197015,-21.411678585660287,0.6633466034597167,0.5554379716281819
-5.586206896551724,0.39735412066711473,-0.12804113556065738,-0.03242130256085834,0.13793103448275862,0.6460774033180233,-20.41996282561519,0.6580158155788818,0.5732608193632407
-5.586206896551724,0.35201227834255344,-0.34215826119696235,-0.04561654764442646,0.41379310344827586,0.5732045537276296,-19.76502003812789,0.6131086231742867,0.5078463682968266
-5.586206896551724,0.2732607750590088,-0.515977794029811,-0.06466977014769197,0.6896551724137931,0.4836887570466886,-19.282527847763326,0.5671202795740258,0.3942319650471062
