U,V,magnetization,charge_density
-6.0,-4.0,"0.0002347694416740546, 0.009061568951870016, 0.32765647553353405, 0.028859140190592658, 0.6341880458823295","0.0003960865965383893, 0.023917049555477857, 1.6469334270664975, 1.970383338214257, 1.3583700985672307"
-6.0,-3.6666666666666665,"0.29770971444690447, 0.24139768541241868, 0.17409583082171098, 0.28101288916340184, 0.005783880155563647","0.6553406383119176, 1.740730997933557, 1.8097863771538716, 0.7826979051024632, 0.011444081498190768"
-6.0,-3.3333333333333335,"0.012320761027834325, 0.46634005808935486, 0.042079079659516405, 0.4670065266851473, 0.012253574538146985","0.025071236859690156, 1.496989456155664, 1.9569698298153142, 1.4960572336243092, 0.024912243545022705"
-6.0,-3.0,"0.014624711678328364, 0.46018721894259285, 0.05060348570217177, 0.4598501419018364, 0.014734441775070915","0.028557465408370168, 1.4969105642139642, 1.948191378542955, 1.4975531615418327, 0.028787430292877152"
-6.0,-2.6666666666666665,"0.017877370233058548, 0.45441097777691786, 0.06355246757390043, 0.44577343625869925, 0.018385748157424033","0.037544807359281535, 1.495965701556186, 1.9352092795758913, 1.4986437117652742, 0.03263649974336581"
-6.0,-2.3333333333333335,"0.021742085983280604, 0.44007505301237193, 0.07620586674698282, 0.440152377992731, 0.02182461626463334","0.038996901556702976, 1.4999974456159486, 1.9217485554812597, 1.500101273260143, 0.039155824085944875"
-6.0,-2.0,"0.027294854114279607, 0.42485837710620955, 0.09563267976776113, 0.42491363596264087, 0.027300453049108848","0.04699497085057802, 1.5022784348013154, 1.9015120435734343, 1.5022215001928005, 0.04699305058187134"
-6.0,-1.6666666666666667,"0.03471958964547426, 0.4041159877643029, 0.1221463985476744, 0.40269076299877415, 0.03632726104377368","0.05745730112329287, 1.500346666802646, 1.873151179688806, 1.5069134839451346, 0.06213136844011777"
-6.0,-1.3333333333333333,"0.04563252030339407, 0.37585500509147163, 0.1567959140744466, 0.37478904686881864, 0.046927513661869175","0.0744710343395627, 1.5040487695110967, 1.835364428965511, 1.5082460989090536, 0.07786966827477766"
-6.0,-1.0,"0.06053699176952764, 0.3385790234226228, 0.20172524737544084, 0.33835815006692294, 0.060800587365485985","0.10056975297317147, 1.5065714534034287, 1.78344872515102, 1.5077708729735382, 0.1016391954988414"
-6.0,-0.6666666666666666,"0.08283318822305749, 0.2888700130479437, 0.25677703216024583, 0.28906085761341127, 0.08245890895534223","0.15988754695686677, 1.4918711552900055, 1.700573590209892, 1.4900160053087745, 0.1576517022344605"
-6.0,-0.3333333333333333,"0.11836276127509204, 0.22842639142535848, 0.30638092341928624, 0.22834588783187526, 0.11848403604838761","0.3747126381600048, 1.3809833659333726, 1.486360213922134, 1.3813704163482647, 0.3765733656362221"
-6.0,0.0,"0.15295771428592225, 0.19176951181696428, 0.3105463798078171, 0.19176843429898766, 0.1529579597903088","0.9999107043247859, 1.0000258906505972, 1.0000026646245987, 0.9999509310109014, 1.0001098093891174"
-6.0,0.3333333333333333,"0.15826009463507074, 0.16658307592766597, 0.35028737655155956, 0.16658699406550387, 0.15828245882019965","1.3394826097821575, 0.6964105417603116, 0.9282955846920413, 0.6965113644233234, 1.3392998993421663"
-6.0,0.6666666666666666,"0.16193884569871186, 0.12885813636434068, 0.41836955664557623, 0.12886341096418516, 0.16197005032718637","1.5473056391208002, 0.44881852714569165, 1.0077979375269728, 0.4488538347876485, 1.5472240614188884"
-6.0,1.0,"0.1647490094037345, 0.09245932175409732, 0.48524750493103636, 0.09250039437982029, 0.16504376953131106","1.6706305545123419, 0.27990610111407566, 1.099265018887997, 0.2800703137109345, 1.6701280117746498"
-6.0,1.3333333333333333,"0.1689807424554779, 0.06530096400269053, 0.5321671974186125, 0.06524171188749009, 0.1683093842357286","1.7306338672830077, 0.18259732405023468, 1.1728187238700656, 0.18241633422803985, 1.731533750568652"
-6.0,1.6666666666666667,"0.17339540299039757, 0.046695782028812305, 0.5598260818437004, 0.046695315468053736, 0.17338741766903565","1.7596216773721562, 0.12674604103518003, 1.2272572982995393, 0.1267431835931388, 1.7596317996999846"
-6.0,2.0,"0.1795433905833802, 0.03424611014369444, 0.5747803785262104, 0.03414148004249633, 0.17728864070421857","1.7720156875777446, 0.09324266232265899, 1.2671799099560417, 0.09298285049156867, 1.774578889651985"
-6.0,2.3333333333333335,"0.1689312054867853, 0.025210938114721006, 0.5806394119492289, 0.026100253069926166, 0.1991181913793385","1.7956346688089042, 0.07030973178387159, 1.2986817856029687, 0.07253623145561496, 1.762837582348641"
-6.0,2.6666666666666665,"0.3757009362246373, 0.012172468543162673, 0.03669053034370395, 0.02121340559198694, 0.5542226592965087","1.589212321201341, 0.03896564682034754, 1.9325087883911225, 0.03763768057769465, 1.4016755630094946"
-6.0,3.0,"0.14893134016005172, 0.014653448699831597, 0.5786529366663654, 0.016647395913532478, 0.24111487856021874","1.829800071991647, 0.04416983782763389, 1.3450810194922624, 0.04871911904661684, 1.7322299516418398"
-6.0,3.3333333333333335,"0.15944747911637447, 0.011938996163777998, 0.584233236350753, 0.012776260224938524, 0.23160402814415548","1.82203615453865, 0.03753027334736052, 1.3533518376019282, 0.04018435857943613, 1.7468973759326234"
-6.0,3.6666666666666665,"0.17022002771614964, 0.009813632205476987, 0.5834606502529364, 0.010274277030129678, 0.22623141279530667","1.8136828945813361, 0.03221110628836693, 1.3642987831753035, 0.03396982072764951, 1.755837395227342"
-6.0,4.0,"0.1240600636103939, 0.007415677259096422, 0.5582649758462319, 0.008338551051879554, 0.3019207322323978","1.8635471808495092, 0.02614496177177112, 1.3984636259015548, 0.03123229414203605, 1.680611937335128"
-5.5,-4.0,"0.009214350934611731, 0.4529987174699932, 0.03034891789680072, 0.49814836238784, 0.009289651310755093","0.021743522793399472, 1.5178988583688122, 1.968889190540196, 1.4709754427925976, 0.02049298550499741"
-5.5,-3.6666666666666665,"0.010856211965798496, 0.4703235895420196, 0.036017368486517154, 0.47072683302103646, 0.012075996984628183","0.023825788944544735, 1.4922296076132682, 1.9629286406121786, 1.4950580959542434, 0.025957866875765137"
-5.5,-3.3333333333333335,"0.04369266474211045, 0.44292221966168854, 0.05535686814997187, 0.4460911660114872, 0.011937081434743185","0.09296449143664878, 1.519658281959491, 1.9409969014530288, 1.4211994148447393, 0.025180910306096236"
-5.5,-3.0,"0.004700133468659993, 0.145387877865477, 0.25170509187380063, 0.2271256372137287, 0.3710812595783336","0.013561476364616768, 0.5928796567253878, 1.7195580336011527, 1.7543385781092244, 0.9196622551996184"
-5.5,-2.6666666666666665,"0.01822256687977021, 0.4509258681621445, 0.06222294185890931, 0.45032474032817604, 0.018303882771000146","0.03551825406195015, 1.4959876970667154, 1.9359129487017375, 1.4968635188855492, 0.035717581284047895"
-5.5,-2.3333333333333335,"0.02202042706281774, 0.4648489615564843, 0.07843683681252112, 0.408075402699979, 0.026618371868197994","0.03907479690632303, 1.4551971540900082, 1.91835485634169, 1.5333753831177805, 0.05399780954419902"
-5.5,-2.0,"0.02819891690561199, 0.4234040291652823, 0.09682004575294012, 0.4233293657013599, 0.028247642474806316","0.05058523663867891, 1.4993946053226872, 1.8996855156275099, 1.4996257236167838, 0.05070891879434034"
-5.5,-1.6666666666666667,"0.03710161241433581, 0.40103331182922963, 0.12372276757147238, 0.4018798276166642, 0.03626248056829812","0.06528976019346946, 1.5020994186517878, 1.870612519099219, 1.4988866480133303, 0.06311165404219526"
-5.5,-1.3333333333333333,"0.047448199627591156, 0.3731159283981187, 0.15887289371312308, 0.373085333046024, 0.04747764521514326","0.08089152501851997, 1.5029668249621735, 1.8320698898665544, 1.503086831668092, 0.08098492848465795"
-5.5,-1.0,"0.06340681862230663, 0.3341884009050544, 0.20480942470683872, 0.33418985990903627, 0.0634054958567638","0.11084776586256273, 1.5008139595421734, 1.7766857581374764, 1.5008102800353407, 0.11084223642244503"
-5.5,-0.6666666666666666,"0.08688843754996084, 0.2831775942128766, 0.25988813470174144, 0.2832139312352089, 0.0868319023002122","0.17549818564946362, 1.480788591199624, 1.688059674072117, 1.4805167262575716, 0.17513682282122423"
-5.5,-0.3333333333333333,"0.12575211710717255, 0.2213662176757395, 0.3058075520143376, 0.22155116876090541, 0.12552294444184497","0.41488283363089423, 1.3588522286091846, 1.4561837738828216, 1.3582069142666597, 0.4118742496104396"
-5.5,0.0,"0.15923001261860503, 0.1862974869420595, 0.3089449976169066, 0.1862974203196982, 0.1592300825027309","0.9999901163074012, 1.0000024967861785, 1.0000002009725444, 0.9999947710953073, 1.0000124148385696"
-5.5,0.3333333333333333,"0.16408417951565057, 0.1620667080769298, 0.34770152568663526, 0.16206628834622172, 0.16408129837456298","1.3260223781690668, 0.7076169038567983, 0.9327115639307136, 0.7076077939291143, 1.3260413601143093"
-5.5,0.6666666666666666,"0.16790770150078782, 0.1257574010826617, 0.4127139933367092, 0.12574862596356326, 0.16787227811627847","1.5305680927997871, 0.4627640062241369, 1.0132844142973878, 0.4627098500099919, 1.5306736366686966"
-5.5,1.0,"0.17115647177580184, 0.09030215979722414, 0.47690508578590673, 0.09032086468988998, 0.171315417951178","1.65541114631461, 0.2912048149432299, 1.1069479035332366, 0.2913009465515164, 1.655135188657409"
-5.5,1.3333333333333333,"0.182253746548673, 0.06426402306443824, 0.5228846963018254, 0.06273849060405812, 0.16785904348100533","1.7089029396580835, 0.19262161804929973, 1.1818767262493148, 0.1881740070659903, 1.7284247089773115"
-5.5,1.6666666666666667,"0.17876958723561154, 0.045422393324522845, 0.5503939342446331, 0.04547616948455489, 0.1799379157106773","1.7504045994243134, 0.1321581112127273, 1.2360668298804531, 0.13237312456460315, 1.7489973349179009"
-5.5,2.0,"0.1840330939499033, 0.033218255848612974, 0.5658562023545308, 0.03320453097285087, 0.18368791687410102","1.764915963434412, 0.09714630034167561, 1.2755269240265785, 0.09710351023435532, 1.765307301962977"
-5.5,2.3333333333333335,"0.18074111222252776, 0.02478170426221757, 0.5736102327508924, 0.02513782635021414, 0.19572912441414814","1.7810815602844894, 0.07399256712340872, 1.3050233360494201, 0.07516455719566564, 1.7647379793470157"
-5.5,2.6666666666666665,"0.20801154167096436, 0.019687689282946, 0.5794769720872601, 0.018889719838880433, 0.17393407711994913","1.7598583861030614, 0.06041602621182899, 1.3249058364411412, 0.05836340493922816, 1.796456346304741"
-5.5,3.0,"0.21432071781957474, 0.015038767376667938, 0.5708692677772418, 0.014539430525226792, 0.1852318165012884","1.7596997890570407, 0.04912792617729678, 1.3531599795447533, 0.04780645173088342, 1.7902058534900251"
-5.5,3.3333333333333335,"0.21737400420417352, 0.012696285755882896, 0.6018995786090879, 0.01199438615633335, 0.15603574527452213","1.7608413868835795, 0.04176250585227019, 1.3336373307288394, 0.0395133463279549, 1.824245430207358"
-5.5,3.6666666666666665,"0.14479455041355804, 0.00880566446101404, 0.564437402326472, 0.00955715528159358, 0.2724052275173625","1.8391507173783945, 0.03273095741949553, 1.3839993427510529, 0.03579728833662311, 1.708321694114433"
-5.5,4.0,"0.35033082663052284, 0.009516839712576886, 0.6271902578054362, 0.008953058984762636, 0.004009016866701298","1.6296116993725018, 0.03440716398573245, 1.3272160609455566, 0.023401331079911106, 1.9853637446162982"
-5.0,-4.0,"0.569614859216037, 0.04570114030204242, 0.2723250608454195, 0.043955993507070384, 0.0684029461294311","1.118722410803862, 1.7620326985262744, 1.7001019011582883, 0.2932739560548179, 0.12586903345675887"
-5.0,-3.6666666666666665,"0.015224216790500964, 0.5607898321415599, 0.0395398657618633, 0.372478305169751, 0.011967780136325773","0.03445519805258803, 1.396783428349333, 1.9592284646501275, 1.5792116376597365, 0.030321271288218953"
