U,V,magnetization,charge_density,doublons
-6.0,-4.0,"-1.8374348659952401e-9, 6.024559953340947e-9, -3.765571965352876e-9, -1.4812329141022929e-10, -1.2319534281601818e-11, -2.611102757621442e-10","0.00012045728238744458, 0.02176653204566997, 1.9797127903612728, 1.9997690091291904, 1.9786350897575864, 0.019996121423890133","1.8506586540515037e-7, 0.0008912961456343326, 0.9798736448080311, 0.9997693379122935, 0.9795171082057287, 0.0001551234618020919"
-5.878787878787879,-3.919191919191919,"-3.4497488719809066e-10, 1.4731832975733994e-9, 6.709846567254374e-10, -4.845861489854997e-10, -1.3498260677605178e-9, 3.5219130624299533e-11","0.020834596137727847, 1.9781793850248985, 1.9997552196512416, 1.9788511612980086, 0.022253470229353554, 0.00012616765876940898","0.00016848390518117517, 0.9788898729284595, 0.9997552833934045, 0.9790259069464975, 0.0007192243050853762, 1.1651628653341286e-7"
-5.757575757575758,-3.8383838383838382,"1.501652757956301e-8, 2.6803853026002855e-9, -4.120200230994797e-8, -7.429582021822867e-8, 9.66398887060349e-8, 1.1610209265614391e-9","0.020882936992242612, 1.9013219789535238, 1.9988925656036693, 1.9787900503356295, 0.09913651758010958, 0.0009759505348265357","0.00017595593984910018, 0.9400301327517119, 0.998899190655217, 0.9789718125424496, 0.038729097102011466, 7.237333610757313e-6"
-5.636363636363637,-3.757575757575758,"1.771426670713755e-10, -1.0979123096777066e-9, 5.88520548960858e-9, -1.551962358625758e-8, 2.3825306505464994e-8, -1.3270118831044952e-8","0.001956659350824785, 0.1808580582677467, 1.9787735262427208, 1.9978710428676145, 1.8196807036282723, 0.02086000964282346","1.612107896409039e-5, 0.07912198406415054, 0.978965784495575, 0.9978893992204214, 0.8987397795424088, 0.0001831791298706842"
-5.515151515151516,-3.676767676767677,"-8.443192270335409e-9, 2.597820286664998e-8, 1.74632688865195e-8, -6.196751500819886e-9, -2.6693896142127027e-8, -2.107631756755957e-9","0.02298357096904646, 1.9178545918010381, 1.9989900304559027, 1.9766245628864336, 0.08269203554927267, 0.0008552083383079152","0.00021108526537692442, 0.9473650448943999, 0.9989958651513475, 0.9768437266518852, 0.029532072974061456, 6.556937926327788e-6"
-5.393939393939394,-3.595959595959596,"6.2341820397535325e-9, -1.2679431376366734e-8, -2.7666222035538368e-8, 3.6242438439249014e-8, 1.3984678820522234e-7, -1.4197775527295675e-7","0.00026708822104033227, 0.03347595048217326, 1.9748862604221173, 1.9995573110184321, 1.9671489734258318, 0.0246644164304034","1.0487284922925512e-6, 0.0043745618756689175, 0.9751340186706663, 0.9995589649141658, 0.9715015894420903, 0.00023636185179968692"
-5.2727272727272725,-3.515151515151515,"1.247599396974339e-10, 1.2347068898549418e-8, -1.4529400904628176e-8, 3.323412139932813e-8, -8.82825024195455e-9, -2.2348299050754805e-8","0.000267081262444146, 0.03309877039729289, 1.9736834581817932, 1.999548528578719, 1.967569196267252, 0.025832965312497715","9.475625957597232e-7, 0.0036144341764968806, 0.973953484793226, 0.9995491478119776, 0.9711678654525049, 0.0002589378032862683"
-5.151515151515151,-3.4343434343434343,"4.636406877433358e-8, -2.6589986545921818e-8, -8.675059548490793e-8, -2.466184251259662e-8, 9.147032556389156e-8, 1.6803036078424233e-10","0.02560479177447749, 1.860825397014703, 1.9980051713668134, 1.9738613457416525, 0.13995072361060806, 0.0017525704917484798","0.0002680348428090329, 0.9171823368365991, 0.998024820556545, 0.9741457896699429, 0.05643559467450061, 1.6523224761839736e-5"
-5.03030303030303,-3.3535353535353534,"4.462207504673599e-9, -2.688722132090926e-8, 3.7226922600108736e-8, 1.108582131648106e-8, 2.6045117174078314e-8, -5.193284726735803e-8","0.0003489058044148175, 0.038163634899770364, 1.9710631343213487, 1.9994271474607093, 1.9626435580990176, 0.028353619414737387","1.544650693008068e-6, 0.004870939293696543, 0.9713897862213253, 0.9994281488311909, 0.967493738562971, 0.0003121859675756918"
-4.909090909090909,-3.272727272727273,"-3.867624775413976e-8, 2.7781088193790104e-8, 1.4543959980795051e-8, 1.4725085595301834e-9, -5.1832995062728315e-8, 4.671168598539138e-8","0.00628965700368226, 0.42615973177218314, 1.9756077062853672, 1.9934134729210966, 1.5746689348864829, 0.023860497131185425","7.069240201377337e-5, 0.1982571430938679, 0.9758924731525511, 0.9934828091547935, 0.7727626910574394, 0.0002753519728732685"
