U,V,magnetization,charge_density,doublons
-6.0,-4.0,"0.00092527461575337, 0.05208759618236265, 0.13835746089206302, 0.05026890309376031, 0.25836076521606066","0.0036348336501530283, 0.2822587686350849, 1.697154092491372, 1.8932921209549367, 1.123660184268454","3.566734984027733e-5, 0.08280731406168204, 0.7029771105705183, 0.8947480170791084, 0.302074793493641"
-6.0,-3.8840579710144927,"0.004720921942412594, 0.23655798256690136, 0.015897033061541443, 0.23843651655995962, 0.004387545869184923","0.02054130171560971, 1.499045009129269, 1.9675997375049623, 1.4934195334658913, 0.019394418184266977","0.0003003451418234755, 0.5073429790162153, 0.9676202652676501, 0.5026722894023982, 0.00010959731193756118"
-6.0,-3.7681159420289854,"0.004982019597006011, 0.23856636920712737, 0.016865200416349424, 0.23458351550436585, 0.005002895275151459","0.021197113079902647, 1.4915997663730918, 1.9655318964154496, 1.500138633302939, 0.021532590828617252","0.00030149059832517507, 0.5015056753176462, 0.9655609846361234, 0.5096711041655968, 0.0003575028438879485"
-6.0,-3.652173913043478,"0.005349294768429876, 0.20845230180518992, 0.017887598945046934, 0.26309673487577767, 0.005214069605555573","0.02445861179867441, 1.554177939984173, 1.9634741662220963, 1.4374158881149974, 0.02047339388005981","0.0007764949157561514, 0.5620999795382218, 0.9635119516054955, 0.45020571627242356, 0.00013256188403782703"
-6.0,-3.536231884057971,"0.005508917567847969, 0.23151972192639858, 0.018909640110474246, 0.23853156579796547, 0.005530154597314001","0.023246454010254554, 1.5037117169195409, 1.9613555539494896, 1.488864470191412, 0.02282180492930635","0.0003898316965710282, 0.5141334598078416, 0.9613925541280747, 0.4998556481852844, 0.0003174517583456622"
-6.0,-3.420289855072464,"0.14198282780942398, 0.12600149342467654, 0.09028832762360317, 0.1385194053297509, 0.0032079458125454092","0.6533942787499123, 1.7281854578538303, 1.8034315722066452, 0.8025089545525417, 0.012479736637072813","0.18073234109908792, 0.7335615749060884, 0.807448521384741, 0.2557496674743461, 9.680371299910784e-5"
-6.0,-3.3043478260869565,"0.006169841867959682, 0.23154843933066965, 0.021317929412673686, 0.23487919390834128, 0.006084595480355573","0.025181360790124764, 1.5006763248730164, 1.9564435749502334, 1.4931052872055308, 0.02459345218109405","0.0004220124914316203, 0.5122179993913594, 0.9564892189130988, 0.505188050662061, 0.000306291645121366"
-6.0,-3.1884057971014492,"0.10155054465917543, 0.1566630042684457, 0.07436868264835872, 0.16296316978440098, 0.004454598639619461","0.4852344344113296, 1.658991286574197, 1.8379481460597564, 1.0004485605988689, 0.017377572355850114","0.13647515818794353, 0.6672252625275499, 0.8413694253016216, 0.33016676605954065, 0.00028080654886441045"
-6.0,-3.072463768115942,"0.007002752502212132, 0.23176927916391638, 0.024288442399796273, 0.2298158852826001, 0.007123640651475379","0.02748992282748246, 1.494557886592935, 1.9502805103879362, 1.4995132083075606, 0.028158471884090115","0.0004731034793348092, 0.5085383800677522, 0.9503510487757574, 0.512919140150432, 0.0006291977283260633"
-6.0,-2.9565217391304346,"0.007407303586548066, 0.23250690770907612, 0.025924362650826205, 0.22666902470378314, 0.00749240134976715","0.028500286029225986, 1.4907404713033527, 1.9469499859469177, 1.5043536186738748, 0.02945563804663168","0.0004301191381755997, 0.5057014017063078, 0.9470274408932808, 0.5182158027816324, 0.0006734240402466823"
