U,V,magnetization,charge_density,doublons
-6.0,-4.0,"2.6069495087828465e-8, -6.8343821713057196e-9, -1.1113747699909027e-9, -7.634151477642348e-9, -1.066173186195507e-9, -9.31165822249671e-9, -4.025910800782887e-10, -2.6404146404035433e-10, -3.4725888831133034e-10, 9.269020551094798e-10, 1.252653542005433e-8, 5.49565065677271e-9, -1.7521922322794037e-8, -5.250297161954595e-10","0.01972619027142162, 1.952113898368016, 1.9995015169033814, 1.9799794229922831, 0.04827785749471622, 0.00045793788991283, 0.00010897725075321727, 0.02021593358177123, 1.9713075630773775, 1.999796231257411, 1.9998928521039603, 1.9797936818183888, 0.028637848098040306, 0.00019008889256718","0.00015327251545985723, 0.9662560141711438, 0.9995034465153136, 0.9801405315961339, 0.014147765558406172, 3.3433547579114826e-5, 2.883935005217725e-8, 0.0001633654466723615, 0.975666688703985, 0.9998020279977379, 0.9998928703963886, 0.9799536105153993, 0.004333416511489011, 6.788394264499684e-7"
-5.755102040816326,-3.836734693877551,"-9.529120656610879e-22, -3.049318610115481e-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.734723475976807e-18, -3.1848438816761693e-19, -3.3616620094155045e-21, -2.626298444855863e-23","7.053120966348407e-7, 0.0001262950995266942, 0.022088357241111096, 1.977911662599709, 1.999873697147783, 1.9999992866294065, 1.9999999919417741, 1.9999992866242065, 1.9998736967473543, 1.977911631603791, 0.022088368554350618, 0.00012630320792464812, 7.133067038530266e-7, 3.984267270506657e-9","3.8091092608811664e-12, 2.8104144882858458e-8, 0.00019030633720817393, 0.9781019684670528, 0.9998737252574441, 0.9999992866333536, 0.9999999919417735, 0.9999992866281501, 0.999873724857502, 0.9781019381827798, 0.0001903065836902586, 2.8109823136814814e-8, 3.9466765301005426e-12, 0.0"
-5.510204081632653,-3.673469387755102,"-3.4534790574088905e-23, -3.758708703440958e-21, -3.3203691532368573e-19, -2.862293735361732e-17, 5.551115123125783e-17, 0.0, 0.0, 0.0, 0.0, 0.0, 5.551115123125783e-17, -2.42861286636753e-17, -1.9651164376299768e-19, -1.2705494208814505e-21","5.678885403741378e-9, 9.31619734392274e-7, 0.00015095834243669177, 0.024131477770878283, 1.9758685224707193, 1.9998490415930783, 1.9999990682753317, 1.9999999884995563, 1.9999990682802802, 1.9998490422104196, 1.9758685666545945, 0.024131461626479212, 0.00015094675977257108, 9.202178293487767e-7","0.0, 6.7255382344059316e-12, 4.009961278495247e-8, 0.00022710489977854833, 0.9760956273660536, 0.9998490816923961, 0.9999990682820623, 0.9999999884995565, 0.9999990682870042, 0.9998490823098929, 0.9760956704390217, 0.00022710452005824403, 4.008958743296627e-8, 6.472642006699188e-12"
-5.26530612244898,-3.510204081632653,"7.031035206700735e-24, 1.4293680984916318e-21, 0.0, -4.336808689942018e-18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.42861286636753e-17, 2.439454888092385e-19, 1.852884572118782e-21","8.233588714969596e-9, 1.2323966950381366e-6, 0.00018197812320820615, 0.026473930926028365, 1.9735260694579007, 1.9998180217747363, 1.9999987674362774, 1.999999983305778, 1.9999987674452488, 1.9998180227585332, 1.9735261335087488, 0.026473907481668498, 0.00018196129300169958, 1.2158585902475289e-6","0.0, 1.1760575077849548e-11, 5.817817707761394e-8, 0.0002732849872263515, 0.9737993544371641, 0.9998180799524059, 0.9999987674480473, 0.9999999833057774, 0.9999987674570061, 0.9998180809364148, 0.9737994167203998, 0.0002732843837089649, 5.816063423308521e-8, 1.1276461899403306e-11"
-5.020408163265306,-3.3469387755102042,"1.04638347487958e-22, 9.476181097407485e-21, 6.911788849595091e-19, 1.3010426069826053e-17, 0.0, 0.0, -6.106226635438361e-16, -4.474198789239381e-14, -1.487088230334166e-12, 3.3073543903583413e-13, -1.3158363287857355e-12, 2.3945385604906555e-12, 1.8085589991757856e-13, -5.781092805700737e-14","1.2161115794269805e-8, 1.6534387704958996e-6, 0.00022145649230036877, 0.029177718064283063, 1.9708222825641097, 1.9997785433450725, 1.9999983462845505, 1.9999999752973499, 1.999998346305972, 1.9997785449590004, 1.9708223771552609, 0.02917768336450141, 0.0002214315647530797, 1.629002963655594e-6","0.0, 2.1149877800630056e-11, 8.599516515244813e-8, 0.00033188444543825866, 0.9711541670048474, 0.9997786293400401, 0.9999983463057037, 0.9999999752973501, 0.9999983463271247, 0.9997786309525819, 0.9711542587170359, 0.0003318834606796219, 8.596358714243045e-8, 2.0192601192335793e-11"
-4.775510204081633,-3.183673469387755,"-1.3093279945866131e-14, -6.571116407698461e-13, -3.3001060244968253e-13, 1.893402839028835e-11, 1.997334519998617e-10, -5.053371610053148e-10, 2.5634144806829795e-10, 3.195849140880114e-11, 3.9081904379401067e-11, 5.097158251032852e-10, 2.6365643002179695e-10, -7.858265149707222e-10, -2.511005032374003e-11, -2.147483993202807e-12","4.6455283598335455e-9, 5.709041052498632e-7, 6.899407266762693e-5, 0.008171916279638154, 0.5080976445667166, 1.9755569079848758, 1.9997940507426435, 1.99999829110418, 1.9999994150923395, 1.9999310077057517, 1.9918281682471803, 1.491912331376668, 0.024438203208264328, 0.00020249406942549823","0.0, 1.1033616037093927e-11, 3.62798558488168e-8, 0.00011053491439132325, 0.238295167806034, 0.9758640111656646, 0.9997941488175638, 0.9999982911334724, 0.9999994151028057, 0.9999310440268991, 0.9919387092228025, 0.7302070377514102, 0.0003069399491283759, 9.278343366340224e-8"
-4.530612244897959,-3.020408163265306,"-7.724940478959219e-19, -7.112366251504909e-17, 5.551115123125783e-17, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -5.204170427930421e-18, 1.6263032587282567e-19, 5.293955920339377e-22, -1.819797347616661e-23, 5.557619740590655e-25","0.0003325359554830176, 0.035999828914518125, 1.964009312096239, 1.9996614723445036, 1.9999968794559895, 1.9999999423939, 1.9999968741259646, 1.9996611177146462, 1.9639912571783926, 0.03600874284502728, 0.000338882276527837, 3.1256040993942556e-6, 2.8833429616331168e-8, 2.612938505243794e-10","1.8877893764967777e-7, 0.000504860055861018, 0.9645137749161081, 0.9996616721932752, 0.999996879531092, 0.9999999423938996, 0.9999968742013496, 0.9996613180941321, 0.9644964400135139, 0.0005051828395139051, 2.003795926820521e-7, 7.538459843323015e-11, 0.0, 0.0"
-4.285714285714286,-2.857142857142857,"-3.4988547167186246e-8, 4.4873164128933496e-8, -2.339103449822133e-7, 1.0351707253608566e-6, -8.028269365186608e-7, -6.463641090363585e-9, -1.2028890967200273e-9, -1.4530788915861903e-9, 7.723143236049168e-10, 2.9005797763659302e-11, 6.996292434280349e-12, 1.2608081245701896e-11, -1.5549658782809672e-11, -3.826731886555877e-12","0.03927508496884813, 1.96071737161699, 1.999116777143528, 1.959559773963294, 0.040887513898048816, 0.00044322341380330496, 0.0004325343283222375, 0.04037493041252452, 1.9596251152899464, 1.99956762527118, 1.9995682183007069, 1.9596522870923163, 0.04036121966201688, 0.0004183246384722217","0.0005952798764476099, 0.9614998208781416, 0.9991182968201207, 0.9601985899476151, 0.0008490797052096742, 4.7154281415654587e-7, 3.2196585845568427e-7, 0.0006349702028384776, 0.9602600635297673, 0.9995679466281594, 0.9995685384055455, 0.9602859744419981, 0.0006343743292229084, 2.970195049384348e-7"
-4.040816326530612,-2.693877551020408,"5.293955920339377e-20, 3.604972223514302e-18, 1.3183898417423734e-16, -1.6653345369377348e-16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -5.377642775528102e-17, -2.9002408113987244e-18, -5.1033735072071595e-20, -8.304893350032398e-22","6.2461681602669205e-6, 0.0005467509218847093, 0.045591258252056864, 1.9544091043163174, 1.9994531107502944, 1.9999936043745603, 1.9999998504271301, 1.9999936040537358, 1.9994530953177585, 1.9544085368701964, 0.045591469061518536, 0.0005469031106996142, 6.393326954426896e-6, 7.304872918761346e-8","2.921356479297077e-10, 5.176634765380941e-7, 0.0008091175950842459, 0.9552182039224213, 0.99945362885273, 0.9999936046887765, 0.999999850427136, 0.9999936043680048, 0.9994536134515576, 0.9552176634747261, 0.0008091268739567032, 5.18129112691836e-7, 3.140153959055144e-10, 0.0"
-3.795918367346939,-2.5306122448979593,"-8.982514346117282e-13, 2.642780471458911e-13, -1.2152119588382249e-12, 6.817879594223086e-13, 1.2659318038288347e-12, -1.0519363158323358e-13, 5.5344617777564054e-14, 8.537615059367454e-13, -1.6964207816272392e-13, -6.078471059822732e-14, 1.0524133647882294e-12, -4.604409301750545e-13, -1.2055913666701235e-12, -5.846412482655914e-14","9.238417336616202e-6, 0.0007118877647324434, 0.05190756519574736, 1.9480298918540035, 1.999286197562527, 1.999990485825843, 1.9999997467868669, 1.999990508200764, 1.9992878508981426, 1.9480920892763671, 0.0519710757868838, 0.0007138292066917829, 9.509819969424916e-6, 1.2340412923398814e-7","6.34771756978225e-10, 8.731844791554352e-7, 0.0010482164868323078, 0.9491088542878822, 0.9992871056999021, 0.9999904865448532, 0.9999997467881923, 0.99999050889165, 0.9992887251189699, 0.9491403229072681, 0.00107901488225004, 9.082011703575616e-7, 7.174639336058255e-10, 0.0"
