m_sdw,V,E_GS,E_p_bits,E_p,coh_1rdm,S,m_cdw,coh_2rdm,Q_2,U
2.5923871857365094e-9,-4.0,-122.80412202451294,0.03145082685480505,0.021800051960687572,0.0,0.02771857047924991,0.13322102782862139,0.0,0.0,-6.0
1.681322438618103e-19,-3.836734693877551,-132.78751731712603,0.004567545430146591,0.0031659812369850826,0.0,0.012381394258151188,0.13658206710697557,0.0,0.0,-5.755102040816326
1.1671986760289667e-17,-3.673469387755102,-127.17384520937709,6.57346591976804e-5,4.5563793688252474e-5,0.0,0.013503029292440127,0.13600530520886037,0.0,0.0,-5.510204081632653
2.0616862586279394e-18,-3.510204081632653,-121.56198633450538,7.888443667214418e-5,5.4678524869622436e-5,0.0,0.014784239611726948,0.13534481221399605,0.0,0.0,-5.26530612244898
3.746723352901202e-13,-3.3469387755102042,-115.95221652535635,9.555494214241733e-5,6.623363873403676e-5,0.0,0.016256816977345982,0.1345834646468658,0.0,0.0,-5.020408163265306
1.0476571478363265e-10,-3.183673469387755,-110.34485291992573,0.0949461638783049,0.06581166579722941,0.0,0.06764283504523862,0.06796764563209316,0.0,0.0,-4.775510204081633
9.373469450206197e-18,-3.020408163265306,-104.74033117548919,0.00014479901460706657,0.0001003670287227365,0.0,0.019942917767048096,0.13266653856028837,0.0,0.0,-4.530612244897959
1.5316642239017766e-7,-2.857142857142857,-88.2745158300532,0.0019780368321669073,0.0013710706532603645,0.0,0.04424596716942616,0.13153336234408305,0.0,0.0,-4.285714285714286
1.7421001072434325e-17,-2.693877551020408,-93.54204518129788,0.009462175415839713,0.006558680211453005,0.0,0.025056132705949412,0.1299855109565893,0.0,0.0,-4.040816326530612
1.5928222622928877e-13,-2.5306122448979593,-87.94971250755253,0.010790552094972927,0.007479440761315459,0.0,0.028389543783257563,0.12821840221893271,0.0,0.0,-3.795918367346939
2.2991334512027213e-13,-2.36734693877551,-82.36317623086462,0.00039647892798999607,0.0002748182510878827,0.0,0.03239573842138551,0.1260838871256649,0.0,0.0,-3.5510204081632653
7.261083860237828e-14,-2.204081632653061,-76.78421943732049,0.0005372669956629217,0.0003724051032523157,0.0,0.03738533257556681,0.12340702573832808,0.0,0.0,-3.306122448979592
4.3806378766774234e-13,-2.0408163265306123,-71.21447465415058,0.017047136095282855,0.01181617432106652,0.0,0.043603124352992594,0.12003096131462242,0.0,0.0,-3.061224489795918
8.71269663683788e-14,-1.8775510204081634,-65.65683891271001,0.0010816919461884567,0.0007497717227349376,0.0,0.05152994744566932,0.1156775665647392,0.0,0.0,-2.816326530612245
