U,Omega_2rdm,Omega_1rdm,V,magnetization,charge_density,doublons
-6.0,"1.7915179042333993, 1.7921835474014753, 1.7932379230582414, 1.793359274040909, 1.793359274050521, 1.7933592740505213, 8.599045631933887, 8.922155988712447, 8.922155988942976, 8.922155988943002, 8.954811319153798, 8.954811319154144, 8.95481131932349, 9.342490076593554, 12.32622978772626, 12.452960287396863, 12.452960287401899, 12.452960289231807, 15.442827541619147, 16.35316585022138, 18.08816528896417, 23.841992102118514, 23.84199264002803, 23.841992930061664, 25.89972629244247, 25.899737287445955, 25.899737865866346, 27.041097004649778","1.3868603305988794, 1.3868604381128569, 1.3873426098946278, 1.3873427161448921, 8.454092196281826, 8.454105729683299, 8.56648973404862, 8.566503151580195",-4.0,"-1.378849609125904e-7, 8.409267265863107e-8, 9.302929865340204e-8, -3.92370103794934e-8","0.02296284352736729, 1.9770803767371548, 1.9770399212310519, 0.02291685850442638","0.0010234769193028766, 0.9780283992154306, 0.9780083464899744, 0.0010017101449201864"
-6.0,"1.7914657149350246, 1.7922474119327043, 1.79329725170929, 1.7934286228386844, 1.793428622838687, 1.7934286228386913, 8.561893409330503, 8.887085514356096, 8.887085514356105, 8.887085514356226, 8.909136490642956, 8.909136490643004, 8.909136490643101, 9.29735745961408, 12.164413988463538, 12.283988778077136, 12.283988778077696, 12.28398877807858, 15.663442384655847, 16.23784668814117, 16.69996315322586, 17.514016978767362, 17.51401697878952, 17.51401697889001, 24.354986592110553, 24.354986761663156, 24.354987088403355, 27.26074395504012","1.3868777649754722, 1.3868777649754747, 1.387394980637979, 1.3873949806379795, 8.410855495785949, 8.410855495790717, 8.525364171406618, 8.525364171414507",-3.836734693877551,"2.9564024839334735e-14, -1.7225110227059304e-13, -2.2437607327674414e-13, 3.67095243092308e-13","0.023756148784395782, 1.9762433488264826, 1.976243822933446, 0.0237566794556772","0.0010699524322886338, 0.9772550942980284, 0.977255325026862, 0.0010702127319709267"
-6.0,"1.7913998899448715, 1.7923313256468165, 1.7934095931545195, 1.7935576432598996, 1.7935576432599007, 1.7935576432599043, 8.498349264163306, 8.81325125437117, 8.813251254371286, 8.81325125437139, 8.83812419186585, 8.83812419186596, 8.838124191866086, 9.212136975649438, 11.99885034569531, 12.11780200495858, 12.117802004958786, 12.117802004959033, 15.6757304760037, 15.940373863174282, 15.940373863191954, 15.94037386320368, 15.957269221744598, 16.287400429699307, 20.02848979951118, 20.028489806094196, 20.02848981345363, 20.27952128054925","1.3869134510475511, 1.3869134510475514, 1.3874886240516768, 1.3874886240516768, 8.335056453665347, 8.335056453665358, 8.453484126054635, 8.453484126054654",-3.673469387755102,"4.336808689942018e-18, 0.0, 5.551115123125783e-17, -7.546047120499111e-17","0.0246790254780513, 1.9753206963956418, 1.9753209927240185, 0.02467928540228688","0.0011616767456206912, 0.9764175219612459, 0.9764176716793892, 0.0011618032388170927"
-6.0,"1.791321716071017, 1.7924305332713217, 1.7935327010653919, 1.7937000277035027, 1.7937000277035047, 1.793700027703506, 8.433691744860702, 8.73800842543584, 8.738008425435861, 8.738008425435993, 8.766078190379355, 8.766078190379421, 8.76607819037962, 9.125589074733181, 11.826443222231788, 11.945651849237786, 11.945651849238448, 11.945651849238997, 14.910209769931173, 14.968807399657445, 14.968807399696956, 14.96880739971357, 16.10846905874866, 16.12042255804138, 19.646140901719004, 19.646140902875732, 19.646140903265415, 19.8720080690646","1.3869516577923084, 1.3869516577923087, 1.387593106847067, 1.387593106847067, 8.257382864712362, 8.257382864712387, 8.380003981086869, 8.380003981086892",-3.510204081632653,"1.734723475976807e-17, 0.0, -5.551115123125783e-17, 3.5561831257524545e-17","0.025665664868350653, 1.9743387807732424, 1.974334580664809, 0.025660973693599147","0.0012652341197758417, 0.975529355272652, 0.9755272674736593, 0.0012629228456698355"
-6.0,"1.7912261080801963, 1.792551558428268, 1.7936833570966528, 1.7938741126064055, 1.7938741126064062, 1.793874112606408, 8.36098526751614, 8.653576331363556, 8.653576331363585, 8.653576331363693, 8.684758778964369, 8.6847587789644, 8.684758778964504, 9.028277900028167, 11.646627694280905, 11.766353124775353, 11.766353124775838, 11.766353124776831, 14.236148536153165, 14.236148536154449, 14.23614853616326, 14.26151077110804, 15.931657893368673, 16.22766530303535, 19.262001658519715, 19.26200166010647, 19.262001660515928, 19.464421448868105","1.3869985640701312, 1.3869985640701312, 1.3877206019787975, 1.3877206019787975, 8.17027137338271, 8.170271373382807, 8.296638563396101, 8.296638563396211",-3.3469387755102042,"6.938893903907228e-18, 0.0, 5.551115123125783e-17, -7.632783294297951e-17","0.026732359713558543, 1.9732671142533453, 1.9732676653487844, 0.026732860684312174","0.0013871724644565079, 0.9745731543988706, 0.9745734329131456, 0.0013874150466153768"
-6.0,"1.791111027705433, 1.7926963593072647, 1.7938512956665376, 1.7940695042117674, 1.7940695042117694, 1.7940695042117702, 8.28652741504458, 8.567199834762032, 8.567199834762052, 8.567199834762116, 8.60190320775782, 8.601903207757854, 8.601903207757923, 8.92933042968101, 11.459580594735135, 11.57994889770649, 11.579948897706641, 11.579948897706975, 13.630733305115784, 13.630733305131349, 13.630733305133376, 13.695784915981108, 15.740491946875938, 16.35089847744143, 18.860009800936982, 18.860009805618898, 18.86000980567507, 19.04013133445215","1.3870496517300315, 1.3870496517300315, 1.3878652535278435, 1.3878652535278435, 8.0805788343368, 8.080578834336869, 8.210906547232508, 8.210906547232566",-3.183673469387755,"1.0408340855860843e-17, -5.551115123125783e-17, 0.0, -3.382710778154774e-17","0.02788261585098531, 1.9721186086303732, 1.9721175071417496, 0.027881268376891526","0.0015272856757010947, 0.9735535342727856, 0.9735529907821854, 0.0015266267443208095"
-6.0,"1.790970706280842, 1.7928721958791127, 1.7940460977371695, 1.7942971598838995, 1.7942971598839004, 1.7942971598839015, 8.207621233008982, 8.475866902404537, 8.475866902404572, 8.47586690240463, 8.514353082713647, 8.514353082713678, 8.514353082713779, 8.825130208887744, 11.264630054484247, 11.385795169428416, 11.385795169429159, 11.38579516942973, 13.102765409869447, 13.102765409872966, 13.102765409878167, 13.187752954445335, 15.539277542017038, 16.48686769583661, 18.445215559882325, 18.445215559986604, 18.44521556128429, 18.604546979952197","1.3871080103760998, 1.3871080103760998, 1.3880349360625654, 1.3880349360625657, 7.985306873512054, 7.985306873512088, 8.119535728468056, 8.119535728468074",-3.020408163265306,"-7.806255641895632e-18, 0.0, 5.551115123125783e-17, -3.8163916471489756e-17","0.029129194100828967, 1.9708707529205987, 1.9708708829003698, 0.02912917007820185","0.00168987239373821, 0.9724566437524335, 0.9724567157514019, 0.0016898548086604949"
-6.0,"1.790797339402101, 1.7930881910619894, 1.794277593137063, 1.7945685917651437, 1.7945685917651444, 1.7945685917651448, 8.122374716357387, 8.377368591421954, 8.37736859142196, 8.377368591422094, 8.420475037602442, 8.420475037602497, 8.420475037602607, 8.714048593700428, 11.062507212558863, 11.183558332243173, 11.183558332243509, 11.183558332244198, 12.624651825583417, 12.62465182558381, 12.624651825585666, 12.728555450229038, 15.305995119320146, 16.70527327006621, 18.019424077830283, 18.01942407819751, 18.019424078244473, 18.1434493148928","1.3871765375718523, 1.3871765375718526, 1.388238140041922, 1.3882381400419224, 7.882059138913208, 7.882059138913247, 8.021081517965618, 8.02108151796566",-2.857142857142857,"-5.204170427930421e-18, 0.0, -5.551115123125783e-17, 6.765421556309548e-17","0.030497768412893728, 1.9695096055973074, 1.9695024238703587, 0.03049020211944137","0.0018852430344090548, 0.9712725325542726, 0.971268912854935, 0.0018814700596490703"
-6.0,"1.7905835749523997, 1.7933543056171244, 1.7945485782876698, 1.7948881196939146, 1.7948881196939164, 1.7948881196939177, 8.032466680867765, 8.273942689932616, 8.273942689932683, 8.273942689932731, 8.321493096747199, 8.321493096747256, 8.321493096747284, 8.597246257145214, 10.850220893443932, 10.97213723515, 10.972137235150129, 10.972137235150228, 12.182351067026202, 12.18235106702724, 12.182351067027481, 12.290956890192962, 15.078879440771257, 16.944001805481733, 17.577976896889684, 17.577976896922948, 17.57797689758598, 17.68484197268528","1.387255240127454, 1.387255240127454, 1.3884794320496243, 1.3884794320496252, 7.773206525162354, 7.773206525162588, 7.915848491714545, 7.91584849171482",-2.693877551020408,"4.687222832089333e-15, -2.7200464103316335e-15, -1.7208456881689926e-15, -1.8214596497756474e-16","0.031985483432863525, 1.9680045074392556, 1.9680143599673032, 0.03199564916057608","0.00210915666862288, 0.9699823200448165, 0.9699872977590878, 0.002114201887165681"
-6.0,"1.79031597993052, 1.7936864069568321, 1.7948744736487725, 1.7952736547914194, 1.79527365479142, 1.7952736547914212, 7.935624196908939, 8.163021980546956, 8.163021980546986, 8.163021980546999, 8.21551117031153, 8.215511170311569, 8.215511170311599, 8.47289144545356, 10.627606581349385, 10.751024010184862, 10.751024010185262, 10.751024010185413, 11.763502512534405, 11.763502512535311, 11.763502512535522, 11.875124055291632, 14.836774404552354, 17.122425594328533, 17.122425594363538, 17.122425594573397, 17.21383359449319, 17.298341221722076","1.3873486460798616, 1.3873486460798619, 1.3887721188651585, 1.3887721188651585, 7.655835502562848, 7.655835502562849, 7.802209310081438, 7.802209310081443",-2.5306122448979593,"1.734723475976807e-18, 0.0, 5.551115123125783e-17, -1.734723475976807e-18","0.033655435117131136, 1.966356675220958, 1.9663449330089153, 0.03364295665299517","0.002389547994428967, 0.9685825264270629, 0.9685766050548571, 0.0023833289567552697"
