U,Omega_2rdm,Omega_1rdm,V,magnetization,charge_density,doublons
-6.0,"1.7899752475414425, 1.7941077405859633, 1.7952768256342515, 1.7957513918216446, 1.795751391821646, 1.7957513918216468, 7.829201769400598, 8.041697952721686, 8.041697952721732, 8.04169795272183, 8.1000587869851, 8.100058786985144, 8.10005878698523, 8.338690350551426, 10.395686970413355, 10.519689025793946, 10.519689025794392, 10.519689025794495, 11.359984844048983, 11.3599848440496, 11.359984844049718, 11.479588515110612, 14.552414983512328, 16.651570943015635, 16.651570943511253, 16.65157094352157, 16.71612324732864, 18.008553458022387","1.387462547925531, 1.3874625479256026, 1.3891363162555495, 1.3891363162556767, 7.526862650190684, 7.526862650381945, 7.677931463565626, 7.677931463758153",-2.36734693877551,"-4.0464680217677795e-13, 3.011479954295737e-13, 1.0665912597573879e-12, -9.630091862833368e-13","0.03551120910793222, 1.9644887910922848, 1.9644887909010709, 0.03551120889871194","0.002724353450768275, 0.9670288988161276, 0.9670288987189746, 0.0027243533467966367"
-6.0,"1.7895414646259005, 1.7946443136871728, 1.7957673746426968, 1.7963364893991496, 1.7963364893991507, 1.796336489399154, 7.715439278800595, 7.91277727471796, 7.912777274717968, 7.912777274717969, 7.976993649781614, 7.9769936497816145, 7.976993649781635, 8.196082896429226, 10.15071231458411, 10.27625240413673, 10.27625240413681, 10.276252404136994, 10.967693549093086, 10.967693549093232, 10.967693549093406, 11.088499597888244, 14.272244550603629, 16.1619746788, 16.161974678878593, 16.16197467897208, 16.214823871405947, 19.42182705366561","1.3875990275390306, 1.3875990276342016, 1.3895856805015012, 1.389585680595525, 7.3892726623096605, 7.389272672923821, 7.543414955459992, 7.543414967214312",-2.204081632653061,"3.845236195426649e-10, -3.7870501179426697e-10, -5.723512219724114e-10, 5.6653261248929e-10","0.03761182046693998, 1.962388189936454, 1.9623881808860864, 0.0376118087105201","0.003137851247851043, 0.9653088052491321, 0.9653088011076374, 0.003137845858456058"
-6.0,"1.788978090872609, 1.7953407499133238, 1.796384157874187, 1.7970747935130311, 1.7970747935130313, 1.7970747935130316, 7.591034724099093, 7.772692412191426, 7.77269241219146, 7.77269241219147, 7.84326376987294, 7.843263769872981, 7.843263769873023, 8.042157283931196, 9.892739927107309, 10.01973471550681, 10.019734715507038, 10.019734715507239, 10.580731945414394, 10.580731945414593, 10.580731945414971, 10.702793533710992, 13.968894861210824, 15.652236995180534, 15.652236995284927, 15.652236995300957, 15.69480577155182, 21.1796016445028","1.3877682995732976, 1.3877682997615448, 1.3901556666121648, 1.3901556668146975, 7.239200150316439, 7.23920015698715, 7.395853528913071, 7.395853531101879",-2.0408163265306123,"2.235688509322209e-10, -2.1627538648871791e-10, -3.81839226903935e-10, 3.7454583878826497e-10","0.04002280544854928, 1.959977085720412, 1.9599771913085724, 0.04002291752246819","0.003656568942973667, 0.9633746590930024, 0.9633747137927045, 0.0036566259909276175"
-6.0,"1.788233970841366, 1.7962607318038069, 1.7971758693316395, 1.7980255815078183, 1.7980255815078192, 1.7980255815078199, 7.453959702079461, 7.619424078307909, 7.619424078307936, 7.619424078307959, 7.6968820667167765, 7.696882066716841, 7.696882066716876, 7.874865472501514, 9.620276224953457, 9.748480503220607, 9.748480503220804, 9.748480503220932, 10.194741764460973, 10.19474176446135, 10.194741764461508, 10.318200183632355, 13.638106887306396, 15.119061035114623, 15.119061035131253, 15.119061035189931, 15.152681514281738, 17.677301086730402","1.3879828641822882, 1.387982864653406, 1.3908931467281402, 1.3908931472391866, 7.074500195006753, 7.074500207441133, 7.232916233057786, 7.232916234345324",-1.8775510204081634,"1.8716809525864964e-10, -1.2024081730288572e-10, -1.0179693199496853e-9, 9.510420975050726e-10","0.042838834994101224, 1.9571609314271123, 1.9571611502502324, 0.042839083328553726","0.004319769202626111, 0.9611677853608008, 0.9611678953909977, 0.004319892000304291"
-6.0,"1.787231564276658, 1.7975013137870974, 1.7982165528194334, 1.7992789779119736, 1.7992789779119742, 1.799278977911975, 7.3016765417675265, 7.450444609446326, 7.450444609446339, 7.450444609446363, 7.535345580698769, 7.535345580698796, 7.535345580698816, 7.691608621151176, 9.331514317214, 9.460434295873563, 9.460434295873634, 9.46043429587372, 9.805584565134172, 9.805584565134232, 9.805584565134517, 9.930550926283578, 13.274637940404284, 14.558109761045195, 14.5581097610546, 14.558109761067952, 14.584035927552707, 16.125303635339023","1.3882617521470122, 1.3882617521757707, 1.3918693656184875, 1.391869365654293, 6.892534429358271, 6.892534436252381, 7.051740860495711, 7.051740866586359",-1.7142857142857142,"3.921701418468926e-10, -4.053262170344851e-10, -2.6406382636068315e-10, 2.772198998135522e-10","0.04619962172947975, 1.9538003894369294, 1.9538003810052529, 0.046199607828336764","0.005186651196860153, 0.958602851254455, 0.9586028480254355, 0.005186645397465514"
-6.0,"1.7858490964739766, 1.7992160421688932, 1.7996237873462109, 1.8009779257150071, 1.8009779257150076, 1.800977925715008, 7.130847967011811, 7.262413442095035, 7.2624134420950375, 7.262413442095073, 7.355306810248988, 7.355306810249001, 7.355306810249038, 7.488877439783317, 9.024229784858715, 9.152984855514038, 9.15298485551412, 9.152984855514287, 9.409041272459069, 9.409041272459097, 9.409041272459207, 9.535467759537477, 12.871607754301124, 13.963680164044579, 13.96368016405897, 13.963680164066842, 13.983094293557647, 14.971681515952108","1.3886353526286759, 1.3886353526288089, 1.3931971209497818, 1.3931971209498826, 6.689895942058214, 6.689895942093012, 6.848638754044428, 6.848638754077851",-1.5510204081632653,"-4.040517920245179e-14, 4.035660694512444e-14, 7.549516567451064e-14, -7.54535323110872e-14","0.05031948605057158, 1.949680513946726, 1.949680513949066, 0.0503194860536368","0.006349814991669502, 0.9555500013931817, 0.9555500013942471, 0.0063498149931021635"
-6.0,"1.7838880197758704, 1.8015920123237796, 1.8016578547230813, 1.803358514966147, 1.8033585149661486, 1.8033585149661489, 6.937080707292443, 7.050905399904441, 7.050905399904444, 7.050905399904452, 7.152279203898673, 7.152279203898678, 7.152279203898684, 7.261923370162194, 8.6957021815691, 8.822792409833815, 8.822792409833891, 8.822792409833943, 9.000563233424561, 9.00056323342461, 9.000563233424685, 9.128053581945611, 12.42013860616875, 13.3280768565075, 13.328076856509668, 13.328076856515256, 13.342102257710389, 13.971659312848923","1.389154251875728, 1.3891542518773934, 1.3950623395100716, 1.3950623395114654, 6.462172720098943, 6.462172721414236, 6.618850432254847, 6.618850433223386",-1.3877551020408163,"-1.2745717675732848e-11, 6.1636251658114816e-12, 5.945333114709683e-11, -5.287113802321386e-11","0.05554340555877459, 1.9444565881283455, 1.9444565935892706, 0.05554341272360889","0.007961052827597697, 0.9518034833369541, 0.9518034859276956, 0.007961056204649451"
-6.0,"1.781009263542613, 1.8044609583489546, 1.8052650615278052, 1.806832392846123, 1.8068323928461238, 1.806832392846124, 6.7143977120206335, 6.809837715091021, 6.809837715091029, 6.8098377150910325, 6.919993745016178, 6.919993745016187, 6.919993745016191, 7.004054151289076, 8.342612535578732, 8.465527968595783, 8.465527968595818, 8.465527968595836, 8.575001750643256, 8.575001750643281, 8.57500175064329, 8.702478197300938, 11.90834441659098, 12.640798152022976, 12.640798152026242, 12.640798152026393, 12.650502794069316, 13.031713566090076","1.389907774545389, 1.3899077746346302, 1.3977881081539307, 1.3977881082516685, 6.203450826226002, 6.2034508309631295, 6.356015953555377, 6.35601596018206",-1.2244897959183674,"1.8460302383949134e-10, -1.833900808989597e-10, -7.901451715142116e-11, 7.780157768033646e-11","0.062456927042774335, 1.9375430550559196, 1.9375430711042165, 0.062456946797090296","0.010282292184839014, 0.9470180122372023, 0.9470180202828273, 0.010282301952400234"
-6.0,"1.7766020093876078, 1.808864190237931, 1.810844489291127, 1.8121649737682184, 1.812164973768219, 1.812164973768221, 6.454477524614989, 6.530614426928347, 6.530614426928357, 6.530614426928387, 6.649404185987277, 6.649404185987283, 6.649404185987308, 6.7055708599297255, 7.9610295067135874, 8.075580796719494, 8.0755807967195, 8.075580796719551, 8.126402689833398, 8.12640268983341, 8.126402689833442, 8.251449672579941, 11.320052831558376, 11.88715477559365, 11.887154775594036, 11.887154775594684, 11.893542904258142, 12.099309103119392","1.3910650593494793, 1.3910650593524034, 1.4019721396259441, 1.4019721396300446, 5.905597022901648, 5.905597023027011, 6.051401537718534, 6.051401537983225",-1.0612244897959184,"-1.3127714193483797e-11, 2.2013113554208985e-11, 7.704614723991199e-12, -1.6589951634671252e-11","0.0721219960574547, 1.9278779999433162, 1.9278780034014653, 0.07212200059776358","0.013795909406968506, 0.9405748784765172, 0.9405748801851653, 0.013795911621220416"
-6.0,"1.7694957316499702, 1.8160843611246267, 1.819994885681305, 1.8208990409196666, 1.8208990409196668, 1.8208990409196688, 6.1454239092236165, 6.200673571476702, 6.200673571476708, 6.200673571476713, 6.326918964749143, 6.326918964749152, 6.326918964749161, 6.351989572729441, 7.546680832775095, 7.645876154231341, 7.645876154231354, 7.6458761542313685, 7.648076379705336, 7.64807637970534, 7.648076379705363, 7.765556278970972, 10.632804076219912, 11.046106680117942, 11.046106680118095, 11.04610668011818, 11.050080534004234, 11.134884339238306","1.3929763346268504, 1.3929763346285469, 1.4088096005189883, 1.4088096005201411, 5.557088588913976, 5.55708858899912, 5.692592609041511, 5.692592609097672",-0.8979591836734694,"-3.574262413819085e-12, 5.053568674640019e-12, -3.2691072071600047e-12, 1.7897697213165031e-12","0.0866286709996773, 1.9133713287545815, 1.913371328957854, 0.08662867128788727","0.019465218318706328, 0.9312713991447104, 0.9312713992424484, 0.01946521845812475"
-6.0,"1.7572937291762825, 1.8290029247034745, 1.8361757887932446, 1.836476779949185, 1.8364767799491863, 1.8364767799491866, 5.769942639877875, 5.801143097959475, 5.801143097959477, 5.80114309795948, 5.921337212589718, 5.93134064700442, 5.9313406470044265, 5.931340647004429, 7.0962551074670825, 7.133841609986789, 7.133841609986792, 7.133841609986814, 7.168568143166362, 7.168568143166367, 7.168568143166396, 7.232825460847254, 9.815142438983194, 10.087063926595967, 10.087063926596072, 10.087063926596175, 10.089326497565207, 10.101716939396328","1.3964557391410197, 1.3964557391410288, 1.4209312453939118, 1.4209312453939187, 5.141266970682057, 5.141266970682372, 5.2613719495305125, 5.261371949530727",-0.7346938775510204,"-1.258576576290693e-13, 1.7114087924596788e-13, -1.5298873279334657e-13, 1.0775408343377535e-13","0.11053423303345244, 1.8894657669500843, 1.8894657669634078, 0.11053423305305603","0.029420952611896416, 0.9165212040318554, 0.9165212040385522, 0.029420952621697985"
-6.0,"1.734845840002697, 1.8549854469686593, 1.86759575114085, 1.8675957511408516, 1.8675957511408525, 1.8676020012959347, 5.3038346387956254, 5.304240777427672, 5.304240777427678, 5.30424077742768, 5.381656520877159, 5.429632177715336, 5.429632177715337, 5.429632177715339, 6.583947035508782, 6.583947035508796, 6.583947035508798, 6.6127116225873275, 6.6400892193948025, 6.6400892193948104, 6.640089219394819, 6.640905605611327, 8.825193844325735, 8.966818962196639, 8.967113604168915, 8.96711360416894, 8.967113604169011, 8.968020195761188","1.4036988422491894, 1.4036988422492729, 1.44481519093754, 1.4448151909375468, 4.6349188139386035, 4.63491881393878, 4.731081446761841, 4.731081446764167",-0.5714285714285714,"1.0399320293785763e-13, -3.197442310920451e-14, 4.67847982577041e-13, -5.398251290422706e-13","0.15509857308699987, 1.8449014270661737, 1.84490142696005, 0.15509857288677786","0.04900643517730423, 0.8900416816927831, 0.890041681642352, 0.04900643508050013"
-6.0,"1.6920375373385392, 1.915472144754141, 1.9341447301098869, 1.9389934412531833, 1.9389934412531844, 1.9389934412531853, 4.681316566901382, 4.6813165669013825, 4.681316566901383, 4.70051258937364, 4.723909930392638, 4.780088464662217, 4.780088464662218, 4.780088464662219, 5.998450271229471, 6.030805623376733, 6.030805623376736, 6.030805623376742, 6.086470338590945, 6.086470338590946, 6.086470338590949, 6.127794023910977, 7.623016340494943, 7.643893766049463, 7.643893766049503, 7.643893766049522, 7.647464498058606, 7.741023456827341","1.4216781896878163, 1.4216781896878177, 1.4978049884452609, 1.4978049884452669, 4.017151923614397, 4.017151923614505, 4.070629345928776, 4.070629345928963",-0.40816326530612246,"-3.247402347028583e-14, 9.614531393253856e-14, -1.0502709812953981e-13, 4.135580766728708e-14","0.2517569634501271, 1.7482430365278905, 1.7482430365387747, 0.25175696348320675","0.09339927717603869, 0.8347218482261586, 0.8347218482313123, 0.09339927719219716"
-6.0,"1.626154169971243, 2.055331918673923, 2.065583005069375, 2.109505221946914, 2.109505221946917, 2.109505221946918, 3.947884450505707, 4.005208567293293, 4.005208567293293, 4.005208567293294, 4.0109242709854, 4.0109242709854005, 4.0109242709854005, 4.07037828627578, 5.525085601430376, 5.6452031126921645, 5.645203112692169, 5.645203112692172, 5.655197510753844, 5.655197510753845, 5.6551975107538475, 5.749633954101189, 6.209147112593665, 6.2156808137895005, 6.2156808137895085, 6.215680813789509, 6.3527999566491085, 6.699065061780635","1.4716746924744075, 1.4716746924744077, 1.6127728219189263, 1.6127728219189266, 3.31287914820268, 3.31287914820268, 3.360614273829201, 3.360614273829202",-0.24489795918367346,"-1.249000902703301e-16, 2.220446049250313e-16, -5.551115123125783e-17, -8.326672684688674e-17","0.48026242915728246, 1.5197375708427527, 1.5197375708427585, 0.4802624291572059","0.20216583430153132, 0.7092507179934596, 0.7092507179934635, 0.20216583430149418"
-6.0,"1.610807926061831, 2.092917446665857, 2.2558893820692494, 2.2953558674604633, 2.295355867460466, 2.2953558674604664, 3.4114916457066893, 3.4114916457066897, 3.41149164570669, 3.530442192924581, 3.616581157846724, 3.8536308650547877, 3.8536308650547886, 3.8536308650547886, 4.975445045461891, 5.075275527951286, 5.075275527951287, 5.075275527951289, 5.388733154374352, 5.851684153498917, 5.85168415349892, 5.851684153498921, 5.943763239039621, 5.943763239039624, 5.943763239039627, 6.254072587288568, 6.332273619090188, 7.09826703956443","1.5568613801776592, 1.5568613801776594, 1.7090036458231157, 1.709003645823116, 2.7804731463512584, 2.780473146351259, 3.0758993671503836, 3.0758993671503836",-0.08163265306122448,"0.0, 5.551115123125783e-17, 0.0, -2.7755575615628914e-17","0.8505453216583174, 1.1494546783416797, 1.1494546783416753, 0.8505453216583274","0.3839300373060088, 0.5161125309163893, 0.5161125309163871, 0.38393003730601377"
-6.0,"1.6749256937131132, 2.0253209024576004, 2.2793437313891793, 2.296971432381473, 2.2969714323814756, 2.2969714323814774, 3.203719765461604, 3.2037197654616043, 3.203719765461605, 3.2846068685428516, 3.7591306306183427, 4.07149648826993, 4.071496488269931, 4.071496488269931, 4.507037102392115, 5.145961229319558, 5.1459612293195605, 5.145961229319561, 5.484174904587351, 6.594542940409665, 6.59454294040967, 6.594542940409674, 6.684352406547859, 6.684352406547864, 6.6843524065478706, 7.058034861443813, 7.06256341665746, 7.242314020276695","1.5974136660953568, 1.5974136660953935, 1.690150517906156, 1.690150517906332, 2.6593401594422894, 2.6593401594427353, 3.144360129531654, 3.1443601295317958",0.08163265306122448,"1.3877787807814457e-15, -3.774758283725532e-15, 1.3877787807814457e-15, 9.992007221626409e-16","1.1018832991472678, 0.8981167008553597, 0.8981167008820604, 1.1018832991153134","0.5113458081022823, 0.3934306751631116, 0.39343067517636776, 0.5113458080862046"
-6.0,"1.7348320770919519, 1.9799996280350043, 2.2711294087705953, 2.281104384947144, 2.2811043849471444, 2.281104384947146, 3.157700601092686, 3.1577006010926874, 3.1577006010926887, 3.2110019979588387, 3.8205719746814384, 4.019575315866378, 4.019575315866378, 4.019575315866379, 4.334878232065429, 5.556049202379892, 5.863582457897853, 5.863582457897856, 5.8635824578978575, 6.060658027957959, 7.387575859395235, 7.387575859395261, 7.387575859395272, 7.503015800169808, 7.503015800169857, 7.50301580016987, 7.800300517957065, 7.918617390228233","1.6077411768650203, 1.6077411768657484, 1.6699621123146935, 1.6699621123165658, 2.6647373138330335, 2.6647373138373296, 3.1751334247044047, 3.175133424706614",0.24489795918367346,"-9.27091736713237e-13, 5.13922238098985e-13, -6.04793992664554e-13, 1.017963491278806e-12","1.2147139502856388, 0.7852860497450048, 0.7852860503219473, 1.2147139496474084","0.5706765122763072, 0.34257963706892175, 0.34257963735363595, 0.5706765119526889"
-6.0,"1.7740047638936964, 1.9546762095219787, 2.2688932391849597, 2.275531043276475, 2.275531043276476, 2.275531043276478, 3.1509690861374877, 3.1509690861374886, 3.1509690861374886, 3.1887780318451857, 3.8277184994578737, 3.9564001438764955, 3.9564001438764955, 3.956400143876497, 4.262730018687021, 5.0203100605023625, 6.564702125511149, 6.56470212551115, 6.564702125511152, 6.676391099783977, 8.085664310189722, 8.085664310189763, 8.085664310189786, 8.236967280655847, 8.236967280655904, 8.23696728065591, 8.457153405468588, 8.67680547306743","1.612243643715183, 1.6122436437197343, 1.660065123508577, 1.6600651235115118, 2.682389855278064, 2.682389855285415, 3.1692700882566056, 3.1692700882768867",0.40816326530612246,"3.8191672047105385e-14, 8.604228440844963e-14, 3.222422328974517e-14, -1.5648593532091581e-13","1.2718315483013873, 0.7281684517081254, 0.7281684519808138, 1.2718315480096734","0.6018003579462418, 0.3187722443908681, 0.31877224452477465, 0.601800357797748"
-6.0,"1.7991722449920944, 1.938889047317562, 2.26993558190791, 2.2747067663054077, 2.2747067663054086, 2.274706766305411, 3.15392692617514, 3.1539269261751404, 3.1539269261751413, 3.182283455620148, 3.8198299569426384, 3.9079702227057185, 3.907970222705719, 3.90797022270572, 4.230736443631376, 4.7690381934803945, 7.172837760417528, 7.172837760417535, 7.172837760417536, 7.235282759091177, 8.690081193341847, 8.690081193341864, 8.69008119334196, 8.882322146310289, 8.882322146310337, 8.882322146310424, 9.019522753530758, 9.344716047553776","1.6152812811400687, 1.6152812818965463, 1.6547726032393084, 1.654772603760729, 2.6976973636656747, 2.6976973649262006, 3.1542753323126758, 3.1542753354920468",0.5714285714285714,"-1.9393320283001003e-11, -9.403366973970151e-12, 2.764713458169865e-11, 1.1494694085456558e-12","1.3066781165645467, 0.6933218859290383, 0.6933219791917591, 1.3066780183146558","0.6213758479040336, 0.305173271689497, 0.3051733173823598, 0.6213757978002564"
