m_sdw,V,E_GS,E_p_bits,E_p,coh_1rdm,S,Q_2_bits,m_cdw,coh_2rdm,Q_2,U
0.09026992094996228,-4.0,-36.57324117718904,0.009449560144667135,0.00654993597180753,0.2510247755290871,0.23309718766985132,0.014389355054944986,0.3963475521719076,0.5798357350852487,0.00997394088641057,-6.0
0.08953050625621492,-3.836734693877551,-35.612308521740246,0.00981185569274512,0.0068010601094874445,0.25521371429822953,0.23512072641939707,0.014949580598007106,0.3964869494785127,0.5915339494047575,0.010362259642061833,-6.0
0.08870311421018803,-3.673469387755102,-34.65274649278699,0.010248421019447562,0.007103664134821441,0.25966953269524884,0.23735488472630256,0.015623922923525768,0.39665742039831137,0.6040535561773912,0.010829678123728037,-6.0
0.08777403388337204,-3.510204081632653,-33.69471385429547,0.010777346866100768,0.007470287594154357,0.26441801485662797,0.23982931558237178,0.016440094331065858,0.39686398183720833,0.6174834464018664,0.011395405033717498,-6.0
0.08672698986809162,-3.3469387755102042,-32.73839396896094,0.011421537121822478,0.007916806253652098,0.26948810704935783,0.24257864387358524,0.017433244641354317,0.39711238282161876,0.6319255182009322,0.012083804371166629,-6.0
0.08554263964228037,-3.183673469387755,-31.783999415788895,0.012209610224088063,0.008463056902562327,0.27491207493354725,0.2456432381195081,0.018647325522770597,0.397409219446981,0.647496008931126,0.012925341111091893,-6.0
0.08419794560883019,-3.020408163265306,-30.831777576956146,0.013177337170089398,0.009133834106735295,0.2807258907843221,0.24907016704969404,0.020137296432997775,0.39776197409652736,0.6643283993881253,0.01395811024663196,-6.0
0.08266542151328966,-2.857142857142857,-29.882017400085928,0.014369467719129059,0.009960156035661472,0.28696971906181945,0.25291428319744946,0.021971944199561833,0.39817897181728157,0.68257645394675,0.015229791173346552,-6.0
0.08091228439720835,-2.693877551020408,-28.935057577898807,0.01584152724054899,0.010980509942549954,0.29368813874945215,0.25723925946410364,0.024236709113598653,0.3986692871004346,0.7024449141498436,0.01679960658814217,-6.0
0.07889943927843025,-2.5306122448979593,-27.99129642341239,0.017662926504967924,0.012243007707356313,0.30093084013432114,0.2621187966016759,0.02703874504256465,0.3992423226390683,0.7241386234940167,0.018741829892133133,-6.0
0.07658041280366605,-2.36734693877551,-27.051203752628396,0.019920596883975517,0.013807905565198952,0.30875301271403244,0.2676375780819864,0.030513080662533998,0.3999071021344677,0.7478862118022017,0.0211500558314337,-6.0
0.07390024633258147,-2.204081632653061,-26.115335116680622,0.022724489604394105,0.01575141589894935,0.3172160889432772,0.2738920470829121,0.0348319420098151,0.400670863719255,0.7739791972606921,0.02414366239753063,-6.0
0.07079446192016325,-2.0408163265306123,-25.18434875958287,0.02621595981699354,0.01817151863282196,0.32638934636745126,0.2809909677330341,0.0402188990312089,0.40153640332784735,0.8027837503650218,0.027877616468707345,-6.0
0.06718836420907238,-1.8775510204081634,-24.259025754984343,0.030579803643661307,0.02119630467768041,0.3363527574202296,0.28905569493584704,0.04696931276410643,0.40249738871543295,0.8347182046787175,0.03255664671527825,-6.0
0.06299698254760361,-1.7142857142857142,-23.340294024689115,0.03606323169937564,0.024997127374302153,0.3472030961569423,0.29822098039478784,0.055482752873359686,0.403529933788338,0.8703360058984269,0.03845771372387308,-6.0
0.058126103011514926,-1.5510204081632653,-22.429257735674973,0.043007829301739964,0.02981075562250446,0.35906682638774085,0.3086386984962631,0.06631779345223876,0.4045773233267761,0.9103832558935391,0.0459679915523763,-6.0
0.052474852730681296,-1.3877551020408163,-21.527235929502694,0.05190816284500066,0.03597999672405883,0.37212703274562814,0.3204911235583319,0.08029234294429122,0.405521537480821,0.9559331417756461,0.05565441113238778,-6.0
0.04594001879383063,-1.2244897959183674,-20.635820919533092,0.06352930940089241,0.04403516169414878,0.38667916427448806,0.3340308433753231,0.09868378834109581,0.40612749342991544,1.0086542276035895,0.06840238965560408,-6.0
0.03842137010884562,-1.0612244897959184,-19.756985720312855,0.07916357917395755,0.05487201170746281,0.4032456900203696,0.34969082625041736,0.12366334554604208,0.40592546401411783,1.0713646467421265,0.08571689930384929,-6.0
0.029825431825010285,-0.8979591836734694,-18.89332372866669,0.10123584852952394,0.07017134297983318,0.42281087736631495,0.36837948228404754,0.1593143951115903,0.40393691422414096,1.149064136164167,0.11042832379421164,-6.0
0.020064162733139303,-0.7346938775510204,-18.04867010658209,0.1348148361676924,0.09344652358728656,0.447289429025576,0.3922828912006275,0.21416496001865148,0.3979524703709893,1.25162507850989,0.1484478382116614,-6.0
0.009062391543835022,-0.5714285714285714,-17.229916159684635,0.1913360316611148,0.13262403088543007,0.48030205148946353,0.4270853774337363,0.307419748177463,0.38238082474383017,1.3984445091656006,0.21308713169765703,-6.0
0.003047034337954907,-0.40816326530612246,-16.4527867644044,0.29442296750003516,0.20407844981474166,0.5267125792921905,0.4870249748251137,0.47876761107413435,0.341597365436805,1.6218408011685803,0.3318564197594567,-6.0
0.014574210957512157,-0.24489795918367346,-15.75777072438782,0.4530713252287666,0.3140451116748775,0.5767394721692858,0.5873355411666143,0.7431643635981735,0.2395611099499826,1.91601778322221,0.5151222833206996,-6.0
0.0213456992787426,-0.08163265306122448,-15.209596174615761,0.5497957555201043,0.38108937782258523,0.6107706587609006,0.6629716952739999,0.8974635089881491,0.07617444196821768,2.0607622328525967,0.6220743009105707,-6.0
0.02520837777634864,0.08163265306122448,-14.80307776307521,0.5525849204325546,0.3830226796177669,0.6108951909858203,0.6648563177700576,0.8951650245718619,0.06664142792731649,2.038361577984107,0.6204811129178607,-6.0
0.0300612707930292,0.24489795918367346,-14.478639491526238,0.5293797071668167,0.3669380514683287,0.5974795931391838,0.639979930927137,0.856605123480541,0.1836620064010705,1.9502901954500402,0.5937534261937403,-6.0
0.036481246782560185,0.40816326530612246,-14.205809430654181,0.48801924388286455,0.3382691629564041,0.5778011790021506,0.6031031183715714,0.7883970032024625,0.29126660013383904,1.8449712172819095,0.5464751599316973,-6.0
0.043942839101720275,0.5714285714285714,-13.974415040450486,0.4308708923393856,0.29865694421039324,0.5542099676236015,0.5577744752178726,0.6939040685448394,0.3897452457635143,1.7321224764898968,0.4809776486909305,-6.0
0.05164329014978801,0.7346938775510204,-13.779430142516182,0.36611969919894083,0.25377483724720085,0.5312068133304645,0.5094565850086352,0.5872363423164697,0.4741177543553288,1.6179624621466324,0.4070412149989955,-6.0
0.05889210925676043,0.8979591836734694,-13.616071043652875,0.3030391123008962,0.21005070629075528,0.5082042257365478,0.46385725783559195,0.48401999822404473,0.5418048241702149,1.509018252088753,0.3354970971036262,-6.0
0.06530248187128267,1.0612244897959184,-13.479236586078686,0.24753684317322877,0.17157946493023268,0.4854038220348402,0.4243311392796918,0.393844668436758,0.5938789112070288,1.4079797229207454,0.2729923215055048,-6.0
0.0707604950654555,1.2244897959183674,-13.364058812831468,0.20156183672561845,0.13971201883484619,0.46415096838710185,0.3917379629893979,0.31961930682442885,0.633255001190389,1.3182465377864594,0.22154322137787652,-6.0
0.07531199124342618,1.3877551020408163,-13.266330568956096,0.16464126270721646,0.11412062704933645,0.44498708551825744,0.3655202832327825,0.2603289630585781,0.6630204103292007,1.2400056090737521,0.18044628676214725,-6.0
0.07907003742968016,1.5510204081632653,-13.182623611987838,0.13536577462922672,0.0938284050285616,0.42797676692224773,0.34462598620171647,0.2135227643753299,0.6857265410815018,1.172362167808058,0.14800270211212485,-6.0
0.08216282765102946,1.7142857142857142,-13.110225531834276,0.11220213292445047,0.07777259208939524,0.41296224548560995,0.3279801395112832,0.1766230593123943,0.7032818370827013,1.1139113959791798,0.12242577558425749,-6.0
0.0847100755147038,1.8775510204081634,-13.047015390775295,0.09380884236156328,0.06502333459450971,0.3997083664799013,0.3146576981683983,0.14741104339725108,0.7170586845056242,1.0632478842195083,0.10217754911420407,-6.0
0.0868146985708157,2.0408163265306123,-12.991337595068327,0.07910849553983956,0.054833830641778825,0.3879722169797582,0.30391725192367264,0.12412308912339132,0.7280330309682542,1.0190980629016084,0.08603556926826883,-6.0
0.08856161862820242,2.204081632653061,-12.941894810569321,0.0672673552509564,0.04662617763592469,0.3775317833185,0.2951833528587381,0.10540455875467014,0.7369006298922264,0.9803782218280923,0.07306087271896455,-6.0
0.09001944292621153,2.36734693877551,-12.897663437970834,0.05764982297058019,0.039959812251837645,0.3681948455097948,0.28801546652991145,0.09022862446383195,0.7441619742495337,0.9461982823507906,0.06254171665290675,-6.0
0.09124302656983986,2.5306122448979593,-12.857829041085159,0.04977316971344958,0.03450013225440918,0.35979920156561856,0.28207774457090745,0.07781896965233637,0.7501814293698164,0.9158244635079534,0.05393999940859695,-6.0
0.0922760498836371,2.693877551020408,-12.821737693721273,0.04326998998568854,0.029992471561436806,0.35220956389996555,0.27711384976557063,0.06758694293143597,0.7552277547190529,0.888688082244494,0.04684769893558993,-6.0
0.09315328547213551,2.857142857142857,-12.78885946396808,0.03785918538792199,0.02624198760993446,0.3453135462148585,0.2729273008148951,0.05908357724479529,0.7595018416558972,0.8642706020860239,0.04095361498462502,-6.0
0.09390247341326222,3.020408163265306,-12.75876096492991,0.03332421688224363,0.02309858697629541,0.3390177577273435,0.2693665867738678,0.05196393319607839,0.7631558165911546,0.8421805443944015,0.03601865378566638,-6.0
0.09454582135963033,3.183673469387755,-12.731084623526055,0.029497004692464746,0.02044576563754541,0.33324437551628977,0.26631404378796,0.04596087293450779,0.7663063260551898,0.8220960447129992,0.031857649490627526,-6.0
0.0951011896665243,3.3469387755102042,-12.705532921058445,0.026246063762060956,0.01819238509746901,0.32792827664517027,0.26367759313157624,0.040865830957113936,0.7690438790731671,0.8037508983960577,0.028326035509162573,-6.0
0.09558301499344521,3.510204081632653,-12.681856323115651,0.02346773315726125,0.016266593072088664,0.3230146721698788,0.26138462657561157,0.036514656049053684,0.7714394853972355,0.7869234185064319,0.025310030889517332,-6.0
