U,V,magnetization,charge_density,doublons
-6.0,-4.0,"1.8973538018496328e-19, 3.469446951953614e-17, -5.551115123125783e-17, -5.551115123125783e-17, -4.718447854656915e-15, -2.694511280765255e-13, 1.808102279010626e-14, -8.733860700903696e-13, -2.8826019045705142e-11, 2.635188595112581e-10, 5.669296698762594e-10, -1.3113684027565853e-9, 2.1762271984471226e-9, 3.375311141695647e-10, -2.0154710149086763e-9, 1.2588148154879433e-11","0.00010539001994126582, 0.020294032033641808, 1.9797077096528968, 1.9998929411929307, 1.999892904778953, 1.9797043455141314, 0.02029558567973153, 0.00010709222803019885, 0.0001066161033423164, 0.020204436561343617, 1.9708498165203143, 1.9998016789219069, 1.9998929623991386, 1.97979901048038, 0.02915018785504117, 0.0001952900582779528","1.9361754477464567e-8, 0.00016069262632943256, 0.9798683257619261, 0.9998929612528994, 0.9998929248752589, 0.9798650720599905, 0.00016069235484094592, 2.010022281989514e-8, 1.9993132704995397e-8, 0.00015996895192656912, 0.9754377713584667, 0.9998024247853523, 0.9998929797538871, 0.9799588992260895, 0.004589672784780285, 7.1934408112048e-7"
-5.878787878787879,-3.919191919191919,"-4.607655945156053e-16, -3.6561031979687186e-14, -8.881784197001252e-16, -2.2648549702353193e-14, -1.7686407893791056e-12, -1.963240681135403e-11, 1.8399080869979656e-11, -1.5143046508441426e-11, -1.1994795966614432e-10, -4.3374218838126977e-8, 4.852894081031067e-8, -3.359991229689996e-9, 1.8873557161569465e-9, 1.4625527949840844e-7, -1.5827020789088708e-7, 8.470995473759853e-9","0.0001145121013304171, 0.02115258749881561, 1.9788493061703132, 1.9998835953652392, 1.9998835549127563, 1.9788458776587776, 0.021182124730164714, 0.0001166800317992512, 0.00010531484138303516, 0.019119325120514872, 1.7893274818167115, 1.997819287543805, 1.999883226948376, 1.9808856327596152, 0.21071131864443293, 0.0021201738559716863","2.2827219344636987e-8, 0.00017452796969508487, 0.979023785304592, 0.9998836190883258, 0.9998835786571303, 0.9790204431184799, 0.00018841847857911095, 2.620264649123418e-8, 2.1440904431320756e-8, 0.00015770462235326768, 0.8842604847591341, 0.997850014938954, 0.9998832671840185, 0.9810432075236982, 0.09497372557712572, 1.6287225962315484e-5"
-5.757575757575758,-3.8383838383838382,"-7.431127287409363e-11, 1.9572742818857458e-10, -9.564754543944787e-11, -2.8101632132404575e-10, 3.1452181969982007e-9, -2.171746005252828e-9, -6.996875110548695e-10, 8.739261430680285e-10, -6.519801822989918e-10, -5.995107049683313e-10, 3.522056535310014e-10, 9.014289314990265e-12, 9.156952973654597e-12, 3.2319702469862932e-12, -1.4542147867835364e-11, -3.903351437645891e-14","0.0001251893620601237, 0.02211616000935799, 1.977934013506839, 1.9998684385339394, 1.9991388199271805, 1.9168323284781328, 0.021524746072772077, 0.00013916683908112303, 0.0017787495025584823, 0.08441663058128622, 1.9785107065980396, 1.9998756578106898, 1.999848403467276, 1.9757240878620788, 0.022042393779606997, 0.0001245076691069557","3.151036120484954e-8, 0.00021418689254646927, 0.9781244274126438, 0.9998684783606289, 0.9991689859827112, 0.9475722896491096, 0.000254475910780809, 1.314070421939605e-7, 0.0004823677105300389, 0.03136958077825411, 0.9787543522238255, 0.999875697979829, 0.9998486475939073, 0.9770193903703549, 0.00018971770868150557, 2.698459632807364e-8"
-5.636363636363637,-3.757575757575758,"-7.967403660110763e-21, -9.215718466126788e-19, -4.683753385137379e-17, 5.551115123125783e-17, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.862293735361732e-17, 8.334804200982315e-19, 7.040961374051372e-21, 6.28657265540301e-23, 4.951774565380918e-25","8.011856127900913e-7, 0.00013755922492985424, 0.023044930621863798, 1.9769550928903636, 1.999862431596675, 1.9999991892865103, 1.9999999951937295, 1.999999995195193, 1.999999189280754, 1.9998624310983089, 1.9769550558843956, 0.02304494411684823, 0.00013756890011217638, 8.107187034638156e-7, 4.778174482748892e-9, 2.782707085087142e-11","4.911015638306066e-12, 3.331889320277554e-8, 0.0002071312539662679, 0.9771622235629167, 0.9998624649226833, 0.9999991892916077, 0.9999999951937296, 0.9999999951951932, 0.9999991892858497, 0.9998624644248417, 0.9771621874432488, 0.0002071315600380196, 3.3326263872792196e-8, 5.097293095914571e-12, 0.0, 0.0"
-5.515151515151516,-3.676767676767677,"1.0906741724180102e-8, -1.6060252849836587e-8, -1.0191116728286431e-8, -7.762201326144691e-9, 2.2708451440436872e-8, 3.2480661190444505e-10, 1.2221845479160618e-10, -6.680223370997274e-10, 5.963675109299515e-10, 2.2783774866752537e-11, 2.223221606811876e-13, 1.4432899320127035e-15, 0.0, 6.852157730108388e-17, 7.521652571618187e-19, 6.326277324805556e-21","0.023672422140058033, 1.9750703674291277, 1.9996773718200587, 1.9759132894122888, 0.02549769146335197, 0.00016875175885402356, 0.00015152615157094934, 0.024087559925158528, 1.9759123592012586, 1.999849587579747, 1.9999981462773193, 1.9998495910864085, 1.9759126185574838, 0.02408741031686898, 0.0001503917042277508, 9.15176219839315e-7","0.00021706626914860734, 0.9759772779564181, 0.9996778269146196, 0.9761399453495193, 0.0009217796395825567, 2.0765653629704456e-7, 4.010350079791109e-8, 0.00022628228938425363, 0.9761386479416687, 0.9998496273903311, 0.9999981462915951, 0.9998496308938715, 0.9761388947191648, 0.00022627691200312897, 3.979651820067533e-8, 6.402157245105773e-12"
-5.393939393939394,-3.595959595959596,"1.3663544421925186e-10, 4.838236473785062e-13, -3.775265454419863e-9, 2.9298579673486813e-9, 7.253867506662459e-10, 5.615036213768576e-11, 3.906300538591978e-8, -3.838766436756874e-8, -6.317294192371026e-10, 2.2387683165647765e-9, -2.156459066871008e-9, -1.9411133811431114e-10, -4.186928581617622e-12, 3.774924817179226e-12, -4.587150971568921e-12, -5.906616883967486e-14","5.783974133698318e-6, 0.0008984986520576779, 0.08234249452147217, 1.9755308195948733, 1.9998339440140074, 1.9990970894550117, 1.9175473702811727, 0.0245294484212912, 0.00033875935765653644, 0.02531038322588254, 1.9747322154987854, 1.9998331998656154, 1.9998341401035695, 1.9748032295962585, 0.025199986402800537, 0.0001626370354174935","1.3536883846166705e-9, 7.303919148608202e-6, 0.028817512461065144, 0.9757712795147039, 0.999834008243955, 0.999105223216013, 0.946409702510453, 0.0002626156070488946, 2.422793124086236e-7, 0.00029311660746978086, 0.9750024556084285, 0.9998332537588821, 0.9998341880655754, 0.9750507569661326, 0.000247625741790477, 4.5805568734025234e-8"
-5.2727272727272725,-3.515151515151515,"2.7387368083429215e-10, -2.6964791224534657e-9, 4.459880409424244e-9, -1.649805181358488e-9, 4.042031992446127e-8, -4.0095580296911626e-8, -7.00289308895488e-10, 1.147141440134081e-11, 1.7455558699863705e-11, -4.282840748714989e-11, 2.5624502519860926e-12, 2.194355808171622e-13, 7.654987754790454e-14, -1.1853296122410484e-12, -5.340354894411981e-13, 8.423387109894077e-13","0.0001795225651041971, 0.02647293492870758, 1.9735314808029472, 1.9996221922632704, 1.973529049652047, 0.026481529071104428, 0.00018341477139218124, 0.00018227283407598697, 0.026398161625965304, 1.9736016052490988, 1.999819058622979, 1.9999975564281658, 1.9998191652521968, 1.9736090745027792, 0.02639452423594537, 0.00017845719420462772","6.245327491841064e-8, 0.0002989251974869573, 0.9738321191893498, 0.9996224750874892, 0.9738274170671832, 0.0003013818400410813, 6.632383916250035e-8, 5.7897921652972105e-8, 0.0002717254155881528, 0.9738733995497921, 0.999819116156808, 0.9999975564529605, 0.9998192226836906, 0.9738805883608218, 0.0002716281424953849, 5.506392095266609e-8"
-5.151515151515151,-3.4343434343434343,"-6.68308995383643e-16, -3.934526315862996e-14, -7.09432512735475e-13, -2.1027068974888152e-12, -4.4669823395793173e-13, -3.480549182199866e-14, 2.0532455943800265e-12, -3.7427823833908677e-13, 3.7216235539009376e-11, 1.529668867267242e-9, -1.478155875478393e-9, -8.235279125301531e-11, 2.3031798690453797e-11, -3.727435027300885e-11, 6.487561356183225e-12, 3.033199844179775e-12","0.00019626792219177636, 0.02767727431199002, 1.972326996563386, 1.9997994595229294, 1.9997993335444022, 1.9723185031415067, 0.027681485061829054, 0.00020066796646688544, 0.00020066043754046845, 0.027680422964919234, 1.972241779140036, 1.9997982416837032, 1.9997994553458114, 1.9723280778192072, 0.02775404362192823, 0.0001973309521401876","6.649244877108514e-8, 0.00029864102488876644, 0.9726254951921512, 0.9997995294625984, 0.9997994035984119, 0.9726172678737414, 0.0002987588650199681, 7.008212734504393e-8, 7.006392817156197e-8, 0.00029875698824454377, 0.9725789017029624, 0.9997983246117166, 0.9997995260984093, 0.9726265694134497, 0.00033704580364075573, 7.770409335302508e-8"
-5.03030303030303,-3.3535353535353534,"-1.5292072469271207e-12, -2.283864070085073e-12, -2.1091401194994752e-12, 6.006306563222097e-13, 2.078948124761837e-12, 2.1606605393742484e-12, 1.083633183185384e-12, 2.057187753479184e-12, 1.6461831897629509e-12, 2.8119173656193652e-12, 3.0268565431867955e-12, -2.2915480277219125e-12, -3.847733323094054e-12, -2.318451752943339e-12, -1.0560693152322434e-12, -3.003412954008579e-14","1.6093973797319344e-6, 0.00021963906000401555, 0.02906050052495153, 1.9709395590213992, 1.999780337839422, 1.9999983663965537, 1.9999999877592134, 1.9999999877619592, 1.9999983663739949, 1.999780336234389, 1.9709394650752916, 0.029060534927657033, 0.00021966376295766768, 1.6336248661343709e-6, 1.2150896777956187e-8, 8.905825852914172e-11","1.9711415221651978e-11, 8.458454197669782e-8, 0.00032922616131934683, 0.9712687833208075, 0.9997804224529669, 0.9999983664172071, 0.9999999877592138, 0.9999999877619593, 0.9999983663946436, 0.9997804208497805, 0.9712686922143614, 0.0003292271414139765, 8.461485449351478e-8, 2.0653174344447107e-11, 0.0, 0.0"
-4.909090909090909,-3.272727272727273,"-2.418877408484968e-14, 1.8780810240315304e-13, -1.4327428132787645e-13, -4.333200465111986e-13, 4.802269693016115e-13, 2.388977904388412e-12, -2.0477134744789627e-11, 1.215871254047797e-11, 8.483359086280777e-11, -5.735950950325197e-11, -3.58020280089022e-11, 1.8381252075982957e-10, 2.471721161079188e-10, 4.531910402505446e-10, -8.293486253654891e-10, -4.063698260948741e-11","0.00023911690322449015, 0.030541884576972697, 1.9694638702943568, 1.9997551203059247, 1.9997547879922761, 1.9694431395228162, 0.030548812655137127, 0.0002460545325238789, 0.0003476330684670745, 0.036523062786328934, 1.9695453686196454, 1.9997548453551388, 1.99966163374999, 1.9634876589657921, 0.03044862305771806, 0.00023838761371279446","9.832703249271806e-8, 0.000363577434599138, 0.9698272372081183, 0.9997552243361951, 0.9997548939466872, 0.9698114595835545, 0.0003643656481196129, 1.0895439446168576e-7, 5.761267051253708e-6, 0.003351463281135309, 0.9699081792244302, 0.9997549611453389, 0.9996628704622091, 0.9668390847806436, 0.0003625203619449046, 9.804664314814265e-8"
