U,E_p,m_cdw,m_sdw,V,S,E_GS,Coh,E_p_bits
-6.0,0.00744712114828272,0.39614361134236464,0.2901758894455201,-4.0,0.23342774266185945,-36.573233777074336,0.2518315450164109,0.0107439247495269
-6.0,0.005087624851562111,0.3968754545631114,0.2897096939598384,-3.836734693877551,0.23450193748209056,-35.61227127294521,0.2531961746600866,0.00733989114325162
-6.0,0.022503788425931148,0.39266720092356233,0.28689768158014817,-3.673469387755102,0.2437994570004049,-34.651869720230884,0.26681780586640425,0.032466103963305404
-6.0,0.00875825247317974,0.39698185386187684,0.2878248646367081,-3.510204081632653,0.2397859338149062,-33.69372967369553,0.2592922853315222,0.012635487409909718
-6.0,0.007903509520077012,0.39711547982231643,0.2867282997274524,-3.3469387755102042,0.2425737495058841,-32.738393965998156,0.2694750309865341,0.011402353990233927
-6.0,0.00857431637134698,0.39738217945361626,0.2855309394031117,-3.183673469387755,0.24568470214713006,-31.783999246384475,0.27501620172115715,0.012370123707955205
-6.0,0.009317014561586623,0.3977206808254189,0.2841792484400113,-3.020408163265306,0.2491348946036797,-30.83177704011768,0.2808842234098751,0.013441610703891271
-6.0,0.00994845843043124,0.3981818586511321,0.28266662797668457,-2.857142857142857,0.2529099173208758,-29.88201739770966,0.2869586150019725,0.014352591642073254
-6.0,0.01523138633387422,0.3975923868087925,0.2804848851426054,-2.693877551020408,0.2588812564282141,-28.93492779017717,0.296770387376339,0.021974245529744696
-6.0,0.018032219491631807,0.3977399565069674,0.278323070750284,-2.5306122448979593,0.26437275702788254,-27.991076208928973,0.30489003160561196,0.0260149936367986
-6.0,0.0143885275101443,0.3997604796856165,0.2765204827567705,-2.36734693877551,0.2678570147036158,-27.051199029955363,0.3092278053463583,0.020758257284579695
-6.0,0.015709841523133372,0.400681914489212,0.27390394029316106,-2.204081632653061,0.273877082527501,-26.115335081753564,0.3171794284143584,0.02266451045857565
-6.0,0.022737541411645745,0.4003912628966602,0.27038555175942297,-2.0408163265306123,0.28264495754887936,-25.18417317363984,0.3292250502944877,0.032803338236588875
-6.0,0.021203290761272253,0.40249539143468277,0.2671876987921015,-1.8775510204081634,0.2890585004712677,-24.25902575386636,0.33635928511158963,0.030589882431814264
-6.0,0.024996695137625258,0.4035300609094093,0.26299702334580816,-1.7142857142857142,0.2982208056702598,-23.34029402468515,0.3472027026172688,0.03606260811366546
-6.0,0.02979713822068364,0.4045813815439991,0.25812725725853347,-1.5510204081632653,0.30863368379764555,-22.429257731923624,0.3590559088273208,0.04298818354366318
-6.0,0.036001096511179886,0.4055158173466221,0.25247339609779773,-1.3877551020408163,0.32049807976369954,-21.527235922305756,0.3721408339780296,0.05193860340324452
-6.0,0.04403730483429613,0.40612683307459196,0.24593988343016204,-1.2244897959183674,0.33403156374202314,-20.635820919420212,0.3866805675100984,0.06353240129855475
-6.0,0.05487193164915616,0.40592549340732936,0.23842137621441523,-1.0612244897959184,0.3496907890626191,-19.756985720312695,0.403245628145446,0.07916346367423577
-6.0,0.07017322947940152,0.4039362338445439,0.22982533647965847,-0.8979591836734694,0.3683801588871692,-18.893323728599093,0.42281184286236156,0.10123857017309579
-6.0,0.0934465325854481,0.3979524654647596,0.22006416224091216,-0.7346938775510204,0.3922828920180813,-18.048670106582087,0.44728943309617497,0.13481484914929487
-6.0,0.13264321352815456,0.38237157806868155,0.20906193301909273,-0.5714285714285714,0.4270928255943459,-17.229916150742998,0.4803088288864056,0.1913637063646445
-6.0,0.20407845012133286,0.34159735924499557,0.19695296528141798,-0.40816326530612246,0.4870249720427057,-16.452786764404355,0.5267125835647541,0.29442296794235245
