m_sdw,V,E_GS,E_p_bits,E_p,coh_1rdm,Q_2_bits,S,m_cdw,coh_2rdm,Q_2,U
0.09027012360453598,-4.0,-36.573241177149995,0.009448458504612844,0.006549172373110146,0.5020461795822495,0.01438765293011679,0.2330964925104409,0.39634798067570587,1.1596409895881497,0.00997276106338596,-6.0
0.0895243372184362,-3.836734693877551,-35.61230850129279,0.00980041616672045,0.006793130834276129,0.510409635188144,0.014932079685035848,0.235142737333915,0.39647338637811186,1.182979774090997,0.010350128933578784,-6.0
0.08870378848755867,-3.673469387755102,-34.65274649238415,0.010245407359069425,0.007101575224627066,0.5193326500173021,0.015619368020183266,0.23735245704243732,0.39665892299814476,1.2080610363009279,0.010826520905317771,-6.0
0.08777419174953421,-3.510204081632653,-33.69471385427124,0.010778866368700957,0.007471340833097306,0.5288353020573799,0.016442483616333714,0.23982875293339867,0.3968643330252892,1.2349425954389435,0.01139706116006467,-6.0
0.0867269950578527,-3.3469387755102042,-32.73839396896092,0.011421702038106218,0.007916920564909224,0.5389730548311024,0.017433601997584702,0.24257862509521527,0.3971123945882543,1.2638161055216721,0.01208405207162988,-6.0
0.08554280094775926,-3.183673469387755,-31.783999415752923,0.012210112012468688,0.008463404715763678,0.5498213184609434,0.01864823850783237,0.24564266279197416,0.39740958561552675,1.2949564795115378,0.012925973944113434,-6.0
0.0841979454639003,-3.020408163265306,-30.83177757695614,0.013176618245572591,0.009133335786233543,0.5614466521046767,0.02013638001068596,0.24907016761715434,0.3977619737558234,1.328610939170611,0.01395747503109046,-6.0
0.08266540699918797,-2.857142857142857,-29.88201740008547,0.01436857033408323,0.009959534015747229,0.5739336873958845,0.021970787576199413,0.2529143366269876,0.39817893658213205,1.3651036265556549,0.015228989463123455,-6.0
0.0809122878093461,-2.693877551020408,-28.935057577898796,0.015840659104162658,0.010979908196261823,0.5873700968264506,0.024235624206570883,0.25723924662193937,0.3986692955523875,1.404835904432304,0.01679885458789432,-6.0
0.07889943311037108,-2.5306122448979593,-27.991296423412347,0.017674959759343523,0.01225134852369969,0.6018714141113759,0.027057815824820253,0.26211881988447416,0.39924230678355394,1.448288656539244,0.01875504875108369,-6.0
0.07658041164593656,-2.36734693877551,-27.051203752628407,0.019920011482987388,0.013807499796154366,0.6174916677767067,0.030512457610550214,0.2676375823848014,0.3999070991046373,1.4957186356022807,0.021149623964707764,-6.0
0.07390024626451147,-2.204081632653061,-26.115335116680626,0.022724686779881598,0.015751552570582694,0.6344314524510992,0.03483192342239061,0.27389204734866224,0.4006708635277093,1.5479480607814746,0.024143649513709953,-6.0
0.0707944619259963,-2.0408163265306123,-25.184348759582846,0.02621582348639251,0.018171424135650094,0.6527773118462326,0.040218284379447855,0.28099096770947185,0.4015364033448202,1.6055504426336733,0.027877190424572262,-6.0
0.06718836418621679,-1.8775510204081634,-24.25902575498432,0.030580055628226965,0.02119647934007185,0.6727042507348888,0.04696928318417948,0.2890556950286903,0.40249738864506523,1.6694268110244797,0.0325566262120347,-6.0
0.06299698256786918,-1.7142857142857142,-23.340294024689126,0.03606394715252614,0.02499762328863664,0.6944050056093439,0.055483326404877964,0.2982209803088892,0.4035299338561903,1.7406611635123497,0.038458111265627704,-6.0
0.058126103013619576,-1.5510204081632653,-22.42925773567497,0.043008894423079536,0.029811493908358022,0.7181321550168261,0.066318717381193,0.30863869848660314,0.40457732333447377,1.8207521656459058,0.04596863197112544,-6.0
0.05247485273107624,-1.3877551020408163,-21.527235929502684,0.051909056832289746,0.03598061638882766,0.7442512703181344,0.08029264323006347,0.32049112355638965,0.4055215374824406,1.9118430471102805,0.05565461927462367,-6.0
0.04594001879387897,-1.2244897959183674,-20.6358209195331,0.06352967529707598,0.04403541531405719,0.7733601942386388,0.09868439957197239,0.33403084337506916,0.40612749343011967,2.017312900252853,0.06840281332856346,-6.0
0.03842137010903938,-1.0612244897959184,-19.75698572031285,0.07916387062819474,0.054872213728145436,0.8064924946387034,0.12366355495651593,0.34969082624923076,0.40592546401524476,2.1427315364430526,0.08571704445612882,-6.0
0.029825431824984334,-0.8979591836734694,-18.893323728666687,0.101235786138552,0.07017129973370673,0.8456204775307934,0.15931333152042715,0.36837948228423895,0.40393691422393896,2.2981251530198423,0.11042758656899565,-6.0
0.020064162733158954,-0.7346938775510204,-18.04867010658211,0.1348139555704373,0.09344591320378215,0.8945712425846837,0.21416065059318345,0.39228289120048054,0.39795247037118,2.503230584754448,0.14844485114554873,-6.0
0.009062391543838338,-0.5714285714285714,-17.22991615968463,0.1913360316609185,0.13262403088529395,0.9606041029788261,0.3074197481771237,0.427085377433693,0.3823808247438817,2.7968890183305954,0.21308713169742122,-6.0
