m_sdw,V,E_GS,E_p_bits,E_p,coh_1rdm,Q_2_bits,S,m_cdw,coh_2rdm,Q_2,U
3.0096228471119103e-9,-4.0,-50.40135275110298,0.17536831313194723,0.12155605180696316,0.14742216683910714,0.2806177862042638,0.027609559658292537,0.3186975324798142,0.4073089816648523,0.1945094273224588,-6.0
3.987875996530496e-9,-3.836734693877551,-49.102101918083626,0.01592002339794485,0.01103491933273415,0.1544286436600537,0.025499473277028173,0.027260450467893476,0.3194831409040429,0.3518880413112011,0.017674888007735756,-6.0
9.13331065817746e-9,-3.673469387755102,-47.80311709322616,0.007036150905541216,0.004877088162170029,0.15766462738869547,0.011287832647636442,0.02822207015728817,0.3189813038882751,0.35182132191940196,0.007824129374341293,-6.0
2.729042846331588e-8,-3.510204081632653,-46.504373499271836,0.0067104138777649425,0.004651304459763139,0.16110656373390952,0.010774751536430927,0.05658695726449783,0.28983887532955893,0.35974137570002096,0.00746848864871108,-6.0
6.767512404047255e-8,-3.3469387755102042,-45.20600559476752,0.0003904075174125943,0.0002706098699636339,0.16465537096535576,0.0006389013395491361,0.030320317462071606,0.317882200182977,0.3573994313519091,0.0004428526621649276,-6.0
2.9614070293949627e-9,-3.183673469387755,-43.90791893391309,0.04305475527879521,0.029843282231195145,0.1686920018241247,0.06897814897796994,0.031540969058235335,0.3172047045319183,0.40441808921078404,0.047812009484323514,-6.0
2.5766981179900135e-9,-3.020408163265306,-42.61019068238638,0.0010502106906491449,0.0007279505792172625,0.17242438100168878,0.0017184306178630315,0.03272739922566725,0.3165973198446644,0.37776371309389123,0.0011911253377596687,-6.0
6.433311859883157e-10,-2.857142857142857,-41.312839941447635,0.0010259924397817421,0.0007111637669103832,0.17686708842625187,0.0016827346792531728,0.03410312842236216,0.3158370412519796,0.3882911513612912,0.0011663827985546327,-6.0
3.098826768682332e-7,-2.693877551020408,-40.015903675752696,0.0007560993088406853,0.0005240881041461698,0.18141648681985934,0.001224621573896023,0.0354662723350029,0.31513047821551204,0.3972762585427636,0.0008488429911990281,-6.0
3.8945690014433433e-7,-2.5306122448979593,-38.719446277595644,0.003654382551188995,0.002533024962044106,0.18649790200549798,0.0059653205542478105,0.03838849903896485,0.3129132076294501,0.4170507413051987,0.004134845123313635,-6.0
7.119809815973821e-8,-2.36734693877551,-37.423473543610754,0.0024231502769884727,0.0016795997825673759,0.19173388501569633,0.0039837268113105395,0.03887696661193779,0.3131779950778036,0.4272107644901516,0.0027613090073805857,-6.0
3.2167835337721745e-7,-2.204081632653061,-36.128092686389685,0.0038637495820186274,0.002678147129166142,0.19752459459500094,0.006351142180353264,0.040776974877010375,0.31209335863875004,0.4441805728268817,0.004402276295647045,-6.0
1.1439874519705952e-7,-2.0408163265306123,-34.83356862353393,0.006902629279266215,0.004784538023373752,0.20388669134446824,0.011325002341106227,0.08990999643367513,0.2597395391394533,0.46469069116771156,0.007849893442572586,-6.0
4.869021757805104e-8,-1.8775510204081634,-33.53942953926687,0.009685250337834628,0.006713303964687389,0.21087286220585155,0.015902354358378723,0.045523408074837735,0.3091975899845054,0.4859078889890478,0.011022672087775298,-6.0
