m_sdw,V,E_GS,E_p_bits,E_p,coh_1rdm,S,m_cdw,coh_2rdm,Q_2,U
7.053931566056203e-19,-4.0,-116.40277365619502,0.004901347138924539,0.0033973549502914757,0.0,0.013298378966505783,6.54811390295625e-12,0.0,0.0,-6.0
6.628938592268575e-18,-3.919191919191919,-114.06775619579726,6.089163232658734e-5,4.2206863266613937e-5,0.0,0.013843993806309981,3.928342994878135e-7,0.0,0.0,-5.878787878787879
1.0351830082226186e-17,-3.8383838383838382,-111.73311834514399,0.005326954554661256,0.0036923635305350366,0.0,0.01443257497071295,5.803320786886464e-13,0.0,0.0,-5.757575757575758
1.460168668680355e-13,-3.757575757575758,-109.39885913965949,0.005563467264097177,0.003856301648246685,0.0,0.015058182514694124,9.412100728430535e-13,0.0,0.0,-5.636363636363637
1.5089649315689012e-18,-3.676767676767677,-107.06501332849929,0.005816225776977824,0.004031500498812068,0.0,0.015725366327291462,1.7155721288020231e-12,0.0,0.0,-5.515151515151516
3.2826773180053744e-13,-3.595959595959596,-104.73160976127575,0.006086736159808925,0.0042190040079836955,0.0,0.0164378547823191,8.991048646341445e-13,0.0,0.0,-5.393939393939394
1.0368381994517804e-13,-3.515151515151515,-102.39868006363984,0.006376749839533069,0.004420026172409219,0.0,0.017199892303149316,7.343200122041557e-13,0.0,0.0,-5.2727272727272725
1.832404462477956e-17,-3.4343434343434343,-100.06625898300689,0.006688242234382802,0.004635936247664674,0.0,0.01801623396738229,5.512812428776215e-13,0.0,0.0,-5.151515151515151
1.6106424890657846e-14,-3.3535353535353534,-97.7343847883295,0.00702325439243312,0.004868148980470277,0.0,0.018891958613257293,1.722696059876701e-14,0.0,0.0,-5.03030303030303
6.130765297338606e-13,-3.272727272727273,-95.4030787574023,0.00012550424359192291,8.69929125943969e-5,0.0,0.019829760671001923,1.1865585702504806e-6,0.0,0.0,-4.909090909090909
7.021329325267574e-13,-3.191919191919192,-93.07245059327224,0.007774468634030196,0.005388851014029861,0.0,0.0208465864251637,7.839932406975928e-13,0.0,0.0,-4.787878787878788
5.375006385479773e-18,-3.111111111111111,-90.74248930144452,0.008196669799749312,0.005681498561677323,0.0,0.02193973309002743,4.2928623618839385e-13,0.0,0.0,-4.666666666666667
2.1941593026600244e-17,-3.0303030303030303,-88.41324257193601,0.00017146270345902437,0.00011884888947388816,0.0,0.02311564875742596,1.908248877506106e-6,0.0,0.0,-4.545454545454546
1.1313285755415341e-13,-2.9494949494949494,-86.08486833435009,0.00915256716568802,0.006344076125781584,0.0,0.024400694490743335,9.853136824962878e-13,0.0,0.0,-4.424242424242424
2.5408027453378555e-13,-2.8686868686868685,-83.75734565555395,0.009695406397802753,0.006720343609019963,0.0,0.025789585516824115,2.4647968851117716e-12,0.0,0.0,-4.303030303030303
1.0210311611400681e-17,-2.787878787878788,-81.4307870919564,0.010288766837208474,0.007131629724649535,0.0,0.027300664956770065,4.37381612409619e-13,0.0,0.0,-4.181818181818182
2.297181928376659e-13,-2.707070707070707,-79.10522899175162,0.00027509574681827687,0.00019068184129089616,0.0,0.028938208274498695,3.8462189451415885e-6,0.0,0.0,-4.0606060606060606
8.463729674162314e-18,-2.6262626262626263,-76.78094252480619,0.011654498202045449,0.008078282569589312,0.0,0.03075100076004327,9.695115081124566e-13,0.0,0.0,-3.9393939393939394
1.781100113079216e-13,-2.5454545454545454,-74.45780308170492,0.00035122560882383524,0.00024345104049716682,0.0,0.032711504127243156,5.654125208689094e-6,0.0,0.0,-3.8181818181818183
4.168180499296167e-13,-2.4646464646464645,-72.13614134206261,0.0004017948151520123,0.00027850294328590763,0.0,0.034881831959167046,6.925614820472529e-6,0.0,0.0,-3.696969696969697
2.2060161371330468e-17,-2.3838383838383836,-69.8161557460927,0.014288802172309545,0.009904242939315022,0.0,0.03729979140604045,1.3694878564507462e-12,0.0,0.0,-3.5757575757575757
3.8767427446408445e-17,-2.303030303030303,-67.49783230899288,0.015373303883601253,0.010655962242809736,0.0,0.03995597091532337,1.9317695591306954e-11,0.0,0.0,-3.4545454545454546
1.3490145098033152e-12,-2.2222222222222223,-65.18147241430806,0.01658907594549275,0.011498671219713152,0.0,0.04290743391879304,4.593085171459658e-13,0.0,0.0,-3.3333333333333335
7.698047182883895e-18,-2.1414141414141414,-62.86732331410062,0.017959674118524394,0.012448697479030546,0.0,0.04620129533708437,4.03486503467813e-12,0.0,0.0,-3.212121212121212
2.794578128157873e-10,-2.0606060606060606,-60.55567711468863,0.019560667840713197,0.013558421763660178,0.0,0.049955250735797936,3.977735844410783e-9,0.0,0.0,-3.090909090909091
3.420624765511766e-9,-1.97979797979798,-58.24659567017507,0.007195509000149425,0.0049875467761473224,0.0,0.05513422964679924,2.795045346557871e-5,0.0,0.0,-2.9696969696969697
