U,Omega_2rdm,Omega_1rdm,V,magnetization,charge_density,doublons
-5.020408163265306,"2.292364392427667, 2.311817803122002, 2.359632603872827, 2.401834566699704, 2.407297429564138, 2.410460686395344, 2.413431654309201, 2.4262880681667274, 2.4293479047675586, 2.4428315517339527, 4.935060703577582, 4.97783642616548, 5.1431891886829515, 5.153710097831544, 5.186207985338393, 5.284305034990153, 5.297402821087562, 5.3049006191649966, 5.310539599578898, 5.3775239092658556, 5.380642723407302, 5.384939042339204, 5.889313885469323, 6.048565721207484, 6.25167579066465, 6.395676547629274, 6.505040171296017, 6.643654384588156, 7.041658961866623, 7.140544009677161, 7.370578786139173, 7.482916895995627, 7.742951421745132, 7.976080077665503, 8.02870308588518, 8.135324614540732, 8.22968595370355, 8.558817687151187, 8.564926058394787, 8.71751969839308, 8.8461344024551, 8.973377456437717, 9.022129215675687, 9.72208054485125, 9.933072399828607","1.625990886685228, 1.6440710524389506, 1.6501574512932284, 1.691848196842307, 1.7221197180643406, 4.12848768332337, 4.5118945608322685, 4.527520248362003, 4.553468953223913, 4.993332585598458",-0.40816326530612246,"0.06140702318463375, 0.11372143080464486, 0.14974309202144376, 0.11372143080464403, 0.06140702318463346","0.3614328008190103, 1.384866619006933, 1.5074011603481112, 1.384866619006934, 0.3614328008190116","0.09435699864319008, 0.5335025253309169, 0.5837244041308147, 0.5335025253309181, 0.09435699864319087"
-5.020408163265306,"2.2767860725639677, 2.329764465737676, 2.397308202617477, 2.4608552474016294, 2.4747695714746683, 2.4819955797691193, 2.500780898690965, 2.5082708623171515, 2.5095620617353376, 2.542319594677121, 4.55745480994416, 4.593945238248946, 4.6238140643345265, 4.644496939152346, 4.66685305378788, 4.699944074033936, 4.745689856405631, 4.766895809260873, 4.820755836325712, 4.8362400410768505, 4.875746278853209, 4.888359335397514, 5.594763622425583, 5.858878296189792, 5.87335775124651, 6.016885674136148, 6.078694781296364, 6.280257220324822, 6.486821560545405, 6.680768301985421, 7.092564211965758, 7.144118888887187, 7.242528662966635, 7.316952429446518, 7.388145322678119, 7.449509037878568, 7.599781651499912, 7.828512553648689, 7.880695820451555, 7.917809057689755, 7.997166061713865, 8.245598137128935, 8.25368069831781, 9.115642117138666, 9.145026303894497","1.640282823377405, 1.6729501346507616, 1.6782267172750884, 1.7491892431469553, 1.7838544286884435, 3.778734207441039, 3.834330994889402, 3.9896932650960273, 4.0410267967493265, 4.686267427644185",-0.24489795918367346,"0.07335708016375474, 0.10006115193831883, 0.1531635357958515, 0.10006115193831966, 0.07335708016375522","0.594910541067542, 1.2553073471818377, 1.2995642235012412, 1.2553073471818357, 0.5949105410675428","0.196103046753267, 0.47308181714341846, 0.465966289283724, 0.4730818171434167, 0.196103046753267"
-5.020408163265306,"2.2777130629591937, 2.3558333360306296, 2.439366876271933, 2.4475741135426854, 2.507715006661955, 2.5413577028131145, 2.5447665369196217, 2.558143431490895, 2.5677987501034094, 2.606546768610536, 4.193997177169978, 4.2737457430329115, 4.3160816642842725, 4.332376370137558, 4.368736526447649, 4.4560084904246535, 4.571748049566053, 4.6388325422556225, 4.700994590403344, 4.818610692210164, 4.847534585972556, 4.879114041907086, 5.58163928971948, 5.660989956725113, 5.691239087522417, 5.731953931327409, 5.857615655677246, 5.9555300357900816, 6.60190934401627, 6.651308895671662, 6.671542843892428, 6.751261517275672, 6.933727172011053, 7.194073442508094, 7.406874551460244, 7.543303116552245, 7.600234760530946, 7.8351265370519405, 7.8360066710384535, 7.903791803385495, 8.140753114260693, 8.198653286012147, 8.623413397919968, 8.976021804321066, 9.16186581904066","1.6532690893609143, 1.700519074244338, 1.715073992496011, 1.768163882878844, 1.8047142272762753, 3.4405652045785264, 3.6264793323933437, 3.759491744792026, 3.935596171828048, 4.6687091707585635",-0.08163265306122448,"0.08136971874723342, 0.09242502899221738, 0.1524105045210977, 0.09242502899221774, 0.08136971874723375","0.8816949121377644, 1.0814329857262646, 1.0737442042719503, 1.081432985726266, 0.8816949121377562","0.33032785196015807, 0.3892714056632041, 0.34806265796149016, 0.38927140566320445, 0.33032785196015374"
-5.020408163265306,"2.2973669869137816, 2.3758364659629057, 2.4165482104908875, 2.4598612649041565, 2.4978119018265956, 2.5269564977558616, 2.556442360286493, 2.5603531971482534, 2.5797248867154985, 2.6090107250914705, 4.089872242689808, 4.1405895685441445, 4.2315047024517645, 4.237635470850997, 4.3618982682507, 4.468383049642882, 4.599568544267231, 4.6808014929076665, 4.695369005908979, 4.8572523618775145, 4.897644799625733, 5.094392031391613, 5.642089952158368, 5.658424926199684, 5.665182585378921, 5.6751992361794255, 5.748509498950273, 5.813806799319048, 6.522214242754067, 6.546397213068087, 6.556050603552939, 6.994766556213864, 7.314043931228455, 7.393217735497489, 7.442616282608411, 7.65128961099628, 7.7862504823861185, 7.900661981931979, 8.078789325418878, 8.114649273811734, 8.249285282672458, 8.696781164021154, 8.914869792270151, 9.763233433449289, 9.81181145194934","1.6588258263152105, 1.7161110446095722, 1.734239776201431, 1.7529064402470604, 1.790262924090406, 3.3433904215619643, 3.554175353279337, 3.8496530605455237, 3.976559277986444, 4.689163811072702",0.08163265306122448,"0.08394227798860016, 0.08781878232627235, 0.15647787937025315, 0.08781878232627324, 0.08394227798860121","1.0964403777892433, 0.9255566386077712, 0.9560059672059626, 0.9255566386077683, 1.0964403777892557","0.4360590607691954, 0.31731925136289896, 0.2871579035377312, 0.3173192513628967, 0.43605906076920065"
-5.020408163265306,"2.3152541257737234, 2.3802027477401038, 2.400740689580734, 2.460723452672333, 2.4799208910315906, 2.50408484906103, 2.53843925779257, 2.552055110881577, 2.564578345137223, 2.5893759582195006, 4.138198738577325, 4.165668843139367, 4.27478152255636, 4.277578019137533, 4.417942915174109, 4.585400816562924, 4.606044715825549, 4.731732630378554, 4.7797837420541756, 4.846421528066318, 4.911749085889097, 5.22445852089997, 5.597550082761575, 5.633773528615796, 5.680652840746146, 5.710188044176078, 5.724934669287832, 5.815184907309184, 6.622378148086545, 6.684076271079893, 6.739315713231417, 7.065868185446178, 7.362100455088357, 7.402924390485368, 7.583696173147682, 7.616566440066227, 7.6349127072537515, 8.057348914240935, 8.276677487876622, 8.337737003830687, 8.440814095268557, 8.475661956737842, 9.44760480029175, 10.618536281724209, 10.963242194086593","1.661023961655978, 1.7177519004318755, 1.7331086447639084, 1.738746362412177, 1.7699514585030942, 3.39419859880678, 3.6170254091279634, 3.8978804753337473, 4.031853686889315, 4.676205482837343",0.24489795918367346,"0.08478870705249802, 0.0822622471858146, 0.16589809152337393, 0.08226224718581515, 0.0847887070524983","1.2458114147782058, 0.7893133128630502, 0.929750544717484, 0.7893133128630473, 1.2458114147782127","0.5116268459740603, 0.2580009973055787, 0.26907584326367173, 0.2580009973055769, 0.5116268459740635"
-5.020408163265306,"2.324701726670352, 2.3711308172384675, 2.3926294282614236, 2.4476827103855565, 2.4585184729409755, 2.4774972284035655, 2.509191123078666, 2.5271761476228476, 2.533301369915478, 2.5559752265749514, 4.2790772200777365, 4.2809021627805945, 4.385371158342696, 4.393915596748823, 4.558186010972356, 4.670014972627236, 4.749546067055738, 4.793296720639831, 4.8991258536576945, 4.916383248280174, 4.96811214892635, 5.3300195914786315, 5.581637512734922, 5.6056144935934595, 5.718294050594226, 5.7500589822009145, 5.804581253473321, 5.892426366888203, 6.636399745228747, 6.7483854813187065, 6.936663851435371, 7.0335365565943455, 7.526235991928661, 7.619170916801228, 7.696323118279064, 7.7216066104008, 7.822621083283036, 8.166915183055828, 8.55518731862221, 8.72974795236406, 8.921366856030351, 9.041431144323758, 9.741383928178646, 11.5799833443738, 12.179106577974844","1.6603765649320419, 1.708098628678697, 1.7129617172236538, 1.7324126873691346, 1.7459700078747238, 3.5338724816694684, 3.750751906553887, 3.9528434905915737, 4.139800710555534, 4.684100002673001",0.40816326530612246,"0.08556934086705642, 0.07495945412157651, 0.17894241002273403, 0.07495945412157637, 0.08556934086705681","1.36439756350563, 0.6609578569045157, 0.9492891591797132, 0.6609578569045169, 1.3643975635056254","0.5721519384783111, 0.20467626511458809, 0.2701046986915504, 0.2046762651145889, 0.5721519384783086"
-5.020408163265306,"2.3273654554894536, 2.358990136493055, 2.381370290789117, 2.4257650492880307, 2.434315419817311, 2.4476609180300346, 2.4726453116140235, 2.4915217516598336, 2.4928680021182013, 2.5135364071545547, 4.461584219574044, 4.4939933209670855, 4.549170577028624, 4.564814159815122, 4.7577871064096975, 4.831965467992071, 4.91112296245617, 4.927716062490636, 5.038372422018642, 5.102586110232254, 5.116426262466377, 5.455395214842475, 5.620193428946834, 5.6331215734553926, 5.7861444380812275, 5.863498212980789, 5.9461003300204665, 6.033454802079585, 6.59691808800518, 6.898518872447347, 7.230995959467585, 7.3969843797337385, 7.731681252309472, 7.789221424364561, 7.813532139202538, 7.975751819805992, 8.07922193109042, 8.345559311078027, 8.786464388071828, 9.026148758834307, 9.548257819742343, 9.79294686586934, 9.9206995284478, 12.589582813090528, 13.426163325554475","1.6560619652203128, 1.6914225307146633, 1.6939104882490685, 1.71822476108132, 1.7197344322427472, 3.7454908790548456, 3.937927096098064, 4.049554239822867, 4.31746514839122, 4.746760736076665",0.5714285714285714,"0.08646795983137046, 0.06638802243913511, 0.19428803545898832, 0.06638802243913539, 0.08646795983137051","1.4640972493462094, 0.5410209233735106, 0.9897636545605581, 0.5410209233735083, 1.4640972493462128","0.62325766266511, 0.1569433288696379, 0.2786467668396017, 0.1569433288696367, 0.6232576626651118"
-5.020408163265306,"2.3261241678357054, 2.346908887588856, 2.3676735463781777, 2.4009660544013847, 2.409806019164315, 2.418044284033182, 2.4357776848293633, 2.4517153660795694, 2.453304682012575, 2.46993804398234, 4.68965798702191, 4.7526992140616136, 4.765911553722894, 4.777980374170721, 4.999832433006971, 5.050736630788972, 5.083358366427151, 5.148570846648685, 5.249039662748638, 5.30901086148412, 5.367128682973391, 5.615055332881978, 5.718731990384096, 5.721585745949805, 5.89558142289536, 6.046722925414304, 6.1484477857781545, 6.214098857149517, 6.7248416998708676, 7.120837317267952, 7.56222717217977, 7.817610742981479, 7.932416367885647, 7.97554100492599, 8.114566157549252, 8.264901470804748, 8.384272239069398, 8.590651825576884, 9.06443348071074, 9.361697154571527, 10.150695414522831, 10.16288347569673, 10.584054658310178, 13.615892446179794, 14.703624995015552","1.648876347929663, 1.6729729684138173, 1.677278949805217, 1.6947041166762637, 1.70028880031481, 4.0131676381691435, 4.163673884899036, 4.193850051433615, 4.556078471827997, 4.871459148870842",0.7346938775510204,"0.08737055838347269, 0.05741763391926839, 0.21042361539452045, 0.057417633919267824, 0.08737055838347063","1.5457329274722582, 0.4354357960331784, 1.0376625529891244, 0.4354357960331761, 1.5457329274722627","0.6653448245802362, 0.1168563293931397, 0.28945669771586835, 0.11685632939313917, 0.6653448245802401"
-5.020408163265306,"2.3231971626040093, 2.335990735847476, 2.3545787660212634, 2.378092402961741, 2.387625182525279, 2.392079280138896, 2.403997627580285, 2.4160195106529843, 2.4190532120193486, 2.431551217248595, 4.9453242880163835, 4.981232743210867, 5.017231333311435, 5.073408820124362, 5.267316906221886, 5.290780271707127, 5.306160088634054, 5.396035052353904, 5.50130427151009, 5.564652889542324, 5.645757282707618, 5.808049830576064, 5.858668968064097, 5.877255541492941, 6.047696560047701, 6.285467337494021, 6.390929228030538, 6.418337628591581, 6.958626730271202, 7.380610250871585, 7.925219346230685, 8.174029143546326, 8.18823282774627, 8.285650882521617, 8.481030625030643, 8.609826686542077, 8.724017782021924, 8.884117492480462, 9.389861196413326, 9.739790319792284, 10.458691730291884, 10.768949100714085, 11.358345455594893, 14.634671791346817, 16.014067688743772","1.6408756842792027, 1.6566067232964337, 1.6634633870372466, 1.6736065649123202, 1.682478393249357, 4.316232949532818, 4.376219144797325, 4.408676657899836, 4.835580153589168, 5.050732076252433",0.8979591836734694,"0.08822735879242588, 0.048864166253821506, 0.22581694990750353, 0.04886416625382177, 0.08822735879242771","1.6090484026031646, 0.34832216355010226, 1.0852588676934731, 0.34832216355010537, 1.6090484026031566","0.6982060778605635, 0.08553316518294621, 0.3002907706420905, 0.08553316518294737, 0.6982060778605577"
-5.020408163265306,"2.319893379897297, 2.3269245191066514, 2.3436558256462985, 2.3594012630289543, 2.3691783461399734, 2.371240590217651, 2.3791535670642965, 2.387967979247175, 2.391481220814068, 2.400877770117802, 5.210524161897003, 5.22085563980495, 5.267022720708661, 5.395673507524328, 5.514661640992492, 5.544938601871282, 5.580054945118199, 5.647003587103987, 5.763827000070941, 5.844712276688358, 5.927177106709909, 6.024907920782209, 6.029951764774597, 6.09435779578455, 6.240361524385771, 6.5599308349606815, 6.635861735349638, 6.652650613430035, 7.253632874775922, 7.65180672509497, 8.309370740927212, 8.397217061208023, 8.489153421076791, 8.764443534642854, 8.86905543466575, 9.000583107141813, 9.081619709024832, 9.209782748337535, 9.748942822956602, 10.149407628826498, 10.826575047429547, 11.36371711597605, 12.092927593187834, 15.626737524312244, 17.36653023769118","1.6337124875644764, 1.6438166400757435, 1.6522776814088764, 1.657280030810424, 1.6670369291617964, 4.582247921493936, 4.634546038161356, 4.655130231281083, 5.135183486874528, 5.2709326162284125",1.0612244897959184,"0.08907113951113038, 0.04123279936401452, 0.23939212224970682, 0.041232799364014555, 0.08907113951113371","1.6559083280621527, 0.2797370538576606, 1.1287092361603817, 0.279737053857663, 1.655908328062142","0.7226548539811378, 0.06235298884822296, 0.3104059019551639, 0.06235298884822383, 0.722654853981129"
-5.020408163265306,"2.316830067618727, 2.319914466822434, 2.3350988479393324, 2.3451409639260037, 2.3546172511185013, 2.3553394529558282, 2.360666531910201, 2.3670426722078806, 2.3705102691187303, 2.377606672879245, 5.461164049628426, 5.472506659707918, 5.51619922423132, 5.713824077856502, 5.745913948563574, 5.821407089965889, 5.858136159486565, 5.885067783409399, 6.013524242415844, 6.125095596280184, 6.198652253464509, 6.228859833538336, 6.254489380663162, 6.357671956916279, 6.469181528462982, 6.8514390559131195, 6.8593247420123005, 6.918943058330254, 7.5782459945023355, 7.916766586838771, 8.634610882110865, 8.702910258282415, 8.80277176949879, 9.249115151320408, 9.256190843401054, 9.420635433434374, 9.444151871126289, 9.561927896774753, 10.126129301784808, 10.575597258010909, 11.230787628553319, 11.942887710539262, 12.778917888335679, 16.579228596613046, 18.78830425428881","1.6279865482038374, 1.634474240614165, 1.6434021702948565, 1.6452340779622072, 1.6546116113729388, 4.799133453139948, 4.892253729496062, 4.952949768523032, 5.43896937954849, 5.517001984227462",1.2244897959183674,"0.08994685831091498, 0.03470506475821083, 0.25069615386174765, 0.03470506475821101, 0.0899468583109157","1.68963030397161, 0.22703032999338113, 1.1666787320700198, 0.22703032999338185, 1.6896303039716112","0.7402751215328542, 0.04571533708783636, 0.3196851433048224, 0.04571533708783649, 0.7402751215328539"
-5.020408163265306,"2.314221831478315, 2.3147586528507254, 2.328538962162763, 2.3346270018621453, 2.343425764135626, 2.343473710548147, 2.3471456514675504, 2.351755709116684, 2.3549385486687613, 2.3603325029701963, 5.695759896589556, 5.72412807113897, 5.758205950523383, 5.961667373646968, 6.034380803349002, 6.089703205096085, 6.1063358663151845, 6.130426435068859, 6.241807601736696, 6.372148746189131, 6.464618423568635, 6.469148381799325, 6.487764310077307, 6.638526096418294, 6.724020400972794, 7.083528207150052, 7.146253807054995, 7.18117160784168, 7.911429063244201, 8.16636317292109, 8.878552298835627, 9.095974207095253, 9.115115889606242, 9.621123214747941, 9.728364930344897, 9.804299978391152, 9.855179605715225, 9.941857263577868, 10.509244253749182, 11.004896553456359, 11.652264105805333, 12.503451127658346, 13.414926337337494, 17.485393797485916, 20.34901894496635","1.6236404479764253, 1.6278486173543834, 1.6364698331488894, 1.6365214378586732, 1.6449733051207187, 5.017918061646593, 5.116270483403676, 5.262070663071276, 5.73685476443445, 5.775370357800796",1.3877551020408163,"0.09087227841696954, 0.02925311802278406, 0.259749207120492, 0.029253118022784207, 0.09087227841696988","1.7136364946915044, 0.18678105112868673, 1.1991649083596185, 0.18678105112868731, 1.713636494691502","0.752768659014825, 0.03390403015060918, 0.32818969983885316, 0.0339040301506093, 0.7527686590148235"
-5.020408163265306,"2.311076594632647, 2.3120905164026553, 2.3235228973109328, 2.326970210531391, 2.3346602788388084, 2.334908110310984, 2.3372511001383516, 2.3406140949120173, 2.343432785834983, 2.3475623997724995, 5.921334304767108, 5.962292093332349, 5.989771769262161, 6.179795870761338, 6.313858230490384, 6.331191298357394, 6.346096050085299, 6.3902028700776725, 6.451345219603157, 6.58679138844354, 6.718587220797851, 6.725518264330687, 6.738885437839497, 6.916655929962073, 6.990891545451012, 7.3051523523778386, 7.43486399236713, 7.435967721719632, 8.240274333709156, 8.397363957665773, 9.12402220444783, 9.417420952565285, 9.481489870045573, 9.956615920114505, 10.154077533866106, 10.200208295883792, 10.29321671312145, 10.343495242267425, 10.890257244512288, 11.427394203343136, 12.077541099635184, 13.044257857372514, 14.003489832342455, 18.343070333879197, 22.246821937754746","1.6204034967699261, 1.623180535162225, 1.630235172633673, 1.631100188803269, 1.637602987565407, 5.233172129254327, 5.327149681909683, 5.557047210973152, 6.023310887891962, 6.035880590558611",1.5510204081632653,"0.091838413885858, 0.02475289000485939, 0.2668173922185718, 0.024752890004858984, 0.09183841388585157","1.730742494138958, 0.15589462412574534, 1.2267257634705806, 0.1558946241257425, 1.7307424941389729","0.7615775880542904, 0.025503056125469145, 0.33599744278611077, 0.02550305612546853, 0.7615775880543043"
-5.020408163265306,"2.308485006332423, 2.31038248328091, 2.319666033970549, 2.3213898906059147, 2.3280796443202085, 2.328424330426289, 2.3299432288588804, 2.3324324739947895, 2.334886369317231, 2.3380709548027223, 6.136527494443196, 6.186247373250263, 6.209616902652379, 6.389092959596929, 6.51075194910705, 6.588991217806186, 6.611981357834264, 6.632543396247456, 6.647194051353163, 6.795191758287847, 6.943197597941461, 6.977148177546537, 7.007254204156803, 7.1840847637964735, 7.258518207428927, 7.522413938422572, 7.678030760958423, 7.716206083141064, 8.55746986239611, 8.609752687477808, 9.367928491500859, 9.705689166106076, 9.854932884064272, 10.268449620895476, 10.498355715470852, 10.65396437581812, 10.727322449169664, 10.75262357539563, 11.264459688880239, 11.836814734608586, 12.497691027185487, 13.565616866375676, 14.548848107362081, 19.152989306814156, 25.522982762991784","1.6179982419709265, 1.6198711238429366, 1.6256663276352337, 1.626946580929347, 1.6319773978002736, 5.441943205631716, 5.525977909608543, 5.835914425222242, 6.292111050162271, 6.295741583496793",1.7142857142857142,"0.09282329663201494, 0.021053848713119477, 0.2722457093091342, 0.021053848713145792, 0.09282329663258565","1.7430265402632534, 0.13193567682206647, 1.2500755658305245, 0.13193567682226626, 1.7430265402618912","0.7677919403120053, 0.019472445736769747, 0.3431696395332533, 0.019472445736816328, 0.7677919403107634"
-5.020408163265306,"2.3066706871911378, 2.3090242289958223, 2.3166740751221306, 2.317290176164317, 2.323115893356496, 2.3234607179139832, 2.3244762863887147, 2.3263509039253636, 2.328472813375846, 2.3309453393691033, 6.341069190368273, 6.396401123470237, 6.417564792694412, 6.589688957362871, 6.698674740609654, 6.818050911047047, 6.832754229433904, 6.854164278992524, 6.875780357152528, 7.0042369081720475, 7.1594997066285755, 7.216023677320122, 7.266085064655756, 7.438334702584414, 7.520449519766912, 7.734607402041548, 7.910051670906965, 7.985133077251618, 8.804657077279016, 8.859582827315016, 9.608446143527283, 9.97891222407637, 10.213747830988979, 10.563172514917209, 10.83061925541977, 11.09263927127831, 11.152812044410252, 11.157561428723517, 11.629435385110895, 12.229765482070528, 12.907014556230235, 14.068745899055687, 15.055676511342792, 19.917466930105665, 25.465921307628705","1.6162006291233448, 1.6174948896326309, 1.6223049524460822, 1.6237220941868657, 1.627663257790445, 5.6428161976696645, 5.713895948825783, 6.098357785729397, 6.54054059529288, 6.553248881088079",1.8775510204081634,"0.09380324011677899, 0.01801231186701652, 0.2763688960041959, 0.018012311868080114, 0.09380324014392827","1.7519466142370086, 0.11309999074940633, 1.2699067900820054, 0.11309999075684249, 1.7519466141747377","0.7721911056018429, 0.015087560920250837, 0.34975434769092484, 0.015087560921825872, 0.7721911055439972"
-5.020408163265306,"2.305400858205714, 2.307945270900965, 2.3142429996407756, 2.314329430012865, 2.3193255468988903, 2.319628565149735, 2.3203294104128416, 2.32176696198103, 2.323600175703842, 2.3255314682730592, 6.5352451767689965, 6.593645972463285, 6.614001396907784, 6.781676632280375, 6.878402795440752, 7.0098452463206185, 7.033624275648067, 7.055328440921364, 7.123031784880274, 7.2136889255897385, 7.366473271698809, 7.440173101487347, 7.513706121890951, 7.679183402594897, 7.773677068678208, 7.941612716754834, 8.131022585698886, 8.242337294216956, 8.984275432722578, 9.14479437244958, 9.844545585413275, 10.237630996525674, 10.556773378184356, 10.844630556054039, 11.150781758106865, 11.514279017917797, 11.551457483881014, 11.566923211161464, 11.984257915248458, 12.604865183834827, 13.301993664865627, 14.555352730441669, 15.528456116571514, 20.639549929784422, 24.19797281001841","1.6148442522357762, 1.615761944460571, 1.6197963763088201, 1.6212024297723295, 1.6243284293889875, 5.835269438397624, 5.89186818789322, 6.3449176199958774, 6.779517430568988, 6.795852086792972",2.0408163265306123,"0.09475849368934658, 0.015503810389290742, 0.2794753907325004, 0.015503810413909407, 0.0947584947749528","1.7585050748397726, 0.09808189208968285, 1.2868260683164041, 0.09808189236864588, 1.7585050723854934","0.7753187337870605, 0.011853623956259078, 0.35579361258622755, 0.011853624015267294, 0.7753187314900071"
-5.020408163265306,"2.304510169567515, 2.307085728684667, 2.311948273818843, 2.3124727604525828, 2.3163939240338403, 2.316641083318227, 2.3171402806855697, 2.3182625410967947, 2.3198502299999975, 2.3213664673441454, 6.7195971948882445, 6.779022119376896, 6.799566020999019, 6.965325025770278, 7.050351091770118, 7.179447862398884, 7.236406292337857, 7.239699591326224, 7.354673276910528, 7.419993375906852, 7.563763529568721, 7.648788400073764, 7.750010209038561, 7.907423656213504, 8.017084294356316, 8.143467161458968, 8.341393262769477, 8.488135193473191, 9.150247050142196, 9.413191261028791, 10.075687404081346, 10.48302948766958, 10.883777427951006, 11.114920456290733, 11.458390817136534, 11.91832469044923, 11.930539048220759, 11.968181040734619, 12.328936494105683, 12.962039575474043, 13.680564801650393, 15.027376779428492, 15.971214583977531, 21.32251060786783, 23.888030019530767","1.6138093720958246, 1.6144773033054403, 1.6178963033235791, 1.6192174408415698, 1.621726305576316, 6.019278543245536, 6.060696147120584, 6.576527935394087, 7.008480180173845, 7.024035648129963",2.204081632653061,"0.09567490661435157, 0.01342543820914411, 0.28179930563881134, 0.013425438315994855, 0.09567491122169841","1.7633884273162157, 0.08594103644558453, 1.3013410817232947, 0.08594103740063141, 1.763388417114276","0.7775509246307837, 0.009433902930836863, 0.3613275022158276, 0.009433903100753354, 0.777550914978618"
-5.020408163265306,"2.303883560568236, 2.3063974410243864, 2.310196906094414, 2.310987294487615, 2.314097845869013, 2.314288461443933, 2.3146552985790922, 2.315546501972796, 2.3169274614361344, 2.3181226428340533, 6.894763503173337, 6.953562711678499, 6.974983778347724, 7.141008191503176, 7.214814158222472, 7.342164047608914, 7.4110839767490715, 7.427241966041106, 7.571822401092831, 7.619821502087791, 7.751414428420336, 7.841940304989559, 7.975420680662097, 8.124263900573094, 8.250506768786412, 8.340101541759145, 8.541771710898901, 8.723174910326836, 9.304335400282712, 9.665340804477395, 10.301632409529583, 10.71645534336494, 11.195113967844748, 11.375267065213857, 11.753301203807958, 12.2927567914532, 12.304631132820294, 12.355947409618487, 12.664020777168725, 13.302026087971944, 14.041649126743186, 15.486851559422584, 16.387459399333817, 21.96956213805166, 23.86563566414364","1.613010626644442, 1.6135095671924862, 1.6164360445213088, 1.6176398019178904, 1.6196758147348476, 6.195084288346427, 6.221065257410197, 6.79426486228621, 7.227466056516817, 7.238499719216372",2.36734693877551,"0.09654360194461115, 0.011694095656190572, 0.2835246024296282, 0.011694095701068429, 0.09654360426850184","1.7670691586279732, 0.0759970161662602, 1.313867655064818, 0.07599701658112888, 1.7670691535598215","0.7791480127834722, 0.007597916218346304, 0.36639538023757967, 0.00759791629017822, 0.7791480079546337"
-5.020408163265306,"2.3034415597687348, 2.3058427000161017, 2.3088426833039812, 2.3097869731453353, 2.312277968334437, 2.3124171522800596, 2.312695045360597, 2.313414196754193, 2.314621627683495, 2.315566418649906, 7.061397817241488, 7.11823020194416, 7.14098040290071, 7.309148632519771, 7.3720573011653405, 7.498432287351091, 7.5719585705039085, 7.6070173310338625, 7.7756268579745305, 7.811435843221229, 7.929700278245557, 8.020373955591168, 8.190558839597827, 8.330957691034174, 8.474237919733001, 8.531287532874867, 8.732820060235992, 8.948224409801348, 9.448096802769784, 9.902216889580583, 10.52232422428591, 10.939202217524514, 11.491482906223569, 11.626459000077872, 12.035629338009636, 12.63712315822308, 12.673271317585648, 12.730114778122264, 12.990277016908147, 13.626045097972977, 14.384858874089982, 15.935839310064205, 16.780200016829177, 22.58373678761515, 23.973583795359676","1.612387081437689, 1.6127693509584944, 1.615298103786322, 1.6163745968862935, 1.61804411068867, 6.363059711941204, 6.373579453098749, 6.999216410552764, 7.4368229679687605, 7.440026904659657",2.5306122448979593,"0.09735998000670554, 0.010243436219066749, 0.2847932982634662, 0.010243433491710354, 0.09735985201905073","1.7698754015412919, 0.06775285666709041, 1.3247432262919072, 0.06775283928728905, 1.7698756762124201","0.7802910351103692, 0.006186277726918975, 0.3710357972329866, 0.006186275152933883, 0.7802912987861917"
-5.020408163265306,"2.303129291726277, 2.3053923578386533, 2.307782478581001, 2.3088078675283827, 2.3108193594898654, 2.310914216958821, 2.311130977798345, 2.31172000763099, 2.312781637977251, 2.313529651389206, 7.220130009051015, 7.273895327698252, 7.298242828884938, 7.470182638862927, 7.522346180896259, 7.6486191459615265, 7.723811703855259, 7.776600946581481, 7.96719192687863, 7.994231551120225, 8.099021160815054, 8.18528320456904, 8.396106313218542, 8.528593251572403, 8.68877643408517, 8.716733199358389, 8.915200829804773, 9.164063278342965, 9.582903411567436, 10.124959334838811, 10.737819129453193, 11.15242975590082, 11.773768279731017, 11.869057449827075, 12.305679299665545, 12.96344806303156, 13.02443179171924, 13.090903133411134, 13.308403331800658, 13.935580807756043, 14.710307167786363, 16.37644161192766, 17.152003180118005, 23.167785013105178, 24.15038290464467","1.61189495269953, 1.6121950517521844, 1.614399680344683, 1.6153509386165534, 1.6167332885688142, 6.518781910130546, 6.5236349303349055, 7.192419495313001, 7.629413678418529, 7.637046502886241",2.693877551020408,"0.09812233295254413, 0.009020719636743169, 0.2857140214022839, 0.009020717612853703, 0.098122208395575","1.7720381268861163, 0.060841291362383004, 1.334240913103777, 0.0608412772158478, 1.7720383914318751","0.7811072818462002, 0.005087382643524421, 0.3752859317857804, 0.005087380460435668, 0.7811075370452729"
