U,Omega_2rdm,Omega_1rdm,V,magnetization,charge_density,doublons
-6.0,"2.3029891971738974, 2.303410970448574, 2.3036494836651804, 2.303995033146207, 2.306366428724269, 2.3066711495079883, 2.307154874079247, 2.3073276921817976, 2.307412193239922, 2.3074531704014736, 7.727423771677464, 7.757310911962349, 7.769711710262375, 7.825443465256486, 7.831636437678031, 7.852324237151768, 9.675678589466616, 9.692696834046478, 9.746318736199825, 9.964968112079841, 9.993344712180221, 10.043904881824295, 10.081819977991533, 10.154410831584434, 10.231211763630991, 10.234427725029324, 10.400281099426573, 10.670018270637206, 10.882185334146273, 11.591607217896428, 11.683281049830672, 11.8468964263162, 12.861126811498467, 13.152953026468358, 13.593046923960483, 14.132911890555818, 16.477909850545615, 16.605649570775913, 17.528452995429898, 17.75492410023732, 17.894522476276112, 18.877798030344156, 19.183071388497513, 19.583757407746774, 21.271873778746077","1.609482956770735, 1.6101396497995892, 1.610219215851454, 1.6134825164609878, 1.6140576464438625, 7.064606303275766, 7.069613530358064, 9.012033228128946, 9.062763807132967, 9.300478112499068",-2.36734693877551,"0.010644818539675452, 0.22072601949039822, 0.037258376856096787, 0.22072572035953197, 0.010645064754297433","0.03836060539237604, 1.4998841486180479, 1.923508141503409, 1.4998857443533382, 0.038361360132827746","0.000921084709705951, 0.5203383050214525, 0.9236977882031923, 0.5203394127903358, 0.0009213354417798013"
-6.0,"2.302961421419354, 2.3036663771029633, 2.3038693209895236, 2.3044041192889044, 2.3068473520116974, 2.3072618407328473, 2.307897374035605, 2.3080837708219675, 2.3082261531006707, 2.308282862436535, 7.585919505230235, 7.613362967079999, 7.622331880658841, 7.669890070966189, 7.679592337753415, 7.715216033621508, 9.437367410254856, 9.469359220755141, 9.47768210342785, 9.708508769335829, 9.858061563012019, 9.901879076839965, 9.949628145815332, 10.049718851728331, 10.054497858321527, 10.08893372698036, 10.328953144811187, 10.595291913016995, 10.771498427166334, 11.38976199959479, 11.392734997505537, 11.683317462028857, 12.717042298536834, 12.849666243102634, 12.995037233165709, 13.84605975943696, 16.093793497313126, 16.185132606778538, 17.173064614146867, 17.388417446986967, 17.405270851085632, 18.450437753366014, 18.638985224513302, 18.654018315388562, 20.388563611557103","1.6094996284214151, 1.6101933342826007, 1.6104580761334195, 1.6140573471700281, 1.6148633746201873, 6.912303019931384, 6.928900705652118, 8.746912946385057, 8.924163963740197, 9.165499006158884",-2.204081632653061,"0.011856276409914653, 0.21737533366775413, 0.04153678421785034, 0.21737528071815954, 0.011856324986321443","0.04185247141111723, 1.5008384636475562, 1.9146176307563219, 1.5008387255325761, 0.04185270865243086","0.0010778049036055547, 0.523579679167339, 0.9148668673065232, 0.5235798362802306, 0.0010778585846358878"
-6.0,"2.302920178331841, 2.304031456667327, 2.3041602880884624, 2.3050008224444456, 2.3073915912760623, 2.307979850638276, 2.3087952142711687, 2.30908237382059, 2.309262567538042, 2.309342061483, 7.432338867161789, 7.457930408555654, 7.467456456022617, 7.503023135883131, 7.519017804969332, 7.570827316485081, 9.1404094646186, 9.185069705783867, 9.194955123563284, 9.50614048386691, 9.706858564674057, 9.728258876130813, 9.790591926007972, 9.863315756887303, 9.870819539528206, 10.006422898182363, 10.245141707501995, 10.504746578964491, 10.624280900512096, 11.131339112315265, 11.162422209320003, 11.476494253266866, 12.453193121185427, 12.51458712036742, 12.526981361264975, 13.544090043468799, 15.522468102060149, 15.733318744342421, 16.716059060077672, 16.73069977740121, 16.894777460418624, 17.755816941319253, 17.87285826516583, 17.976496349268928, 19.73497247416848","1.6095236014394834, 1.6102684172560713, 1.610799361835534, 1.6147523879734347, 1.6158825471172056, 6.748370711111324, 6.779348729821415, 8.457499567549075, 8.763169223358133, 9.014465639251686",-2.0408163265306123,"0.013269725100592662, 0.21349309899333468, 0.04647434139827766, 0.2134931147299604, 0.013269719777834364","0.0459227053339329, 1.5019207506461556, 1.9043133882495367, 1.5019204793919334, 0.04592267637844148","0.0012844367883095321, 0.5273347711690288, 0.9046469179186697, 0.5273345912672213, 0.00128440918883484"
-6.0,"2.3028589964304036, 2.304546398583333, 2.304561048933461, 2.3058452138231624, 2.308006818245077, 2.308863653923327, 2.3099232854293383, 2.3103797889869346, 2.3105909294757034, 2.310704696499991, 7.2640098651694025, 7.288987910322027, 7.306541447736337, 7.325817749420864, 7.3516961466909585, 7.417936166411191, 8.811961278422016, 8.880582573000703, 8.907783851990768, 9.306523831440966, 9.516720396197512, 9.538248134483842, 9.599008747478306, 9.668233583690443, 9.680036544469328, 9.905499033521087, 10.146259414115326, 10.39685579740207, 10.44826719963208, 10.882902287434685, 10.902241046117485, 11.207279879330347, 11.980962325890912, 12.188210824463365, 12.250919305481267, 13.218123742458333, 14.892864012824209, 15.166537793375023, 15.993225424456702, 16.12300870607513, 16.34038869789312, 16.855296400537366, 17.191915795683663, 17.335789819062516, 18.57408777775064","1.6095595231741417, 1.6103762598098255, 1.6112786872941487, 1.6156016029613547, 1.617180480523283, 6.572973017495305, 6.619677122080349, 8.155254272225367, 8.576419038684962, 8.845829443953845",-1.8775510204081634,"0.0149253856543116, 0.20898549674582656, 0.05217824337430599, 0.20898542002223214, 0.014925454203324046","0.050708074366580334, 1.5031215284199315, 1.8923399705217196, 1.5031220297105774, 0.05070839698119559","0.0015626382013607836, 0.5316750770474656, 0.8927957525866469, 0.5316753897574559, 0.0015627385347792915"
-6.0,"2.302770848268678, 2.30512899949498, 2.305270465701797, 2.3070275773939337, 2.308693025444112, 2.3099632862591153, 2.31137950902628, 2.312055230980014, 2.3123044830013537, 2.3124718407880103, 7.082592654445371, 7.1069647883964855, 7.1381662836133275, 7.139875841997618, 7.177930148047676, 7.255776463944434, 8.478276463340325, 8.57040936480689, 8.610843088299802, 9.085493955520212, 9.261028644606895, 9.34832591695314, 9.368032992590257, 9.457583047915453, 9.47565355507426, 9.780910016829074, 10.029801981245397, 10.24819473181991, 10.265637572973686, 10.616851183399659, 10.618081853745801, 10.866372781760436, 11.58015152539826, 11.825697583145047, 11.933992988822599, 12.870652152947955, 14.276394802607033, 14.571594375871351, 15.313737534030562, 15.593087903236993, 15.78039574564682, 16.050836137672665, 16.484240283931396, 16.66208826061302, 17.87383907410354","1.6096152879965822, 1.6105369117321011, 1.6119474130381266, 1.6166472031892503, 1.6188420495252938, 6.386989155673829, 6.448957876341158, 7.846174145488418, 8.359328460145814, 8.655466784001872",-1.7142857142857142,"0.016870122728188098, 0.20374622424486333, 0.058767305694069294, 0.20374618157482072, 0.016870165758058497","0.05638936312659435, 1.5044122694149282, 1.8783963364492027, 1.50441249547942, 0.05638953552985468","0.0019478160196034712, 0.5366701082658617, 0.8790341731547271, 0.5366702492731413, 0.001947871054721707"
-6.0,"2.302646831656164, 2.3059549804159656, 2.3062926091476776, 2.3086807582914792, 2.3094414782315766, 2.3113485406243237, 2.313294264068795, 2.314229627104206, 2.314533823559343, 2.31478786618991, 6.890386628586061, 6.913951289660259, 6.946935221292879, 6.959825898074549, 6.996097230738636, 7.083512416522119, 8.145664539313255, 8.258017654439294, 8.30899976099179, 8.833077934671627, 8.956570845316834, 9.090566216221804, 9.132026664258118, 9.22382350447364, 9.25087204321904, 9.625807086308116, 9.889671173599446, 10.018559834892379, 10.106361260917726, 10.313684358921488, 10.322637945431092, 10.468587205356851, 11.22891194639712, 11.437979268195344, 11.562164776937113, 12.481070682739926, 13.652830483889273, 13.934837491389557, 14.627989447153272, 15.022038438251268, 15.179140632116315, 15.258532301617652, 15.754271489912359, 15.970689171780442, 17.117015933788398","1.6097050764565448, 1.610783776177181, 1.6128804389711557, 1.6179450673949431, 1.6209848102009172, 6.191398305679541, 6.265822529874751, 7.533595850877963, 8.106337536403494, 8.4378953838507",-1.5510204081632653,"0.019159064200703884, 0.19765759990048654, 0.06636666677215597, 0.19765757931164696, 0.019159089815006386","0.06321454076664845, 1.5057215756877813, 1.8621277090987378, 1.5057215878102301, 0.0632145866366012","0.002498361170517947, 0.5423726694303921, 0.8630453618984298, 0.5423726806658704, 0.002498374492729501"
-6.0,"2.302476697663493, 2.307193486124197, 2.3077532748766867, 2.3102266094939075, 2.311004127081199, 2.3131201742911465, 2.315854973225458, 2.3170853742226556, 2.317468225284184, 2.3178676311779083, 6.688961080138299, 6.712004375067052, 6.748789122269319, 6.769490512999153, 6.804117691239438, 6.899862099501656, 7.81447777618639, 7.94408786713239, 8.004818323736824, 8.541613316171418, 8.602407537760744, 8.762146036605342, 8.882569991282772, 8.957623051894323, 8.997078007175107, 9.428786890812654, 9.718557801012087, 9.749944541547263, 9.912680546222045, 9.987972148596915, 9.99530862870741, 10.039320157870431, 10.890307055128766, 11.021299118184414, 11.137680954657876, 12.035013482598512, 13.019894727349245, 13.269937086623306, 13.930659962968194, 14.40152087058527, 14.47472432821799, 14.527552939285865, 15.009580598151251, 15.249810114540066, 16.2977299840848","1.6098550971275112, 1.6111731584518214, 1.614192194200903, 1.6195701581105166, 1.6237788829327924, 5.9872051871554, 6.068345500336232, 7.218042372904558, 7.811186466221178, 8.18564073400807",-1.3877551020408163,"0.02185700421767357, 0.1905935635408199, 0.07509885735940192, 0.19059355037498882, 0.021857024507116","0.07154393777627527, 1.5069020240285425, 1.8431081923065828, 1.5069019292042765, 0.07154391668432517","0.0033157661544590588, 0.5487963916894392, 0.844472251079827, 0.548796340527808, 0.0033157538559730007"
-6.0,"2.302253482013297, 2.3091243400269335, 2.309891497641739, 2.3109890832936077, 2.314311475370801, 2.3154308006117024, 2.319346548229604, 2.320915963662086, 2.321399538818338, 2.32205244506601, 6.478574002227359, 6.501911051310064, 6.547179319022813, 6.565272216557826, 6.599896304990921, 6.702538276716677, 7.483079728967443, 7.626826979130401, 7.698166971015964, 8.198790820392997, 8.202789981159667, 8.380164161021874, 8.591831291070585, 8.65119378394895, 8.70743205324829, 9.169563040862212, 9.437152764663875, 9.506241916484417, 9.585568054831406, 9.629612054837049, 9.632759469944043, 9.67663451213667, 10.533147355430593, 10.55989142669899, 10.6674499755787, 11.512316610481976, 12.368477576849099, 12.582251144321823, 13.209826929032957, 13.693463554937836, 13.719973025909642, 13.817592342408254, 14.255590590466198, 14.48621775767276, 15.408655380547366","1.610116009102867, 1.611802972014045, 1.6160713966145772, 1.621625242477479, 1.6274894937227458, 5.775232747289465, 5.85336906413375, 6.897468622602065, 7.466077436999793, 7.889291492810388",-1.2244897959183674,"0.025040800657593273, 0.1824249831448479, 0.08506843942603698, 0.18242496175552286, 0.025040815015998655","0.08194343225436856, 1.507659188847875, 1.8207947556796675, 1.507659174029068, 0.08194344918901902","0.004586796146113913, 0.5558697625492134, 0.8229041142969967, 0.5558697610623935, 0.004586817655935829"
-6.0,"2.301987944538372, 2.3115980968868786, 2.312288699800119, 2.313150327386406, 2.318531275300473, 2.319134461998816, 2.3242330736492933, 2.326243846417979, 2.326821357895476, 2.327935859771369, 6.256564033045084, 6.281966122971788, 6.343429043152694, 6.347030221999956, 6.381576188006329, 6.488168738004859, 7.144450823550796, 7.299240612832825, 7.38243774472864, 7.749596472162533, 7.80885015745017, 7.949175625328345, 8.24631104445177, 8.283964065547046, 8.361429949018039, 8.818082289211732, 9.083738335269906, 9.105767924916409, 9.222159028308141, 9.237388083421743, 9.238348538792229, 9.390929836908441, 10.071122944884369, 10.145961692990825, 10.146067924934247, 10.932933358757612, 11.685168079499572, 11.874897601027634, 12.46254737160068, 12.906682087024425, 12.959310729501325, 13.038456925302745, 13.444168785959416, 13.680249775631768, 14.441219069447747","1.610590091926041, 1.6128512805669644, 1.6188595438401523, 1.624260370506257, 1.6325743281586833, 5.55584901366384, 5.615963718594982, 6.564797638981819, 7.063097638615527, 7.533680882868219",-1.0612244897959184,"0.02880485910083861, 0.17302668486499007, 0.09633691855542315, 0.17302667192114535, 0.028804865557602925","0.09539289258462026, 1.5074067020402564, 1.794400831269457, 1.507406683724804, 0.09539289038086274","0.006678717455019186, 0.5633465594121725, 0.7978265402728737, 0.5633465523263065, 0.006678729202935085"
-6.0,"2.301757600345604, 2.311757875732574, 2.3178267792781466, 2.3184577480626465, 2.3228694595938415, 2.32648575302984, 2.3313618356741914, 2.3341243312868976, 2.3346869942894544, 2.336682962003792, 6.011894602549958, 6.044534873555774, 6.117478048977308, 6.137784020437654, 6.147619050597188, 6.250333882012654, 6.787869586977216, 6.946822764053858, 7.043739183714216, 7.250333062180955, 7.348513746694863, 7.464235832203779, 7.831751304343455, 7.843733646910215, 7.9477313363429465, 8.358672492419869, 8.584462445952179, 8.653144751887746, 8.77703978094547, 8.796830216737172, 8.893759503795321, 9.046237021390716, 9.532839860224387, 9.586361557603201, 9.71138697897642, 10.291462479474612, 10.949915730555128, 11.138708477800737, 11.673115271032318, 12.098887882268103, 12.102649482871131, 12.173673015281551, 12.549785699982491, 12.816699582186233, 13.383945120464167","1.611493618936222, 1.6146708813562591, 1.6232694242722219, 1.6277101949604857, 1.639936517949012, 5.327940842543394, 5.346917509088676, 6.206421805517193, 6.5905129364932655, 7.101203041414348",-0.8979591836734694,"0.03327780078637217, 0.16228180008029652, 0.10888079871095924, 0.16228180455911695, 0.03327779586325502","0.1138173383966119, 1.5049212458699306, 1.7625228157203652, 1.5049212585615925, 0.11381734145150046","0.010380102645761887, 0.5706067145703063, 0.7684477451380971, 0.570606719141033, 0.010380104125449914"
