U,E_p,m_cdw,m_sdw,V,S,E_GS,coherence,E_p_bits
-6.0,0.0010176202499294629,0.019829460658303124,0.1203612902686114,-4.0,0.055039668033675736,-58.45902117906961,0.12087755723385463,0.0014681156880813617
-6.0,0.00013244061328787637,0.009768626541009153,0.12967841683507716,-3.836734693877551,0.037496081112039996,-56.82975762864271,0.09792561046550247,0.00019107141600249733
-6.0,0.0012905551809989646,0.08320304227347228,0.05798794993392637,-3.673469387755102,0.13994618622052996,-55.2329086366442,0.17938537911706415,0.0018618775596204173
-6.0,0.0012113604251795529,0.05789830064196168,0.08207275117544789,-3.510204081632653,0.1157816840475089,-53.61568707562192,0.1700596473075693,0.0017476236781353016
-6.0,0.0053926993002408885,0.12412744517867155,0.01823459335801359,-3.3469387755102042,0.1677100479791417,-52.00724362148672,0.20583207055630134,0.0077800205374622955
-6.0,0.019763944288005098,0.05446715635499989,0.08423319216662936,-3.183673469387755,0.129628379253699,-50.389341699793526,0.2040591553764028,0.028513344412709696
-6.0,0.002558983321736763,0.2153587913859027,-0.067818928498399,-3.020408163265306,0.1370683855330011,-48.78374601362391,0.19258945047599899,0.003691832547987328
-6.0,0.007113250894118961,0.1812146401601456,-0.035155064873049945,-2.857142857142857,0.16731677554055643,-47.18013174769998,0.21767544539751077,0.010262251789544319
-6.0,0.005576600759445993,0.1408933363987312,0.0024387491852116377,-2.693877551020408,0.17961336159322067,-45.57727158617196,0.22584445946134266,0.00804533426066989
-6.0,0.05110412332150882,0.14024470473047418,0.0031638905214404155,-2.5306122448979593,0.20442285552319753,-43.977170262703694,0.25258042779721046,0.07372766528491859
-6.0,0.0037847771805947783,0.24695639671563277,-0.0912661559131849,-2.36734693877551,0.11538290132052906,-42.36676035724382,0.1966849957263357,0.005460279269314583
-6.0,0.12914551914575845,0.12279755266357115,0.018668538798389377,-2.204081632653061,0.25434913016639,-40.78792775557954,0.28077781795302537,0.18631760002461606
-6.0,0.011466487010055593,0.1698905359891765,-0.021275055579218407,-2.0408163265306123,0.194830504146267,-39.20295686370261,0.2591457073161085,0.016542643945824498
-6.0,0.01636079168764515,0.1353209603466451,0.00790269301477114,-1.8775510204081634,0.20655830157250307,-37.62337816017614,0.2770527213944515,0.023603633032782678
