U,V,magnetization,charge_density,doublons
0.0,0.0,"0.0, 0.0, -1.6653345369377348e-16, 4.440892098500626e-16, 0.0, -5.551115123125783e-17","1.0000000000000016, 1.0000000000000004, 1.0000000000000027, 0.9999999999999998, 1.000000000000001, 0.9999999999999991","0.25000000000000056, 0.24999999999999992, 0.2500000000000009, 0.24999999999999975, 0.2500000000000005, 0.2499999999999994"
0.0759493670886076,0.05063291139240506,"-1.1102230246251565e-16, -5.551115123125783e-17, -2.7755575615628914e-17, 2.7755575615628914e-17, 2.7755575615628914e-16, -1.6653345369377348e-16","1.0245906125354314, 0.9819565742609094, 0.9934528132036606, 0.9934528132036604, 0.9819565742609102, 1.0245906125354276","0.26063918718374696, 0.24036370431347232, 0.2458640544475766, 0.2458640544475765, 0.24036370431347256, 0.2606391871837449"
0.1518987341772152,0.10126582278481013,"-4.996003610813204e-16, 1.1102230246251565e-16, -7.771561172376096e-16, 6.938893903907228e-16, -2.498001805406602e-16, 5.551115123125783e-16","1.0480054261604699, 0.9642646233652767, 0.9877299504742535, 0.987729950474254, 0.9642646233652767, 1.0480054261604668","0.27106338511154215, 0.2310734262165955, 0.24221499675617278, 0.24221499675617297, 0.23107342621659593, 0.27106338511154127"
0.22784810126582278,0.1518987341772152,"-1.6653345369377348e-16, -1.6653345369377348e-16, -2.498001805406602e-16, 3.0531133177191805e-16, -1.6653345369377348e-16, 3.885780586188048e-16","1.0703186941819234, 0.9469432569523887, 0.9827380488656889, 0.9827380488656894, 0.9469432569523881, 1.070318694181923","0.2812780286622266, 0.22213150294972825, 0.23899435114566042, 0.23899435114566073, 0.22213150294972794, 0.2812780286622264"
0.3037974683544304,0.20253164556962025,"5.551115123125783e-17, -5.551115123125783e-17, 1.1102230246251565e-16, -8.326672684688674e-17, -4.163336342344337e-16, 4.440892098500626e-16","1.091600736528335, 0.930004357719117, 0.9783949057525511, 0.9783949057525478, 0.9300043577191175, 1.0916007365283296","0.29128887515169544, 0.21353645776187907, 0.2361515877188646, 0.23615158771886305, 0.21353645776187938, 0.29128887515169255"
0.379746835443038,0.25316455696202533,"3.885780586188048e-16, -2.220446049250313e-16, 2.220446049250313e-16, -1.942890293094024e-16, -5.551115123125783e-17, -1.1102230246251565e-16","1.1119177144367272, 0.9134543620702176, 0.9746279234930582, 0.9746279234930555, 0.9134543620702179, 1.1119177144367256","0.30110172769639226, 0.20528396805851362, 0.23364287720431987, 0.23364287720431848, 0.20528396805851384, 0.3011017276963912"
0.45569620253164556,0.3037974683544304,"0.0, -2.7755575615628914e-17, 2.7755575615628914e-17, -8.326672684688674e-17, 1.3877787807814457e-16, 0.0","1.131331543184786, 0.8972956225550421, 0.971372834260176, 0.971372834260172, 0.8972956225550444, 1.1313315431847792","0.3107222385677394, 0.1973676132910065, 0.2314300799383582, 0.23143007993835626, 0.19736761329100735, 0.3107222385677357"
0.5316455696202531,0.35443037974683544,"-2.220446049250313e-16, -2.7755575615628914e-17, -1.942890293094024e-16, 3.3306690738754696e-16, 1.1102230246251565e-16, 0.0","1.149899911011747, 0.8815274506240081, 0.9685726383642446, 0.9685726383642452, 0.881527450624008, 1.1498999110117467","0.32015577644164467, 0.18977945132874005, 0.22947991445745727, 0.2294799144574575, 0.18977945132874008, 0.3201557764416444"
0.6075949367088608,0.4050632911392405,"-1.1102230246251565e-16, 1.1102230246251565e-16, -5.551115123125783e-17, 1.1102230246251565e-16, -4.996003610813204e-16, 5.551115123125783e-16","1.1676763770747318, 0.8661469144610802, 0.966176708464191, 0.9661767084641879, 0.8661469144610807, 1.1676763770747278","0.32940734368670604, 0.1825104619633718, 0.22776326634961416, 0.22776326634961286, 0.1825104619633722, 0.329407343686704"
0.6835443037974683,0.45569620253164556,"-3.3306690738754696e-16, -8.326672684688674e-17, -1.1102230246251565e-16, 3.608224830031759e-16, -1.3877787807814457e-16, 3.3306690738754696e-16","1.18471052603682, 0.851149448716989, 0.9641400252461934, 0.9641400252461914, 0.8511494487169886, 1.1847105260368156","0.3384815320785781, 0.17555088779393652, 0.2262546085425649, 0.22625460854256402, 0.17555088779393668, 0.3384815320785758"
0.759493670886076,0.5063291139240507,"0.0, 1.1102230246251565e-16, 1.1102230246251565e-16, -2.7755575615628914e-17, 3.885780586188048e-16, -5.551115123125783e-16","1.2010481612611197, 0.8365293194564773, 0.9624225192824024, 0.9624225192824025, 0.8365293194564775, 1.2010481612611181","0.34738250740349536, 0.16889049596071948, 0.2249315115242682, 0.22493151152426835, 0.16889049596071942, 0.34738250740349447"
0.8354430379746836,0.5569620253164557,"5.551115123125783e-17, 5.551115123125783e-17, 2.220446049250313e-16, -2.498001805406602e-16, -2.7755575615628914e-17, 5.551115123125783e-17","1.2167315224026631, 0.8222799774481667, 0.9609885001491731, 0.96098850014917, 0.8222799774481677, 1.21673152240266","0.3561140152407951, 0.16251877883610638, 0.22377422713844483, 0.22377422713844367, 0.16251877883610683, 0.3561140152407931"
0.9113924050632911,0.6075949367088608,"1.6653345369377348e-16, -5.551115123125783e-17, 5.551115123125783e-17, -8.326672684688674e-17, -1.942890293094024e-16, 1.6653345369377348e-16","1.2317995164010158, 0.8083943252354596, 0.9598061583635281, 0.9598061583635245, 0.8083943252354611, 1.2317995164010127","0.3646794017712061, 0.15642510760365588, 0.22276533327386616, 0.2227653332738645, 0.15642510760365644, 0.3646794017712041"
0.9873417721518988,0.6582278481012658,"-5.551115123125783e-17, 5.551115123125783e-17, -2.7755575615628914e-17, 0.0, -1.6653345369377348e-16, 3.3306690738754696e-16","1.24628795351066, 0.7948649176034296, 0.9588471288859115, 0.9588471288859108, 0.79486491760343, 1.2462879535106575","0.37308164475548855, 0.15059884943162916, 0.2218894294370019, 0.22188942943700177, 0.15059884943162943, 0.37308164475548716"
1.0632911392405062,0.7088607594936709,"1.1102230246251565e-16, 1.6653345369377348e-16, 8.326672684688674e-17, -1.6653345369377348e-16, 2.220446049250313e-16, -2.7755575615628914e-16","1.2602297821290496, 0.7816841106288809, 0.9580861072420699, 0.9580861072420704, 0.7816841106288822, 1.2602297821290471","0.38132339089359857, 0.14502945647130788, 0.22113287517524233, 0.2211328751752425, 0.14502945647130827, 0.3813233908935969"
1.139240506329114,0.759493670886076,"-5.551115123125783e-17, 1.1102230246251565e-16, 2.7755575615628914e-17, -5.551115123125783e-17, -2.498001805406602e-16, 2.220446049250313e-16","1.273655317871, 0.7688441711172855, 0.9575005110117165, 0.9575005110117148, 0.7688441711172862, 1.2736553178709964","0.38940699664061884, 0.13970653301503083, 0.2204835648109564, 0.22048356481095568, 0.13970653301503105, 0.38940699664061673"
1.2151898734177216,0.810126582278481,"0.0, -5.551115123125783e-17, -2.220446049250313e-16, 2.220446049250313e-16, -1.1102230246251565e-16, 1.6653345369377348e-16","1.28659246366772, 0.7563373556299963, 0.9570701807022849, 0.9570701807022833, 0.7563373556299973, 1.2865924636677168","0.3973345702545516, 0.13461988569896396, 0.219930733095878, 0.2199307330958773, 0.13461988569896446, 0.39733457025454966"
1.2911392405063291,0.8607594936708861,"2.220446049250313e-16, -5.551115123125783e-17, 2.7755575615628914e-16, -3.885780586188048e-16, -8.326672684688674e-17, 0.0","1.2990669187068806, 0.7441559662944252, 0.956777114998695, 0.9567771149986944, 0.7441559662944257, 1.2990669187068777","0.4051080134122512, 0.12975956052558207, 0.21946478729623708, 0.21946478729623678, 0.1297595605255825, 0.40510801341224967"
1.3670886075949367,0.9113924050632911,"0.0, 0.0, 2.7755575615628914e-17, 8.326672684688674e-17, 2.7755575615628914e-17, 0.0","1.3111023748340827, 0.7322923890252548, 0.9566052361406636, 0.9566052361406627, 0.7322923890252557, 1.3111023748340802","0.4127290611787142, 0.1251158696293313, 0.21907716193746712, 0.21907716193746643, 0.12511586962933152, 0.4127290611787124"
1.4430379746835442,0.9620253164556962,"5.551115123125783e-17, 2.7755575615628914e-17, 1.942890293094024e-16, -1.6653345369377348e-16, 2.7755575615628914e-17, -5.551115123125783e-17","1.3227206996534413, 0.7207391185600425, 0.9565401817865189, 0.9565401817865166, 0.7207391185600434, 1.3227206996534395","0.4201993194727772, 0.12067941005413887, 0.21876019301895247, 0.21876019301895097, 0.12067941005413925, 0.4201993194727759"
1.518987341772152,1.0126582278481013,"1.1102230246251565e-16, 0.0, 2.7755575615628914e-17, 1.3877787807814457e-16, 0.0, 5.551115123125783e-17","1.3339421060343677, 0.7094887737485767, 0.9565691202170574, 0.9565691202170559, 0.7094887737485773, 1.3339421060343652","0.4275202994564171, 0.11644107630642858, 0.21850700898639283, 0.21850700898639197, 0.1164410763064288, 0.4275202994564155"
1.5949367088607596,1.0632911392405062,"5.551115123125783e-17, -5.551115123125783e-17, -2.7755575615628914e-17, 2.7755575615628914e-17, 0.0, 0.0","1.3447853080837882, 0.6985341057732639, 0.9566805861429506, 0.9566805861429488, 0.6985341057732655, 1.3447853080837873","0.4346934484991226, 0.11239206805678811, 0.2183114361452308, 0.21831143614522988, 0.11239206805678845, 0.43469344849912156"
1.6708860759493671,1.1139240506329113,"1.1102230246251565e-16, -8.326672684688674e-17, 2.220446049250313e-16, -1.3877787807814457e-16, 0.0, -1.1102230246251565e-16","1.355267663902808, 0.6878680013731391, 0.956864334724054, 0.9568643347240526, 0.6878680013731397, 1.3552676639028072","0.4417201775446388, 0.10852389406071888, 0.21816791653008483, 0.21816791653008413, 0.10852389406071902, 0.44172017754463794"
