U,E_p,m_cdw,m_sdw,V,S,E_GS,Coh,E_p_bits
-6.0,0.0061810603108631845,-0.0022798448921063086,-0.18483171634301498,-4.0,0.20643668001914578,-36.415800872275746,0.20307254631246388,0.008917385057917837
-6.0,0.23512163261843688,0.2093715612144081,0.008964229830328282,-3.6666666666666665,0.3930503871398299,-34.53855831206603,0.3031820806573696,0.33920881338433606
-6.0,0.007588951995968429,0.3972186759119892,0.1733386339098009,-3.3333333333333335,0.2426888899329131,-32.65878327679607,0.2695546880241766,0.010948543410127964
-6.0,0.00932351836299472,0.3977854903023189,0.16801494433777164,-3.0,0.24956596243437756,-30.71291600696801,0.2815778926138958,0.013450993705929726
-6.0,0.01856023934888884,0.3978437653285843,0.16007376561424683,-2.6666666666666665,0.25964208719671056,-28.774871790461532,0.28893147130285374,0.026776765266353753
-6.0,0.01424677342825631,0.4000394875504368,0.15209097240204122,-2.3333333333333335,0.2689046631522863,-26.855862319888615,0.31052258329979354,0.020553749373614316
-6.0,0.018743084357158102,0.40179997399764644,0.13990880522754015,-2.0,0.28286628189430046,-24.95245341288688,0.32869668618997633,0.02704055485303547
-6.0,0.029073589870722838,0.40290406029911274,0.12272270030523094,-1.6666666666666667,0.3024257926143683,-23.073565292092283,0.35282271555267747,0.04194432392733205
-6.0,0.04093034579766153,0.40491794736805975,0.10025762078411608,-1.3333333333333333,0.32589841150557425,-21.228738676567357,0.37851503489225985,0.05905000690415685
-6.0,0.05912506489434577,0.40573693055078675,0.07077486939581826,-1.0,0.3559597182157153,-19.431157016232365,0.40967395638568604,0.0852994379153107
-6.0,0.10816973603422153,0.3927548642395121,0.031172348264541884,-0.6666666666666666,0.40531022919526727,-17.703771411277444,0.46008263704347496,0.15605594175083937
-6.0,0.25215663044432324,0.30494151291265525,-0.017291088297106433,-0.3333333333333333,0.5288493385919507,-16.120106997245717,0.5516001391956508,0.3637851202692959
-6.0,0.3858411598047573,-9.271335400695691e-6,-0.04658482155361924,0.0,0.6697224644309105,-14.992720752795805,0.6171684697266693,0.5566511278211692
-6.0,0.35297851666312585,-0.24283123752654606,-0.06673197200273202,0.3333333333333333,0.621291666593896,-14.32532544331342,0.5874031788319999,0.5092403555302338
-6.0,0.2726758387103305,-0.44093105522666426,-0.09691138106858972,0.6666666666666666,0.5295522690610438,-13.856544710890551,0.5403328245977055,0.39338808027763283
-6.0,0.1852567643734635,-0.5760094340699957,-0.12601611354643288,1.0,0.43834380926754635,-13.527761662125512,0.4938261473182617,0.26726901525273083
-6.0,0.12201120075286775,-0.6539945366886902,-0.14778292964392767,1.3333333333333333,0.37360501263424617,-13.297195012950299,0.451125313350033,0.17602495425907083
-6.0,0.08207343060539207,-0.6986043101486723,-0.16264356100125352,1.6666666666666667,0.33244584310885517,-13.130308085127982,0.4171447466643497,0.11840693132314328
-6.0,0.057163485676703596,-0.7255097948743087,-0.1726449639255237,2.0,0.30637929151132753,-13.004625822936159,0.3907800606241374,0.08246947730570753
-6.0,0.04121494109924906,-0.7428616147042055,-0.1794755235261411,2.3333333333333335,0.28961128149504267,-12.906346614074545,0.36996797566800466,0.05946059113441704
-6.0,0.024225899614558566,-0.7693586690407831,-0.18664565034594008,2.6666666666666665,0.25317433301407544,-12.647612421370379,0.29422684649244285,0.034950585234998055
-6.0,0.02369491739671381,-0.7628444172502997,-0.18747966215465436,3.0,0.2703302523626962,-12.761146415678779,0.33845584934462597,0.03418453982251313
-6.0,0.01830263138543331,-0.7689141472292811,-0.1901138974445133,3.3333333333333335,0.2634495176901727,-12.707052997190468,0.32719365608608564,0.026405115534983814
-6.0,0.014696823871374498,-0.7735276291935931,-0.19196483630575717,3.6666666666666665,0.2593942908128663,-12.660426293024356,0.31800510842814234,0.0212030349160508
-6.0,0.011855478388477003,-0.777049097634477,-0.19369830867560953,4.0,0.25756811638400184,-12.617349561275477,0.30735669176799507,0.01710383987842201
-5.5,0.005962327988729532,0.3955497204645634,0.1804588319431331,-4.0,0.2338341778162981,-35.58434603563694,0.25465251503044317,0.008601821021493539
-5.5,0.010095874590173137,0.3949150814270046,0.17642016902522245,-3.6666666666666665,0.24017256981710933,-33.62496404944414,0.26722714013993176,0.01456526820467996
-5.5,0.06892929435995954,0.3763430787216913,0.15560535426927008,-3.3333333333333335,0.27499247867700316,-31.66567308451085,0.29629700616485893,0.09944395114508886
-5.5,0.2574427785666773,0.13888729393384486,-0.050994593968317715,-3.0,0.3994512947287534,-29.58549519249137,0.29309571788425626,0.37141141995082094
-5.5,0.011297299373868475,0.39714048638090577,0.16050024339612817,-2.6666666666666665,0.26072554926955854,-27.793757430291823,0.3021632912435037,0.01629855778211775
-5.5,0.02335675270782378,0.3954290148831154,0.1491697457025853,-2.3333333333333335,0.2754269660896684,-25.872532700661203,0.32062141547886486,0.03369667130284748
-5.5,0.01849512509507134,0.3996081315757884,0.13869335794665677,-2.0,0.286844169319146,-23.973113329029704,0.3381983996570329,0.02668282525528065
-5.5,0.0283845326052381,0.40039442666604685,0.12116525577835753,-1.6666666666666667,0.307170176958124,-22.097576337807162,0.363722560856302,0.04095022442752816
-5.5,0.03778478375060712,0.40242146265210665,0.09848050457765703,-1.3333333333333333,0.3311884287260286,-20.257209947814314,0.3898677694408028,0.05451192013806283
