U,V,magnetization,charge_density,doublons
-6.0,-4.0,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-6.0,-3.7241379310344827,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-6.0,-3.4482758620689653,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-6.0,-3.1724137931034484,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-6.0,-2.896551724137931,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-6.0,-2.6206896551724137,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-6.0,-2.3448275862068964,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-6.0,-2.0689655172413794,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-6.0,-1.793103448275862,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-6.0,-1.5172413793103448,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-6.0,-1.2413793103448276,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-6.0,-0.9655172413793104,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-6.0,-0.6896551724137931,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-6.0,-0.41379310344827586,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-6.0,-0.13793103448275862,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-6.0,0.13793103448275862,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-6.0,0.41379310344827586,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-6.0,0.6896551724137931,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-6.0,0.9655172413793104,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-6.0,1.2413793103448276,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-6.0,1.5172413793103448,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-6.0,1.793103448275862,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-6.0,2.0689655172413794,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-6.0,2.3448275862068964,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-6.0,2.6206896551724137,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-6.0,2.896551724137931,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-6.0,3.1724137931034484,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-6.0,3.4482758620689653,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-6.0,3.7241379310344827,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-6.0,4.0,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.586206896551724,-4.0,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.586206896551724,-3.7241379310344827,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.586206896551724,-3.4482758620689653,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.586206896551724,-3.1724137931034484,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.586206896551724,-2.896551724137931,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.586206896551724,-2.6206896551724137,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.586206896551724,-2.3448275862068964,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.586206896551724,-2.0689655172413794,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.586206896551724,-1.793103448275862,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.586206896551724,-1.5172413793103448,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.586206896551724,-1.2413793103448276,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.586206896551724,-0.9655172413793104,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.586206896551724,-0.6896551724137931,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.586206896551724,-0.41379310344827586,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.586206896551724,-0.13793103448275862,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.586206896551724,0.13793103448275862,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.586206896551724,0.41379310344827586,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.586206896551724,0.6896551724137931,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.586206896551724,0.9655172413793104,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.586206896551724,1.2413793103448276,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.586206896551724,1.5172413793103448,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.586206896551724,1.793103448275862,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.586206896551724,2.0689655172413794,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.586206896551724,2.3448275862068964,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.586206896551724,2.6206896551724137,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.586206896551724,2.896551724137931,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.586206896551724,3.1724137931034484,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.586206896551724,3.4482758620689653,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.586206896551724,3.7241379310344827,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.586206896551724,4.0,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.172413793103448,-4.0,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.172413793103448,-3.7241379310344827,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.172413793103448,-3.4482758620689653,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.172413793103448,-3.1724137931034484,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.172413793103448,-2.896551724137931,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.172413793103448,-2.6206896551724137,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.172413793103448,-2.3448275862068964,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.172413793103448,-2.0689655172413794,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.172413793103448,-1.793103448275862,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.172413793103448,-1.5172413793103448,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.172413793103448,-1.2413793103448276,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.172413793103448,-0.9655172413793104,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.172413793103448,-0.6896551724137931,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.172413793103448,-0.41379310344827586,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.172413793103448,-0.13793103448275862,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.172413793103448,0.13793103448275862,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.172413793103448,0.41379310344827586,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.172413793103448,0.6896551724137931,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.172413793103448,0.9655172413793104,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.172413793103448,1.2413793103448276,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.172413793103448,1.5172413793103448,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.172413793103448,1.793103448275862,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.172413793103448,2.0689655172413794,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.172413793103448,2.3448275862068964,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.172413793103448,2.6206896551724137,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.172413793103448,2.896551724137931,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.172413793103448,3.1724137931034484,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.172413793103448,3.4482758620689653,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.172413793103448,3.7241379310344827,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-5.172413793103448,4.0,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-4.758620689655173,-4.0,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-4.758620689655173,-3.7241379310344827,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-4.758620689655173,-3.4482758620689653,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-4.758620689655173,-3.1724137931034484,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-4.758620689655173,-2.896551724137931,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-4.758620689655173,-2.6206896551724137,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-4.758620689655173,-2.3448275862068964,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-4.758620689655173,-2.0689655172413794,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-4.758620689655173,-1.793103448275862,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-4.758620689655173,-1.5172413793103448,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-4.758620689655173,-1.2413793103448276,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-4.758620689655173,-0.9655172413793104,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-4.758620689655173,-0.6896551724137931,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-4.758620689655173,-0.41379310344827586,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-4.758620689655173,-0.13793103448275862,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-4.758620689655173,0.13793103448275862,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-4.758620689655173,0.41379310344827586,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-4.758620689655173,0.6896551724137931,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-4.758620689655173,0.9655172413793104,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-4.758620689655173,1.2413793103448276,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-4.758620689655173,1.5172413793103448,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-4.758620689655173,1.793103448275862,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
-4.758620689655173,2.0689655172413794,"NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN"
