U,V,magnetization,charge_density,doublons
-6.0,-4.0,"0.004574783307512554, 0.23761940736007675, 0.015136193765310668, 0.23810363891419362, 0.00456597665290636","0.02000961999279127, 1.4960154834349781, 1.969062382525808, 1.4949584270543526, 0.019954086992068323","0.00033259119973305044, 0.5049338028761751, 0.9690863254612511, 0.5039308873944506, 0.0003238972200442498"
-5.878787878787879,-3.919191919191919,"0.004811532309938994, 0.23698065253806877, 0.015748704177038608, 0.23770221301032746, 0.0047568979646257226","0.02102508364168309, 1.4961033020675527, 1.967773419029212, 1.494309106856269, 0.020789088405281406","0.00038594742767133263, 0.5053666518266995, 0.967801048503393, 0.5037638575822818, 0.00034075956858324184"
-5.757575757575758,-3.8383838383838382,"0.004249400328686402, 0.23890269018848115, 0.01643424377822522, 0.23541645112292042, 0.004997214581686534","0.020137537896341255, 1.4907567871438667, 1.9665141129149875, 1.5006310422018054, 0.021960519842997874","0.0003071352149982214, 0.5006172059453515, 0.966538402199422, 0.5089064180242134, 0.0003982620069439693"
-5.636363636363637,-3.757575757575758,"0.005226849512557812, 0.23548813101941352, 0.016990024200063514, 0.23764731850855375, 0.0046476767594111675","0.02294913208114408, 1.4990715326209787, 1.9652723409593258, 1.491712116400417, 0.020994877938132952","0.000431892606920817, 0.5077952050369008, 0.9652997873748205, 0.5020170336152936, 0.00012050646657546067"
-5.515151515151516,-3.676767676767677,"0.0053379963866975275, 0.23390984637223117, 0.02008723137035645, 0.22849515789819852, 0.01216976797251618","0.023147199168132526, 1.45981389735246, 1.9578163587051636, 1.5087721231259756, 0.05045042164826819","0.00040795822375214825, 0.48952329028563407, 0.9580266434757361, 0.5191296421686129, 0.006884440792910645"
-5.393939393939394,-3.595959595959596,"0.005567497578604058, 0.2357855354144346, 0.018468450601848097, 0.23473896177875891, 0.005439554626354731","0.024513063865860704, 1.4938572659115577, 1.9620967538146863, 1.4953672094843773, 0.024165706923520477","0.0003761971216101552, 0.5043065879192536, 0.9621343394439819, 0.5060660028610313, 0.00030920868928681724"
-5.2727272727272725,-3.515151515151515,"0.005960493541463432, 0.2343919199972253, 0.01936042388007858, 0.23431348365404503, 0.005973678927187587","0.026159335865487316, 1.493642308224592, 1.9601284757026982, 1.493862527345823, 0.02620735286140121","0.0005026565068292631, 0.5052175662976433, 0.9601791884072544, 0.5054016444827909, 0.0005114266567424063"
-5.151515151515151,-3.4343434343434343,"0.006276550933771089, 0.23359680227471974, 0.02024046649541772, 0.233589131142186, 0.006297049153905528","0.027543302288217674, 1.4932463721636497, 1.9582381964759512, 1.4933587278814922, 0.027613401190689005","0.0005597036935700393, 0.5054330537609808, 0.9582970051165062, 0.5054972298791834, 0.0005748030145669409"
-5.03030303030303,-3.3535353535353534,"0.006537858920841289, 0.2327620736786934, 0.02107694940649185, 0.23344062536729376, 0.006182492626679267","0.028806047332217893, 1.495201366551824, 1.9565603867336976, 1.4919101720846277, 0.027522027297630727","0.000569973840974138, 0.5068395628454069, 0.9566168143709128, 0.5045172401258293, 0.0003181121079342428"
-4.909090909090909,-3.272727272727273,"0.00635220128420283, 0.13030757636871831, 0.09333620274073973, 0.10032676516565664, 0.16967725444068182","0.02897065724765123, 0.7004966890915626, 1.7860973159573483, 1.7562125352119122, 0.7282228024915209","0.005005307593139792, 0.2111978706474447, 0.7917231551770942, 0.7716093133800308, 0.19101343736896334"
