U,V,magnetization,charge_density,doublons
-6.0,-4.0,"8.322434131820614e-15, 4.082498228363818e-14, -6.106226635438361e-15, -9.880984919163893e-15, -8.049116928532385e-15, -4.163336342344337e-15, -1.1435297153639112e-14, -9.417813751078086e-15, -1.5971653253427087e-16, -1.8672311926629017e-18","0.00010439110547076223, 0.02010186744554965, 1.9610720570490754, 1.999701515286265, 1.9999978921666712, 1.9998944974745645, 1.9798966065345673, 0.038931133503461376, 0.00029849544795744845, 1.5439864124788254e-6","1.9171636940597756e-8, 0.00015912702447039642, 0.9705505126323848, 0.9997030634038045, 0.9999978924043017, 0.9998945173380783, 0.9800557652298115, 0.009478557197861833, 1.5477839296522394e-6, 1.8636109951429206e-10"
-6.0,-3.8840579710144927,"1.9639305915038208e-16, 1.2846494701346245e-14, 6.106226635438361e-16, -6.106226635438361e-16, 8.659739592076221e-15, 6.5503158452884236e-15, 8.104628079763643e-15, -3.5785610585925554e-14, -5.047435451370486e-16, -5.9485271001097394e-18","0.00011186295862848606, 0.020806161879773494, 1.9791956334339273, 1.9998869489020685, 1.9999987852930619, 1.9998869092253895, 1.97919214881832, 0.02080786764890034, 0.00011308095704342236, 6.00882884980641e-7","2.3020480686880842e-8, 0.00017473868006901737, 0.9793703258169971, 0.9998869727155779, 0.9999987852996586, 0.9998869330600852, 0.9793669249059154, 0.00017477646571838773, 2.3829766719193587e-8, 2.9900848795532194e-12"
-6.0,-3.7681159420289854,"8.557732684787807e-18, 7.058867650556327e-16, 4.7030955518945206e-14, -9.103828801926284e-15, -7.882583474838611e-15, -8.104628079763643e-15, -3.774758283725532e-15, -4.6074255521944e-15, -1.4129322711831094e-14, -2.767561570540811e-16","6.614349798507607e-7, 0.0001202101601390412, 0.021342567824083072, 1.9786574611476249, 1.9998797787617035, 1.9999986623879944, 1.9998798243136462, 1.978661282831025, 0.02134068273296678, 0.00011886840584100588","3.925544837079314e-12, 2.8513000661658207e-8, 0.00019052762253892128, 0.9788479832674376, 0.9998798072800298, 0.9999986623965808, 0.9998798528057445, 0.9788517119594347, 0.0001904781259260659, 2.7501837172840936e-8"
-6.0,-3.652173913043478,"-2.473336205982557e-19, -1.431146867680866e-17, -1.1102230246251565e-16, -5.162537064506978e-15, 5.551115123125783e-17, 0.0, -2.609024107869118e-15, -3.608224830031759e-16, 4.137749171073679e-15, 3.990267182429549e-15","8.909280332345464e-5, 0.015428479743853592, 1.3967020539879642, 1.9934009088299165, 1.9999609360753272, 1.9999096383888473, 1.9845700984006314, 0.6033021791440585, 0.006598514452993152, 3.809817308556369e-5","2.3201685241349806e-8, 0.00014627719625946782, 0.6876100546467183, 0.9934628040251676, 0.9999609458810993, 0.9999096620966457, 0.9847164117058912, 0.2909093036163948, 6.188016916441823e-5, 9.814952672228095e-9"
-6.0,-3.536231884057971,"-7.261621005992259e-13, -3.1786780518733315e-11, -4.59139655548807e-11, 3.9148215225104366e-10, -4.1904590908359296e-11, -1.720071418631619e-9, 2.146828881333107e-9, -2.2094719581700062e-7, 3.1524695132123526e-7, -9.499766362702083e-8","1.9078326526087003e-7, 3.226968792413043e-5, 0.005322448010575553, 0.4760866816229665, 1.982699923101619, 1.9998948856008774, 1.9999671328853852, 1.9946833981192897, 1.5243005434843033, 0.01701252670379079","1.6056809584687212e-12, 9.61951351173556e-9, 5.2947886664448196e-5, 0.22702833878091003, 0.9828750711557286, 0.9998949168763053, 0.9999671424111387, 0.9947362473047519, 0.7513193384131718, 0.00016774716444763684"
-6.0,-3.420289855072464,"-3.6591823321385775e-19, -3.382710778154774e-17, 5.551115123125783e-17, 0.0, 0.0, 0.0, 1.1102230246251565e-16, -6.505213034913027e-17, -5.082197683525802e-19, -2.8852059765849605e-21","0.0001436795206962269, 0.023094813300985804, 1.976905831954027, 1.9998545359309259, 1.9999981924755132, 1.9998544885873502, 1.9769026905766887, 0.02309935672541051, 0.00014551816658048706, 8.927618279029781e-7","4.830018607600045e-8, 0.00025037470471805294, 0.9771571166958659, 0.9998545864809782, 0.9999981924972773, 0.9998545389416088, 0.9771531387298152, 0.00025144704244875867, 5.0594373830042485e-8, 9.342675288796307e-12"
-6.0,-3.3043478260869565,"-4.235164736271502e-22, 1.0164395367051604e-19, 1.9081958235744878e-17, 0.0, 0.0, 0.0, 0.0, -5.551115123125783e-17, 3.122502256758253e-17, 2.846030702774449e-19","1.1822809114517222e-6, 0.00018511999986928782, 0.02619355691665364, 1.9762902506543962, 1.9998446930856353, 1.9999978007120742, 1.999814940180051, 1.973812199585566, 0.023706983801061742, 0.0001532727837693377","8.662868823737114e-11, 4.0805403227494146e-7, 0.0015029209834171958, 0.9765657544700727, 0.9998447544887535, 0.9999978007530899, 0.99981534821972, 0.9753149212050454, 0.00027541602104376233, 5.8840138761461266e-8"
-6.0,-3.1884057971014492,"-7.453889935837843e-20, 6.071532165918825e-18, 0.0, 0.0, -5.551115123125783e-17, 0.0, 0.0, 3.469446951953614e-18, 4.743384504624082e-20, 1.0587911840678754e-22","0.0001641602800020252, 0.024411097694808863, 1.9755921897444302, 1.9998336684469702, 1.9999977665270303, 1.9998335716053994, 1.9755858203209604, 0.024414217377219754, 0.00016640598843360689, 1.102014748651809e-6","7.229810451548858e-8, 0.00030464821295028965, 0.9758967134577127, 0.9998337440349844, 0.99999776656453, 0.999833647298941, 0.9758905744643696, 0.0003047554293045174, 7.56683165196914e-8, 1.722946863706312e-11"
-6.0,-3.072463768115942,"-1.5881867761018131e-21, -2.439454888092385e-19, -3.2959746043559335e-17, 5.551115123125783e-17, 5.551115123125783e-17, 0.0, 0.0, -5.551115123125783e-17, 1.9949319973733282e-17, 2.913793338554793e-19","1.905759584986736e-6, 0.00027504101123734814, 0.03267989515438953, 1.97497191407837, 1.9998222669448698, 1.9999968273512216, 1.9997250343051578, 1.9673272500755314, 0.025024659899823935, 0.00017520541981352726","3.6974497395403703e-10, 1.4017136571048057e-6, 0.004115351316391052, 0.9753083921999653, 0.9998223601124488, 0.9999968275758084, 0.9997264362155667, 0.971442299034401, 0.00033635052121291166, 8.89552895594391e-8"
-6.0,-2.9565217391304346,"-5.234799139303137e-16, 5.115699530655604e-15, -9.880984919163893e-15, 4.107825191113079e-15, 1.0547118733938987e-14, -1.2212453270876722e-15, -4.385380947269368e-15, -1.8094033216176086e-14, 2.368324449313758e-15, 1.1772382967663585e-14","0.0001887617748822933, 0.025870391700476843, 1.9741022906920203, 1.9998081223865143, 1.9999972088147693, 1.9998083997410976, 1.9741257532375913, 0.025905712578134267, 0.00019198179169270925, 1.3772828322357669e-6","1.1107390735839474e-7, 0.0003755554952055401, 0.9744931755003926, 0.9998082450335696, 0.9999972088727125, 0.9998085166014139, 0.974501465048192, 0.00039122292560090163, 1.2280674113069187e-7, 3.500958568243639e-11"
