U,quantum_coherence_1rdm_GS,energy_GS,V,quantum_coherence_2rdm_GS,von_neumann_1rdm_GS,von_neumann_2rdm_GS
-6.0,0.38915719029145834,-48.30771156090377,-6.0,0.8898504031606809,0.042442172612053186,0.06369276169948579
-6.0,0.523941325069943,-47.67429977714005,-5.878787878787879,1.2879617058605808,0.1686375618341842,0.2531533962619359
-6.0,0.4478179132589162,-46.97623096939014,-5.757575757575758,1.0240931099216606,0.015179493159628077,0.0229638241913106
-6.0,0.44103648192475187,-46.25660566479762,-5.636363636363637,0.9948272436748631,0.006303683151055006,0.0095652980772587
-6.0,0.44304049935690926,-45.53695233679209,-5.515151515151516,0.9986775968220443,0.005459273382352192,0.008282736667490909
-6.0,0.44676161994263297,-44.817585675681904,-5.393939393939394,1.0085985920495995,0.00548323623914726,0.008320407727135937
-6.0,0.45066327134341533,-44.09852916578152,-5.2727272727272725,1.0190730589246964,0.005533991399498062,0.008399049295190864
-6.0,0.45470856625990685,-43.379802185082625,-5.151515151515151,1.0299647179723896,0.0055901571970804476,0.008486110136667335
-6.0,0.4589034668201597,-42.66142576486082,-5.03030303030303,1.04129054925336,0.005651454612596307,0.00858117867512087
-6.0,0.46325664469874506,-41.94342277402669,-4.909090909090909,1.0530775080139017,0.005718682566886013,0.008685485256906489
-6.0,0.4677775763282783,-41.22581812086081,-4.787878787878788,1.0653552862132685,0.005792838411634138,0.008800563106781567
-6.0,0.4724764795300478,-40.50863898106668,-4.666666666666667,1.078156108004971,0.0058750864169581085,0.008928200104725725
-6.0,0.47736443569704257,-39.791915056049596,-4.545454545454546,1.0915151912862346,0.005966813816936423,0.009070523989164858
-6.0,0.4824534974182053,-39.07567886596859,-4.424242424242424,1.1054711648288729,0.006069680324676918,0.009230077583978424
-6.0,0.4877566635706517,-38.359966082850875,-4.303030303030303,1.1200660110220406,0.006185607927760461,0.00940980343070219
-6.0,0.4932879567863595,-37.6448159099384,-4.181818181818182,1.135345393686554,0.006316827838937611,0.009613115418763751
-6.0,0.4990625726916815,-36.93027151444686,-4.0606060606060606,1.1513592684275478,0.006465967900451508,0.009844032646862733
-6.0,0.505097001808309,-36.21638052210833,-3.9393939393939394,1.1681624130367483,0.006636132456882882,0.01010730240584401
-6.0,0.5114091454967272,-35.50319558325195,-3.8181818181818183,1.1858149620553755,0.006830988774047864,0.010408533952389387
-6.0,0.518018442186721,-34.79077502177058,-3.696969696969697,1.2043830158585278,0.007054871542818919,0.010754360939404073
-6.0,0.5249460009461079,-34.07918358017261,-3.5757575757575757,1.223939323266101,0.007312907272480906,0.011152635626415996
-6.0,0.5322147393808487,-33.36849327601995,-3.4545454545454546,1.2445640369520494,0.007611159617747942,0.01161265786564103
-6.0,0.5398495354403043,-32.65878438744813,-3.3333333333333335,1.2663455937337245,0.007956802536298602,0.0121454464820423
-6.0,0.5478773953341842,-31.950146588143692,-3.212121212121212,1.289381749630464,0.008358324153565855,0.012764035590015599
-6.0,0.5563276233367154,-31.242680255100744,-3.090909090909091,1.313781033000764,0.00882575589805179,0.013483837764104223
-6.0,0.5652319870286941,-30.536497975676678,-2.9696969696969697,1.33966367268438,0.00937092705504905,0.014323033571106425
-6.0,0.5746248863481349,-29.83172628381005,-2.8484848484848486,1.3671637676186865,0.010007757153316144,0.015303023468516308
-6.0,0.5845435430753974,-29.1285076586626,-2.727272727272727,1.396465763043486,0.01075261298008967,0.016448996677891348
-6.0,0.5950272255524176,-28.42700282222516,-2.606060606060606,1.4277338314448702,0.011624261020437787,0.01778989914232021
-6.0,0.6061223482416356,-27.727393375528578,-2.484848484848485,1.4611422107451153,0.012646909130823891,0.01936324021185598
-6.0,0.6178723171088067,-27.02988481548937,-2.3636363636363638,1.4968882493026698,0.013845690122677556,0.021208169368140073
-6.0,0.630331657880858,-26.33470997768965,-2.242424242424242,1.5352281308715512,0.015254545838379263,0.023377902398837858
-6.0,0.6435546164416728,-25.64213295306103,-2.121212121212121,1.5764627007585517,0.016911508546718412,0.02593252197780682
-6.0,0.6576025416018685,-24.952453535273815,-2.0,1.620896737048307,0.018863653994747764,0.028946948076161494
-6.0,0.6725452442320954,-24.26601227403283,-1.878787878787879,1.6689130781043549,0.021169111594072865,0.032514434134714776
-6.0,0.6884636320180297,-23.583196256616414,-1.7575757575757576,1.720976974126338,0.023900176944653184,0.036751944784091606
-6.0,0.7054558898741674,-22.904445848483807,-1.6363636363636365,1.7776672728024248,0.02714853517283955,0.04180910342673716
-6.0,0.7236480088278039,-22.230262865744116,-1.5151515151515151,1.8397298704534033,0.031033299011080873,0.04788196619163365
-6.0,0.7432118267682781,-21.561221176915794,-1.393939393939394,1.9081644941463474,0.03571412236407001,0.05523542604414633
-6.0,0.7643958894555674,-20.89798185453238,-1.2727272727272727,1.9843682580186262,0.04141369207187062,0.06424146440836864
-6.0,0.7875781191021181,-20.241317407681098,-1.1515151515151516,2.070427964034934,0.04845810584658672,0.07544748720230654
-6.0,0.813355613184658,-19.592154897297476,-1.0303030303030303,2.1694236815543593,0.05735252230664978,0.08970378764906517
-6.0,0.8426965354903738,-18.95165967208999,-0.9090909090909091,2.28624332996067,0.06892780956958933,0.10840974777405288
-6.0,0.8771920950005487,-18.321409869147185,-0.7878787878787878,2.4289241199808274,0.08463290181553917,0.1340034403711048
-6.0,0.9194409157340989,-17.703783315591117,-0.6666666666666666,2.6116636287217374,0.10712003104599366,0.17094077871307078
-6.0,0.9733778628128548,-17.102865037539946,-0.5454545454545454,2.8558109124411772,0.1412784168895389,0.22742866030233477
-6.0,1.043029456758671,-16.526633776774702,-0.42424242424242425,3.190844628674087,0.19502964082762442,0.316780934778111
-6.0,1.1225174783595173,-15.99161139225655,-0.30303030303030304,3.6260404419778816,0.27333735518683855,0.4473705942194921
-6.0,1.1876870694786419,-15.526157597164714,-0.18181818181818182,4.000775721373541,0.3509186377749678,0.5757422756620034
-6.0,1.2266146805288656,-15.15061900081967,-0.06060606060606061,4.124566839096427,0.38348369780971336,0.6249956760856312
-6.0,1.2266468489968823,-14.849785099162586,0.06060606060606061,4.092398339047806,0.38417078313484376,0.6225341132064344
-6.0,1.2070234503546227,-14.59689696695969,0.18181818181818182,3.975900535715955,0.3746093951181151,0.6063764502531326
-6.0,1.1820561828313687,-14.376324803621394,0.30303030303030304,3.8279828317470104,0.3581849193528146,0.5793484700565452
-6.0,1.1512551351401363,-14.181275597254082,0.42424242424242425,3.6682833903256142,0.334786614951345,0.5407174193219553
-6.0,1.1163275307135667,-14.008674911684187,0.5454545454545454,3.5008532983234963,0.30548900582671856,0.49226662913485475
-6.0,1.0806642996515137,-13.856544712452648,0.6666666666666666,3.3302018046498176,0.2726725482243799,0.4381178000608199
-6.0,1.0476287830176751,-13.722987053882488,0.7878787878787878,3.163472046599514,0.23914342754315632,0.383042658337438
-6.0,1.013245358580039,-13.60595650324668,0.9090909090909091,3.0036655297806214,0.2072322970163596,0.3309035990539373
-6.0,0.9792624619100234,-13.503349151448841,1.0303030303030303,2.8526253259334022,0.17836919260632889,0.2839926524444474
-6.0,0.9468195247157365,-13.413150265822384,1.1515151515151516,2.7138481819550457,0.15313610198329308,0.24317948236719023
-6.0,0.916524333767315,-13.33353728120093,1.2727272727272727,2.5878869774916637,0.13153593194565105,0.2083917798900794
-6.0,0.8886081278696564,-13.262923526017424,1.393939393939394,2.474518178444925,0.11326228919345449,0.1790713548560885
-6.0,0.8630708306746762,-13.199959998441884,1.5151515151515151,2.372771008090395,0.09788768989010932,0.15448237266039389
-6.0,0.8397869504806361,-13.143515034415435,1.6363636363636365,2.2815045935096867,0.0849701980654356,0.13388112890812742
-6.0,0.8185732119204628,-13.092645513170233,1.7575757575757576,2.1995494766023005,0.07410392425575196,0.11659355686768658
-6.0,0.7992280784362775,-13.046567112963295,1.878787878787879,2.125780777766999,0.06493734330215051,0.10204116893000492
-6.0,0.7815531542907075,-13.00462708603123,2.0,2.0591748053487717,0.05717543211944798,0.08974177214920731
